,,materials,mat_basis,original_name,sub_type,mat_type,deltaG_chem,n_e,source,P_cavern,mu_total,mass_density,phase_change_T,sp_latent_heat,Cp,T_melt,T_max,VtoR,delta_height,notes,kth,vol_latent_heat,deltaH_thermochem,T_turning,C_kwh_orig,specific_capacitance,deltaV_cap,dielectric_breakdown,dielectric_constant,specific_strength,Qmax,deltaV
unit_row,,N/U,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless,N/U,pascal,gram / mole,kilogram / meter ** 3,degree_Celsius,kilowatt_hour / kilogram,kilowatt_hour / kelvin / kilogram,degree_Celsius,degree_Celsius,dimensionless,meter,N/U,watt / kelvin / meter,megajoule / meter ** 3,kilowatt_hour / kilogram,degree_Celsius,USD / kilowatt_hour,farad / gram,volt,volt / meter,dimensionless,centimeter ** 3 * megapascal / gram,N/U,volt
SM_name,SM_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil CH4,synfuel,Fossil CH4,molar,,feedstock,,0.2554,8.0,Standard Gibbs,,,,,,,,,,,,,,,,,,,,,,,
H2 (LRC),synfuel,LRC,,,underground,,0.0659,2.0,Cavern,,2.016,8.271123234843682,,,,,,,,,,,,,,,,,,,,
CH4 (LRC),synfuel,LRC,,,underground,,0.2554,8.0,Cavern,,16.043,65.82025300426449,,,,,,,,,,,,,,,,,,,,
H2 (Salt),synfuel,Salt Cavern,,,underground,,0.0659,2.0,Cavern,,2.016,8.271123234843682,,,,,,,,,,,,,,,,,,,,
CH4 (Salt),synfuel,Salt Cavern,,,underground,,0.2554,8.0,Cavern,,16.043,65.82025300426449,,,,,,,,,,,,,,,,,,,,
N2 (LRC 100 bar),pressure_cavern,LRC,,,,,,,Cavern,10000000.0,28.014,114.93414995084866,,,,,,,,,,,,,,,,,,,,
N2 (Salt 100 bar),pressure_cavern,Salt Cavern,,,,,,,Cavern,10000000.0,28.014,114.93414995084866,,,,,,,,,,,,,,,,,,,,
LH2 Tank,synfuel,LH2 Tank,,,tank,,0.0659,2.0,Cryo tank,,2.016,70.85,,,,,,,,,,,,,,,,,,,,
LNG Tank,synfuel,LNG Tank,,,tank,,0.2554,8.0,Cryo tank,,16.043,420.0,,,,,,,,,,,,,,,,,,,,
LN2,sensible_thermal,LNG Tank,,,cold,other,,,Cryo tank,,,870.0,,,0.00028861111,-195.8,0.0,,,,,,,,,,,,,,,
LN2,latent_thermal,LNG Tank,,,other,other,,,Cryo tank,,,870.0,-195.8,0.0552778,,,,,,,,,,,,,,,,,,
Pumped Hydro,gravitational,Water Reservoir Excavation,,,pumped_hydro,,,,Phes,,,1000.0,,,,,,3.9,800.0,,,,,,,,,,,,,
H2 (Feedstock),synfuel,"[('Water', 1)]",molar,Synthetic H2,feedstock,,0.0659,2.0,Synfuel feedstock,,,,,,,,,,,Based on hypotheticical reversible electrochemical oxidation reaction,,,,,,,,,,,,
CH4 (Feedstock),synfuel,"[('CO2', 1), ('Water', 4)]",molar,Synthetic CH4 (Sabatier),feedstock,,0.2554,8.0,Synfuel feedstock,,,,,,,,,,,Based on hypotheticical reversible electrochemical oxidation reaction,,,,,,,,,,,,
Methanol (Feedstock),synfuel,"[('CO2', 1), ('Water', 3)]",molar,Synthetic Methanol (DMS),feedstock,,0.1923,6.0,Synfuel feedstock,,,,,,,,,,,Based on hypotheticical reversible electrochemical oxidation reaction,,,,,,,,,,,,
Ammonia (Feedstock),synfuel,"[('N2', 0.5), ('Water', 1.5)]",molar,Synthetic NH3,feedstock,,0.1033,3.0,Synfuel feedstock,,,,,,,,,,,,,,,,,,,,,,,
NaNO3,latent_thermal,NaNO3,,NaNO3,hot,molten_salt,,,Alva 2018,,,2261.0,306.0,0.0477777777777777,,,,,,,,388.9,,,,,,,,,,
