,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
index,,,,,,,,,,
H2_Salt,2.606058161953728,H2,7.289200866685982,Papadias 2021,,,,,,
CH4_Salt,0.325757270244216,CH4,58.313606933487854,Papadias 2021,,,,,,
N2_Salt,0.1861470115681234,N2,102.04881213360376,Papadias 2021,,,,,,
H2O_Salt,0.0189960814127471,H2O,1000.0,Papadias 2021,,,,,,
H2_LRC,38.90880000000001,H2,7.289200866685982,Papadias 2021,,,,,,
CH4_LRC,4.863600000000001,CH4,58.313606933487854,Papadias 2021,,,,,,
N2_LRC,2.7792,N2,102.04881213360376,Papadias 2021,,,,,,
H2O_LRC,0.2836140586817116,H2O,1000.0,Papadias 2021,,,,,,
H2_Salt,2.1652032045308487,H2,7.289200866685982,ETI 2018,,,,,,
CH4_Salt,0.2706504005663561,CH4,58.313606933487854,ETI 2018,,,,,,
N2_Salt,0.1546573717522034,N2,102.04881213360376,ETI 2018,,,,,,
H2O_Salt,0.0157826010750175,H2O,1000.0,ETI 2018,,,,,,
H2_Salt,3.1553527500000005,H2,7.289200866685982,Lord 2018,,,,,,
CH4_Salt,0.39441909375,CH4,58.313606933487854,Lord 2018,,,,,,
N2_Salt,0.2253823392857143,N2,102.04881213360376,Lord 2018,,,,,,
H2O_Salt,0.023,H2O,1000.0,Lord 2018,,,,,,
H2_LRC,11.523897000000002,H2,7.289200866685982,Lord 2018,,,,,,
CH4_LRC,1.4404871250000002,CH4,58.313606933487854,Lord 2018,,,,,,
N2_LRC,0.8231355,N2,102.04881213360376,Lord 2018,,,,,,
H2O_LRC,0.084,H2O,1000.0,Lord 2018,,,,,,
Iron Ore,0.139,Fe2O3,,Olympios 2021,Magnetite,,,,,
Solar Salt,1.0,NaNO3KNO3,,Olympios 2021,Molten Salt,,,,,
Water Reservoir Excavation,0.261,,,Black and Veatch 2012,Pumped Hydro,Based on Black and Veatch 2012 resirvoir cost numbers. ,,,,
Graphene,90.0,C6,,Graphene Lab,Graphene,https://www.i-graphenelab.com/price/,,,,
CaCO3,1.43,CaCO3,,Chem Central,CALCIUM CARBONATE Technical Grade 50 LB BAG,https://www.chemcentral.com/organic-acid/calcium-carbonate-tech-technical-grade-50-lb-bag-16147443.html,,,,
Sand,0.05,SiO2,,Diago 2018,Dune Sand,,,,,
Solar Salt,0.43,NaNO3KNO3,,Diago 2018,Solar Salt,,,,,
TEMPO,5.5,C9H18NO2,,Liu 2019,"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-oxyl (4-OH-TEMPO)",https://doi.org/10.1016/j.chempr.2019.04.021,,,,
Concrete,0.071,,,concretenetwork.com/concrete-prices.html,,Calcuated using a density of 2300 kg/m3,,,,
Fossil CH4,0.164,CH4,,EIA Henry Hub,,Average over last 5 years,,,,
SMR H2,2.08,H2,,DOE-FE Hydrogen Strategy,,,,,,
Cryogenic H2 Tank,28.9949,H2,,Kiessling 2021,,Converted into specific costs by hand with 70.85 kg/m3 liquid hydrogen density,,,,
Cryogenic CH4 Tank,4.8912,CH4,,Kiessling 2021,,Converted into specific costs by hand with 420 kg/m3 liquid methane density,,,,
CFRP,15.0,,,Singh Gill 2022,,,,,,
Steel,1.5,,,Singh Gill 2022,,,,,,
CFRP,10.0,,,Rao 2018,,,,,,
Al,2.00938,,,DERA,ALUMINIUM,,,,,
Al2O3,0.8436985200000001,,,DERA,ALUMINIUMOXID,,,,,
Pb,2.11695,,,DERA,BLEI,,,,,
Iron Ore,0.10118,,,DERA,EISENERZ,,,,,
CaF2,0.40262,,,DERA,FLUSSSPAT,,,,,
CaF2,0.42877,,,DERA,FLUSSSPAT,,,,,
Ga,194.69,,,DERA,GALLIUM,,,,,
Au,48154.42368809393,,,DERA,GOLD,,,,,
Graphite,1.45823,,,DERA,GRAPHIT,,,,,
Co,48.71932,,,DERA,KOBALT,,,,,
Cu,6.83426,,,DERA,KUPFER,,,,,
Li2CO3,60.12125,,,DERA,LITHIUM,,,,,
Li2CO3,62.06,,,DERA,LITHIUM,,,,,
MgCO3,0.3037933500000001,,,DERA,MAGNESIT,,,,,
MgO,0.64628,,,DERA,MAGNESIT,,,,,
MgO,1.18312,,,DERA,MAGNESIT,,,,,
MgCO3,0.08413167,,,DERA,MAGNESIT,,,,,
FeMn,1.1416,,,DERA,MANGAN,,,,,
FeMo,26.71,,,DERA,MOLYBDAN,,,,,
Ni,13.93351,,,DERA,NICKEL,,,,,
Nb2O5,26.41,,,DERA,NIOB,,,,,
Nb2O5,34.42,,,DERA,NIOB,,,,,
Pd,51680.71757174105,,,DERA,PALLADIUM,,,,,
Pt,30025.90372790736,,,DERA,PLATIN,,,,,
CeO2,1.85,,,DERA,Cerium (oxide),,,,,
Dy,338.18,,,DERA,Dysprosium (metal),,,,,
Dy2O3,251.62,,,DERA,Dysprosium (oxide),,,,,
Er2O3,26.61,,,DERA,Erbium (oxide),,,,,
Eu2O3,44.4,,,DERA,Europium (oxide),,,,,
La2O3,1.89,,,DERA,Lanthanum (oxide),,,,,
La2O3,3.6,,,DERA,Lanthanum (oxide),,,,,
Nd,73.39,,,DERA,Neodymium (metal),,,,,
Nd2O3,58.34,,,DERA,Neodymium (oxide),,,,,
Pr,101.85,,,DERA,Praseodymium (metal),,,,,
Pr2O3,61.28,,,DERA,Praseodymium (oxide),,,,,
Sm,14.11,,,DERA,Samarium (metal),,,,,
Sm2O3,2.0,,,DERA,Samarium (oxide),,,,,
Sc2O3,954.3142,,,DERA,Scandium (oxide),,,,,
Tb,889.41,,,DERA,Terbium (metal),,,,,
Tb4O7,688.92,,,DERA,Terbium (oxide),,,,,
Y,33.37,,,DERA,Yttrium (metal),,,,,
Y2O3,3.77,,,DERA,Yttrium (oxide),,,,,
Ag,609.8996624068727,,,DERA,SILBER,,,,,
FeSi,1.38466,,,DERA,SILIZIUM,,,,,
Ta2O5,156.44,,,DERA,TANTAL,,,,,
Ta2O5,214.84,,,DERA,TANTAL,,,,,
Te,61.97,,,DERA,TELLUR,,,,,
FeTi,11.73,,,DERA,Ferrotitan,,,,,
FeTiO3,0.37583,,,DERA,Ilmenite concentrate,,,,,
TiO2,3.294836160000001,,,DERA,TITAN,,,,,
TiO2,1.3195839300000003,,,DERA,TITAN,,,,,
V,42.51,,,DERA,VANADIUM,,,,,
W,32.48,,,DERA,WOLFRAM,,,,,
W,35.76,,,DERA,WOLFRAM,,,,,
Zn,2.72685,,,DERA,ZINK,,,,,
Sn,21.72517,,,DERA,ZINN,,,,,
Zr,1.37196,,,DERA,ZIRKON,,,,,
Ag,608.4850295578531,Ag,,USGS,Silver Bullion,,,,,
Al,2.3906927711328128,Al,,USGS,Aluminum Ingot,,,,,
Al2O3,0.5335186744874038,Al2O3,,USGS,Bauxite and Alumina Alumina,,,,,
AlSc,340.0,AlSc,,USGS,Scandium Mtl_Alloy,,,,,
As,1.542,As,,USGS,Arsenic Mtl-CN,,,,,
As2O3,0.609,As2O3,,USGS,"Arsenic Triox-CN, Arsenic Triox-MA",,,,,
Asbestos,2.0326620573445715,Mg3Si2O5(OH)4,,USGS,Asbestos Customs,,,,,
Au,48238.98015156943,Au,,USGS,Gold ,,,,,
