,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD / kilogram
index,,,
Ammonium Heptamolybdate,Ammonium heptamolybdate,H50Mo7N6O28 ,19.018
Ammonium Paratungstate,Tungsten APT,(NH4)10(H2W12O42)(H2O)4,20.13233333333333
Ammonium Tetrathiomolybdate,Ammonium Tetrathiomolybdate,H10MoN2S4,18.728
Antimony Ethylene Glycoxide,Antimony ethelyene_glycol,,5.299
As,Arsenic metal,As,1.145
As2O3,Arsenic trioxide,As2O3,0.43000000000000005
Bi,Bismuth ingot,Bi,6.333515876680751
Bi2O3,Bismuth oxides,Bi2O3,6.497
CCoO3,Cobalt Carbonates,CCoO3,14.445
CW,Tungsten carbide,CW,28.475
Ca,"Calcium Granule, Calcium Ingot",Ca,3.7736000000000005
Cd,Cadmium Ingot,Cd,2.7847394487955484
ClLi,Lithium chlorides,ClLi,9.7995
Co,"Cobalt Conc., Cobalt Intermediate, Cobalt Powder, Cobalt metal",Co,27.900819913325638
Co3O4,"Cobalt Tetroxide, Cobalt oxides",Co3O4,22.2
CoCl2,Cobalt Chloride,CoCl2,6.388
CoO,Cobalt Monoxide,CoO,31.6
CoSO4,Cobalt sulphates,CoSO4,5.3715
Cr,Chromium metal,Cr,8.244
CrFeO4,"Chrome Conc., Chrome lump",CrFeO4,0.12297727272727274
FeTiO3,"Ilmenite Conc, Ilmenite Reduced, Rutile Conc, Titanium Slag",FeTiO3,0.3993333333333334
Ga,Gallium metal,Ga,151.625
Ge,Germanium metal,Ge,1152.75
GeO2,Germanium dioxides,GeO2,720.5
In,Indium ingot,In,168.75
LCO,Lithium Cobaltate,LiCoO2,28.950000000000003
LMO,Lithium manganates,LiMn2O4,6.968500000000001
La,Lanthanum metal,La,5.143
Li,Lithium metal,Li,100.17275000000001
Li2CO3,Lithium Carbonates,Li2CO3,11.242999999999999
LiOH,Lithium hydroxides_monohydrates,LiOH,23.09732377750867
Metallurgical Silicon,Silicon metal,,1.765666728000003
Mg,"Magnesium Ingot, Magnesium Powder, Manganese flakes, Mercury metal",Mg,7.123875000000001
Mn,"Manganese Briquette, Manganese Lump",Mn,2.005
MnO2,Manganese dioxides,MnO2,1.60425
MnSO4,Manganese sulphates,MnSO4,0.9875
Mo,"Molybdenum Powder, Molybdenum Rod, Molybdenum bar",Mo,43.63333333333333
MoO3,Molybdenum oxides,MoO3,25.66737438890782
MoS2,Molybdenum Conc.,MoS2,26.35
NH4VO3,Ammonium metavanadate,NH4VO3,16.913
NV,Vanadium nitrides,NV,27.0755
Na2WO4,Sodium Tungstate,Na2WO4,14.9535
NaMo2O4,Sodium Molybdate,NaMo2O4,12.485
Nb2O5,"Niobium Conc., Niobium pentoxides",Nb2O5,35.47264430285721
Polysilicon,Silicon polysilicon,,10.55
Re,Rhenium APR,Re,1502.5
Sb,Antimony Ingot,Sb,5.963108856403383
Sb2O3,Antimony Trioxide,Sb2O3,5.37909715663868
Se,Selenium Powder,Se,20.271760276302707
SeO2,Selenium dioxides,SeO2,12.7
Sr,Strontium metal,Sr,6.80275
Ta,Tantalum metal,Ta,281.6666666666667
Ta2O5,"Tantalum Conc., Tantalum pentoxide",Ta2O5,197.93038657815165
Te,Tellurium metal,Te,55.96666666666667
Ti,"Titan Sponge, Titanium pipe, Titanium plate",Ti,15.731000000000002
TiCl4,Titanium tetrachloride,TiCl4,1.1685
TiO2,Titanium Dioxide,TiO2,1.9813333333333334
V2O5,Vanadium pentoxides,V2O5,17.306960589916155
W,"Tungsten powder, Tungsten scrap, Wolfram Bar",W,24.34285714285715
WO3,"Tungsten oxides, Wolfram Ore",WO3,18.81775
Zr,Zirconium Sponge,Zr,35.85
Zr(CO3)2,Zirconium Carbonates,Zr(CO3)2,3.3825000000000003
ZrCl2H2O,Zirconium Oxychloride,ZrCl2H2O,2.2720000000000002
ZrO2,Zirconium fused_cubic,ZrO2,4.3555
ZrSiO4,"Zircon sand, Zirconium silicate",ZrSiO4,1.6375
