original_name,Specification,Unit,price,+/-,pricing,currency,mass_unit,specific_price,commodity_info,Unnamed: 0,material_name,molecular_formula,molecular_formula_norm,index_use,index
Antimony Ingot,99.65% min EXW China,USD / mt,5516.5,,08.07.19,USD,metric_ton,5.5165,Ingot,0,Antimony,Sb,Sb,molecular_formula,Sb
Antimony Ingot,99.85% min EXW China,USD / mt,5589.5,,08.07.19,USD,metric_ton,5.5895,Ingot,0,Antimony,Sb,Sb,molecular_formula,Sb
Antimony Ingot,99.65% min FOB China,USD / mt,6100.0,,08.07.19,USD,metric_ton,6.1000000000000005,Ingot,0,Antimony,Sb,Sb,molecular_formula,Sb
Antimony Ingot,99.65% min in the warehouse Rotterdam,USD / mt,6150.0,,08.07.19,USD,metric_ton,6.15,Ingot,0,Antimony,Sb,Sb,molecular_formula,Sb
Antimony Ingot,99.65% min in the Baltimore warehouse,USD / lb,2.9299999999999997,,08.07.19,USD,lb,6.459544282016912,Ingot,0,Antimony,Sb,Sb,molecular_formula,Sb
Antimony Trioxide,99.5% min delivered in China,USD / mt,5081.5,,08.07.19,USD,metric_ton,5.0815,Trioxide,1,Antimony Trioxide,Sb2O3,O3Sb2,molecular_formula,Sb2O3
Antimony Trioxide,99.8% min delivered in China,USD / mt,5226.5,,08.07.19,USD,metric_ton,5.2265,Trioxide,1,Antimony Trioxide,Sb2O3,O3Sb2,molecular_formula,Sb2O3
Antimony Trioxide,99.5% min FOB China,USD / mt,5300.0,,08.07.19,USD,metric_ton,5.3,Trioxide,1,Antimony Trioxide,Sb2O3,O3Sb2,molecular_formula,Sb2O3
Antimony Trioxide,99.5% min in the Baltimore warehouse,USD / lb,2.6799999999999997,,08.07.19,USD,lb,5.908388626554718,Trioxide,1,Antimony Trioxide,Sb2O3,O3Sb2,molecular_formula,Sb2O3
Antimony ethelyene_glycol,57% min delivered in China,USD / mt,5299.0,,08.07.19,USD,metric_ton,5.299,ethelyene_glycol,2,Antimony Ethylene Glycoxide,,,material_name,Antimony Ethylene Glycoxide
Arsenic metal,99% min EXW China,USD / mt,1125.0,,08.07.19,USD,metric_ton,1.125,metal,3,Arsenic,As,As,molecular_formula,As
Arsenic metal,99% min FOB China,USD / mt,1165.0,,08.07.19,USD,metric_ton,1.165,metal,3,Arsenic,As,As,molecular_formula,As
Arsenic trioxide,99% min EXW China,USD / mt,450.0,,08.07.19,USD,metric_ton,0.45,trioxide,4,Arsenic Trioxide,As2O3,As2O3,molecular_formula,As2O3
Arsenic trioxide,99% min FOB China,USD / mt,410.0,,08.07.19,USD,metric_ton,0.41000000000000003,trioxide,4,Arsenic Trioxide,As2O3,As2O3,molecular_formula,As2O3
Bismuth ingot,99.99% min EXW China,USD / mt,5988.5,,08.07.19,USD,metric_ton,5.9885,ingot,5,Bismuth,Bi,Bi,molecular_formula,Bi
Bismuth ingot,99.99% min FOB China,USD / lb,2.825,,08.07.19,USD,lb,6.228058906722792,ingot,5,Bismuth,Bi,Bi,molecular_formula,Bi
Bismuth ingot,99.99% min delivered in Europe,USD / lb,2.925,,08.07.19,USD,lb,6.448521168907669,ingot,5,Bismuth,Bi,Bi,molecular_formula,Bi
Bismuth ingot,99.99% min delivered in US,USD / lb,3.0250000000000004,,08.07.19,USD,lb,6.668983431092547,ingot,5,Bismuth,Bi,Bi,molecular_formula,Bi
Bismuth oxides,99.9% min EXW China,USD / mt,6497.0,,08.07.19,USD,metric_ton,6.497,oxides,6,Bismuth Oxide,Bi2O3,Bi2O3,molecular_formula,Bi2O3
Cadmium Ingot,99.99% min EXW China,USD / mt,2765.5,,08.07.19,USD,metric_ton,2.7655,Ingot,7,Cadmium,Cd,Cd,molecular_formula,Cd
Cadmium Ingot,99.99% min in the warehouse Rotterdam,USD / lb,1.2650000000000001,,08.07.19,USD,lb,2.7888476166387015,Ingot,7,Cadmium,Cd,Cd,molecular_formula,Cd
Cadmium Ingot,99.99% min in the Baltimore warehouse,USD / lb,1.27,,08.07.19,USD,lb,2.799870729747945,Ingot,7,Cadmium,Cd,Cd,molecular_formula,Cd
Calcium Ingot,Reductive 98% min EXW China,USD / mt,2068.5,,08.07.19,USD,metric_ton,2.0685000000000002,Ingot,8,Calcium,Ca,Ca,molecular_formula,Ca
Calcium Granule,Reductive 98% min EXW China,USD / mt,2526.0,,08.07.19,USD,metric_ton,2.5260000000000002,Granule,9,Calcium,Ca,Ca,molecular_formula,Ca
Calcium Granule,Reductive 98% min FOB China,USD / mt,2660.0,,08.07.19,USD,metric_ton,2.66,Granule,9,Calcium,Ca,Ca,molecular_formula,Ca
Calcium Granule,Electrolytic 98.5% min EXW China,USD / mt,5473.5,,08.07.19,USD,metric_ton,5.4735000000000005,Granule,9,Calcium,Ca,Ca,molecular_formula,Ca
Calcium Granule,Electrolytic 98.5% min FOB China,USD / mt,6140.0,,08.07.19,USD,metric_ton,6.140000000000001,Granule,9,Calcium,Ca,Ca,molecular_formula,Ca
Chrome Conc.,SA 42% min CIF China,USD / mt,165.0,,08.07.19,USD,metric_ton,0.165,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,SA 40% min in the port of China,USD / dmtu,3.9899999999999998,,08.07.19,USD,dmtu,0.00399,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,SA 40% min CIF China,USD / mt,145.0,,08.07.19,USD,metric_ton,0.145,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,46% min FOB Turkey,USD / mt,192.5,,08.07.19,USD,metric_ton,0.1925,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,42% min FOB SA,USD / mt,129.5,ï¿½2.26,08.07.19,USD,metric_ton,0.1295,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,40% min FOB SA,USD / mt,112.5,ï¿½2.60,08.07.19,USD,metric_ton,0.1125,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,Turkish 46% min CIF China,USD / mt,217.5,,08.07.19,USD,metric_ton,0.2175,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome Conc.,Turkish 46% min in the port of China,USD / dmtu,6.025,,08.07.19,USD,dmtu,0.006025000000000001,Conc.,10,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome lump,Turkish 40% min in the port of China,USD / dmtu,5.734999999999999,,08.07.19,USD,dmtu,0.005735,lump,11,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome lump,Turkish 40% min CIF China,USD / mt,197.5,,08.07.19,USD,metric_ton,0.1975,lump,11,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chrome lump,40% min FOB Turkey,USD / mt,177.5,,08.07.19,USD,metric_ton,0.1775,lump,11,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
Chromium metal,99% min EXW China,USD / mt,8348.0,ï¿½1.71,08.07.19,USD,metric_ton,8.348,metal,12,Chromium,Cr,Cr,molecular_formula,Cr
Chromium metal,99% min FOB China,USD / mt,8140.0,ï¿½1.75,08.07.19,USD,metric_ton,8.14,metal,12,Chromium,Cr,Cr,molecular_formula,Cr
Cobalt Conc.,6-8% CIF China,USD / lb Co,8.35,ï¿½2.34,08.07.19,USD,lb,18.408598892437276,Conc.,13,Cobalt,Co,Co,molecular_formula,Co
Cobalt Intermediate,20-30% CIF China,USD / lb Co,8.45,ï¿½2.31,08.07.19,USD,lb,18.629061154622153,Intermediate,14,Cobalt,Co,Co,molecular_formula,Co
Cobalt metal,99.3% min in the warehouse Rotterdam,USD / lb,13.95,,08.07.19,USD,lb,30.75448557479042,metal,15,Cobalt,Co,Co,molecular_formula,Co
Cobalt metal,99.8% min in the warehouse Rotterdam,USD / lb,14.6,,08.07.19,USD,lb,32.18749027899212,metal,15,Cobalt,Co,Co,molecular_formula,Co
Cobalt metal,99.8% min in the Baltimore warehouse,USD / lb,14.3,,08.07.19,USD,lb,31.526103492437493,metal,15,Cobalt,Co,Co,molecular_formula,Co
Cobalt metal,99.8% min delivered in China,USD / kg,30.5,,08.07.19,USD,kg,30.5,metal,15,Cobalt,Co,Co,molecular_formula,Co
Cobalt Carbonates,46% min delivered in China,USD / mt,14445.0,ï¿½2.93,08.07.19,USD,metric_ton,14.445,Carbonates,16,Cobalt Carbonate,CCoO3,CCoO3,molecular_formula,CCoO3
Cobalt Chloride,24% min delivered in China,USD / mt,6388.0,,08.07.19,USD,metric_ton,6.388,Chloride,17,Cobalt Chloride,CoCl2,Cl2Co,molecular_formula,CoCl2
Cobalt Monoxide,78% min delivered in China,USD / kg,31.6,,08.07.19,USD,kg,31.6,Monoxide,18,Cobalt Monoxide,CoO,CoO,molecular_formula,CoO
Cobalt oxides,72% min delivered in China,USD / kg,22.15,,08.07.19,USD,kg,22.15,oxides,19,Cobalt Tetraoxide,Co3O4,Co3O4,molecular_formula,Co3O4
Cobalt Powder,99.5% min delivered in China,USD / kg,33.3,ï¿½1.29,08.07.19,USD,kg,33.3,Powder,20,Cobalt,Co,Co,molecular_formula,Co
Cobalt sulphates,20.5% min delivered in China,USD / mt,5371.5,ï¿½1.33,08.07.19,USD,metric_ton,5.3715,sulphates,21,Cobalt Sulphate,CoSO4,CoO4S,molecular_formula,CoSO4
Cobalt Tetroxide,73.5% min delivered in China,USD / kg,22.25,,08.07.19,USD,kg,22.25,Tetroxide,22,Cobalt Tetroxide,Co3O4,Co3O4,molecular_formula,Co3O4
Gallium metal,99.99% min EXW China,USD / kg,146.0,,08.07.19,USD,kg,146.0,metal,23,Gallium,Ga,Ga,molecular_formula,Ga
Gallium metal,99.99% min FOB China,USD / kg,146.5,,08.07.19,USD,kg,146.5,metal,23,Gallium,Ga,Ga,molecular_formula,Ga
Gallium metal,99.99% min delivered in Europe,USD / kg,157.0,,08.07.19,USD,kg,157.0,metal,23,Gallium,Ga,Ga,molecular_formula,Ga
Gallium metal,99.99% min delivered in US,USD / kg,157.0,,08.07.19,USD,kg,157.0,metal,23,Gallium,Ga,Ga,molecular_formula,Ga
