,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD / kilogram
index,,,
Al,"Aluminum Ingot - Chong Qing, Aluminum Ingot - Fo Shan, Aluminum Ingot - Hang Zhou, Aluminum Ingot - Lin Yi, Aluminum Ingot - Shen Yang, Aluminum Ingot - Tian Jin, Aluminum Ingot - Wu Xi, High purity aluminium(99.99%), High purity aluminium(99.996%), Low Carbon Aluminum, SMM A00 Aluminum Ingot, SMM Aluminum Ingot - Gong Yi",Al,3.8066633333333333
Al2O3,"Alumina (Averaged), Alumina - Bayuquan, Alumina - Guangxi, Alumina - Guizhou, Alumina - Henan, Alumina - Lianyungang, Alumina - Shandong, Alumina - Shanxi, Australian Alumina FOB Price",Al2O3,0.7717111111111111
Ammonium Heptamolybdate,Hexaammonium molybdate,(NH4)6Mo7O24,27.79134
Ammonium Tetrathiomolybdate,Ammoinum Tetramolybdate,H8N2MoS4,27.39769
As,Arsenic Metal,As,1.4407400000000001
Bauxite,"Australia Bauxite CIF, Bauxite(4.5≤Al/Si<5.5)Henan, Bauxite(4.5≤Al/Si<5.5)Shanxi, Bauxite(5.5≤Al/Si<6.5)Guangxi, Bauxite(5.5≤Al/Si<6.5)Guizhou, Bauxite(6.0≤Al/Si<7.0)Henan, Bauxite(6.0≤Al/Si<7.0)Shanxi, Bauxite(6.5≤Al/Si<7.5)Guangxi, Bauxite(6.5≤Al/Si<7.5)Guizhou, Guinea Bauxite CIF, Indonesia Bauxite CIF, Malaysia Bauxite CIF",AlHO2,0.14796499999999999
Be,Beryllium,Be,944.75
Ca,"Calcium 98.5%, Calcium 99%",Ca,8.975105000000001
Cd,Cadmium Ingot,Cd,3.09405
Cs,Cesium(Cs≥99.5%),Cs,110222.31260195139
Cs2CO3,Cesium Carbonate(Cs2CO3≥99%),Cs2CO3,141.71
Cu,"Guixi Copper, High-Grade Copper, Low-Quality Copper, SMM Copper Cathode, SMM bonded copper spot price, Standard-Grade Copper",Cu,11.38723
FeMo,Ferro-molybdenum 60%,FeMo,28.18498
FeNb,"Ferroniobium 60A, Ferroniobium 60B",FeNb,36.21534
FeV,50 Ferrovanadium,FeV,25.350740000000002
K,Potassium,K,21.650470000000002
Li,Lithium Metal,Li,496.11079
Li2CO3,Lithium Carbonate (99.5% Battery Grade),Li2CO3,79.12264
Mo,"Brushed molybdenum strip, Molybdenum, Molybdenum Fine (second grade), Molybdenum Fines (first grade), Molybdenum strip",Mo,55.9
MoO3,"High-purity Molybdenum Trioxide, Molybdenum Oxide, FOB, China, Molybdenum ores and concentrates, roasted 45%, Molybdenum ores and concentrates, roasted 50%, Molybdenum oxides and hydroxides",MoO3,60.82109910420256
Na,Sodium,Na,3.93645
Nb,Niobium,Nb,102.35
Nb2O5,Niobium Pentoxide 99.5%,Nb2O5,47.24
Ni,"Import Nickel, JinChuan Nickel, Nickel Briquettes, SMM Nickel",Ni,35.01472
Pb,"Lead - Guangdong, Lead - Henan, Lead -Tianjin, SMM Lead",Pb,2.4337125000000004
Rb,Rubidium(Rb≥99.5%),Rb,125968.60921624409
Rb2CO3,Rubidium Carbonate(Rb2CO3≥99%),Rb2CO3,1062.84
Re,Rhenium,Re,3542.8
Sn,SMM Tin Ingot,Sn,54.71665
Ta,Tantalum Powders for metallurgy(Ta≥99.95%),Ta,433.01
Ta2O5,"Tantalum Pentoxide(Ta2O5≥99.5%), Tantalum Pentoxide(Ta2O5≥99.95%)",Ta2O5,299.17
Ti,Titanium Sponge,Ti,12.6
TiCl4,Titanium tetrachloride(99.9%),TiCl4,1.29903
TiO2,"Anatase Titanium Dioxide, High Titanium Slag(TiO2≥90%), Rutile Titanium Dioxide, Titanium Concentrate(TiO2≥46%), Titanium Concentrate(TiO2≥47%)",TiO2,1.702908
V,Vanadium,V,393.64
V2O5,Vanadium pentoxide( Flake V2O5>=98%),V2O5,23.30378
VN,Vanadium nitrogen alloy,VN,34.87695
Zn,"Zinc-HX, Zinc-Ibis, Zinc-Nanhua, Zinc-Qilin (Guangdong), Zinc-Shuangyan, Zinc-Torch, Zirconium Sponge",Zn,8.118285714285713
