index,original_name,molecular_formula,search_text
AQDS,AQDS,C14H8O8S2,AQDS
Ag,Silver Bullion,Ag,Ag Silver Bullion
Al, Al-2024,Al,Al Al-2024
Al, Al-6061-T6,Al,Al Al-6061-T6
Al, Al-7075-T6,Al,Al Al-7075-T6
Al, Aluminium (Al),Al,Al Aluminium (Al)
Al, Aluminum Ingot,Al,Al Aluminum Ingot
Al2O3,Activated Alumina,Al2O3,Al2O3 Activated Alumina
Al2O3, Bauxite and Alumina Alumina,Al2O3,Al2O3 Bauxite and Alumina Alumina
AlSc,Scandium Mtl_Alloy,AlSc,AlSc Scandium Mtl_Alloy
Ammonium Heptamolybdate,Ammonium heptamolybdate,H50Mo7N6O28 ,Ammonium Heptamolybdate Ammonium heptamolybdate
Ammonium Paratungstate,Tungsten APT,(NH4)10(H2W12O42)(H2O)4,Ammonium Paratungstate Tungsten APT
Ammonium Tetrathiomolybdate,Ammonium Tetrathiomolybdate,H10MoN2S4,Ammonium Tetrathiomolybdate
Antimony Ethylene Glycoxide,Antimony ethelyene_glycol,,Antimony Ethylene Glycoxide Antimony ethelyene_glycol
As,Arsenic Mtl-CN,As,As Arsenic Mtl-CN
As, Arsenic metal,As,As Arsenic metal
As2O3,Arsenic Triox-CN,As2O3,As2O3 Arsenic Triox-CN
As2O3, Arsenic Triox-MA,As2O3,As2O3 Arsenic Triox-MA
As2O3, Arsenic trioxide,As2O3,As2O3 Arsenic trioxide
Asbestos,Asbestos Customs,Mg3Si2O5(OH)4,Asbestos Asbestos Customs
Au,Gold ,Au,Au Gold
B,Boron (B),B,B Boron (B)
B, Boron CIF,B,B Boron CIF
Ba(OH)2,Ba(OH)2 barium,Ba(OH)2,Ba(OH)2 Ba(OH)2 barium
BaCO3,BaCO3 barium carbonate,BaCO3,BaCO3 BaCO3 barium carbonate
BaO,barium oxide BaO,BaO,BaO barium oxide BaO
BaO2,BaO2 barium oxide,BaO2,BaO2 BaO2 barium oxide
Barite,Barite ,BaSO4,Barite
Bauxite,Bauxite and Alumina Bauxite,AlHO2,Bauxite Bauxite and Alumina Bauxite
Be,Beryllium Alloy,Be,Be Beryllium Alloy
Bi, Bismuth ,Bi,Bi Bismuth
Bi, Bismuth ingot,Bi,Bi Bismuth ingot
Bi2O3,Bismuth oxides,Bi2O3,Bi2O3 Bismuth oxides
Br2,Bromine Imports,Br2,Br2 Bromine Imports
C,Activated Carbon,C,C Activated Carbon
C, Active carbon,C,C Active carbon
C6H12O6Sc,Scandium Cmpds_Acetate,C6H12O6Sc,C6H12O6Sc Scandium Cmpds_Acetate
CCoO3,Cobalt Carbonates,CCoO3,CCoO3 Cobalt Carbonates
CFRP,AS4-3501–6,,CFRP AS4-3501–6
CFRP, AS4–8552,,CFRP AS4–8552
CFRP, IM7-8551–7,,CFRP IM7-8551–7
CFRP, IM7–8552,,CFRP IM7–8552
CFRP, T300-BSL914C,,CFRP T300-BSL914C
CFRP, T300-PR319,,CFRP T300-PR319
CNT,Carbon Nanotube,C6,CNT Carbon Nanotube
CW,Tungsten carbide,CW,CW Tungsten carbide
Ca, Calcium Granule,Ca,Ca Calcium Granule
Ca, Calcium Ingot,Ca,Ca Calcium Ingot
Ca(NO3)2,Calcum nitrate Ca(NO3)2,Ca(NO3)2,Ca(NO3)2 Calcum nitrate Ca(NO3)2
Ca(OH)2 ,Ca(OH)2 calcium hydrate,Ca(OH)2 ,Ca(OH)2  Ca(OH)2 calcium hydrate
CaCO3,CaCO3,CaCO3,CaCO3
CaCl2,CaCl2,CaCl2,CaCl2
CaF2,CaF2,CaF2,CaF2
CaF2, Fluorspar Acid,CaF2,CaF2 Fluorspar Acid
CaF2, Fluorspar Metallurgical,CaF2,CaF2 Fluorspar Metallurgical
CaO,Lime Hydrated,CaO,CaO Lime Hydrated
CaO, Lime Quicklime,CaO,CaO Lime Quicklime
CaSO4,CaSO4,CaSO4,CaSO4
CaSO4, Gypsum Mine,CaSO4,CaSO4 Gypsum Mine
CaSO4, Gypsum Plant,CaSO4,CaSO4 Gypsum Plant
Cd,Cadmium Ingot,Cd,Cd Cadmium Ingot
Cd, Cadmium Metal,Cd,Cd Cadmium Metal
Cd(OH)2,Cd(OH)2,"Cd(OH)2, CdH2O2",Cd(OH)2
Cd(OH)2, Cd(OH)2 cadmium hydroxide,"Cd(OH)2, CdH2O2",Cd(OH)2 Cd(OH)2 cadmium hydroxide
CdCO3,CdCO3 cadmium carbonate,CCdO3,CdCO3 CdCO3 cadmium carbonate
CdSO4 ,CdSO4 cadmium sulphate,CdSO4 ,CdSO4  CdSO4 cadmium sulphate
CeO2,Rare Earths CeO2,CeO2,CeO2 Rare Earths CeO2
Celestite,Strontium ,SrSO4,Celestite Strontium
Cement,Cement Avg,CaAl2O6Si,Cement Cement Avg
Cl2Mg,MgCl2,Cl2Mg,Cl2Mg MgCl2
ClK,KCl,ClK,ClK KCl
ClLi,LiCl,ClLi,ClLi LiCl
ClLi, Lithium chlorides,ClLi,ClLi Lithium chlorides
ClNa,NaCl,ClNa,ClNa NaCl
Clay,Clays Ball,Al2O5Si,Clay Clays Ball
Clay, Clays Bentonite,Al2O5Si,Clay Clays Bentonite
Clay, Clays Common,Al2O5Si,Clay Clays Common
Clay, Clays Fire,Al2O5Si,Clay Clays Fire
Clay, Clays Fullers,Al2O5Si,Clay Clays Fullers
Clay, Clays Kaolin,Al2O5Si,Clay Clays Kaolin
Co,Cobalt Conc.,Co,Co Cobalt Conc.
Co, Cobalt Intermediate,Co,Co Cobalt Intermediate
Co, Cobalt Powder,Co,Co Cobalt Powder
Co, Cobalt metal,Co,Co Cobalt metal
Co, Cobalt LME,Co,Co Cobalt LME
Co, Cobalt Spot,Co,Co Cobalt Spot
Co3O4,Cobalt Tetroxide,Co3O4,Co3O4 Cobalt Tetroxide
Co3O4, Cobalt oxides,Co3O4,Co3O4 Cobalt oxides
CoCl2,Cobalt Chloride,CoCl2,CoCl2 Cobalt Chloride
CoO,Cobalt Monoxide,CoO,CoO Cobalt Monoxide
CoSO4,Cobalt sulphates,CoSO4,CoSO4 Cobalt sulphates
Cr,Chromium (Cr),Cr,Cr Chromium (Cr)
Cr, Chromium Metal,Cr,Cr Chromium Metal
Cr, Chromium metal,Cr,Cr Chromium metal
Cr2O3,Cr2O3 chromium oxide,Cr2O3,Cr2O3 Cr2O3 chromium oxide
CrCl3(H2O)6,CrCl3 6H2O,CrCl3(H2O)6,CrCl3(H2O)6 CrCl3 6H2O
CrFeO4,Chrome Conc.,CrFeO4,CrFeO4 Chrome Conc.
CrFeO4, Chrome lump,CrFeO4,CrFeO4 Chrome lump
CrFeO4, Chromium Ore,CrFeO4,CrFeO4 Chromium Ore
Cu,Copper (Cu),Cu,Cu Copper (Cu)
Cu, Copper COMEX,Cu,Cu Copper COMEX
Cu, Copper LME,Cu,Cu Copper LME
Cu, Copper US,Cu,Cu Copper US
CuCl,CuCl,CuCl,CuCl
CuO,Copper Oxide CuO,CuO,CuO Copper Oxide CuO
CuSO4,Copper Sulfate CuSO4,CuSO4,CuSO4 Copper Sulfate CuSO4
Diamond,Diamond (Industrial) Bort_Imports,C,Diamond Diamond (Industrial) Bort_Imports
Diamond, Diamond (Industrial) Stones_Imports,C,Diamond Diamond (Industrial) Stones_Imports
Diatomite,Diatomite ,SiO2,Diatomite
