index,specific_price,min_quantity_kg,keep,title,link,hydrate_count,scaled_anhydrous_price,min_quantity,min_unit,search_text
AQDS,9.8,100.0,y,"Anthraquinone-2,7-disulfonic acid disodium salt for organic redox flow battery cas no 853-67-8",https://www.alibaba.com/product-detail/Anthraquinone-2-7-disulfonic-acid-disodium_1600186016353.html,,,100.0,kg,853-67-8
AQDS,8.0,1.0,y,"Desulfurizer Anthraquinone-2,7-disulfonic acid disodium salt with CAS : 853-67-8",https://www.alibaba.com/product-detail/Desulfurizer-Anthraquinone-2-7-disulfonic-acid_1600328875028.html,,,1.0,kg,853-67-8
AQDS,5.6,1.0,y,"ANTHRAQUINONE-2,7-DISULFONIC ACID DISODIUM SALT CAS 853-67-8",https://www.alibaba.com/product-detail/ANTHRAQUINONE-2-7-DISULFONIC-ACID-DISODIUM_1600290871324.html,,,1.0,kg,853-67-8
AQDS,30.0,1.0,y,"ANTHRAQUINONE-2,7-DISULFONIC ACID DISODIUM SALT CAS 853-67-8 7-disulfonic acid disodiuM salt",https://www.alibaba.com/product-detail/ANTHRAQUINONE-2-7-DISULFONIC-ACID-DISODIUM_1600280882714.html,,,1.0,kg,853-67-8
AQDS,9.8,100.0,y,"Anthraquinone-2,7-disulfonic acid disodium salt CAS NO 853-67-8",https://www.alibaba.com/product-detail/Anthraquinone-2-7-disulfonic-acid-disodium_1600186011768.html,,,100.0,kg,853-67-8
AQDS,8.0,1.0,y,"Desulfurizer 2,7-Anthraquinonedisulfonic acid disodium salt with CAS : 853-67-8",https://www.alibaba.com/product-detail/Desulfurizer-2-7-Anthraquinonedisulfonic-acid-disodium_1600329003340.html,,,1.0,kg,853-67-8
AQDS,30.0,1.0,y,"Desulfurizing agent 2,7-ADA CAS 853-67-8 2,7-Anthraquinonedisulphonic acid disodium salt",https://www.alibaba.com/product-detail/Desulfurizing-agent-2-7-ADA-CAS_1600280886702.html,,,1.0,kg,853-67-8
AQDS,9.5,100.0,y,"Anthraquinone-2,7-Disulfonic Acid Disodium Salt for sulfur removal cas no 853-67-8",https://www.alibaba.com/product-detail/Anthraquinone-2-7-Disulfonic-Acid-Disodium_1600186723303.html,,,100.0,kg,853-67-8
AQDS,5.5,10.0,y,High Quality 98.5% Anthraquinone Powder CAS 84-65-1,https://www.alibaba.com/product-detail/High-Quality-98-5-Anthraquinone-Powder_1600433568725.html?spm=a2700.galleryofferlist.normal_offer.d_title.4b4c6b46zBoCmW&s=p,not_specified,,10.0,kg,Anthraquinone
Al,0.6,5000.0,y,Aluminum Ingot China Factory Aluminum Ingot 99.7% 99.8% 99.9% Price,https://www.alibaba.com/product-detail/Aluminum-Ingot-China-Factory-Aluminum-Ingot_1600467250153.html?s=p,,,5.0,t,aluminum ingot
Al,2.431,20000.0,y,Exporting Bulk Aluminum Ingots ADC12 Which Manufactures Aluminum Alloy Parts And Accessories From Vietnam,https://www.alibaba.com/product-detail/Exporting-Bulk-Aluminum-Ingots-ADC12-Which_10000002683497.html,,,20.0,t,aluminum ingot
Al,0.6,1000.0,y,Aluminum Ingots Are From Chinese Manufacturers. High Purity. No Impurities. Aluminium Scrap,https://www.alibaba.com/product-detail/Aluminum-Ingots-Are-From-Chinese-Manufacturers_1600433802155.html,,,1.0,t,aluminum ingot
Al,1.52,25000.0,y,Aluminum Ingot Best Price High Quality Aluminum Ingot,https://www.alibaba.com/product-detail/Aluminum-Ingot-Best-Price-High-Quality_1600207915280.html?s=p,,,25.0,t,aluminum ingot
Al,1.2,25000.0,y,Aluminum Ingots Top Quality Aluminium Ingot 99.7%,https://www.alibaba.com/product-detail/Aluminum-Ingots-Top-Quality-Aluminium-Ingot_1600463274549.html?s=p,,,25.0,t,aluminum ingot
Al,6.6,10000.0,y,99.90% 99.95%99.98% 99.99% Magnesium Ingots for manufacturing magnesium alloy and magnesium aluminum alloy,https://www.alibaba.com/product-detail/99-90-99-95-99-98_1600450742167.html?s=p,,,10.0,t,aluminum ingot
Al,1.62,25000.0,y,Aluminum Ingots Factory Offer Stable Quality Aluminum Alloy Ingots 99.99% Purity Hot Selling,https://www.alibaba.com/product-detail/Aluminum-Ingots-Factory-Offer-Stable-Quality_1600208613073.html?s=p,,,25.0,t,aluminum ingot
Al,2.28346,3000.0,y,5505 Aluminum Alloy Bar/ Ingot /Scrap Aluminum Round Bar,https://www.alibaba.com/product-detail/5505-Aluminum-Alloy-Bar-Ingot-Scrap_1600476831486.html?s=p,,,3.0,t,aluminum ingot
Al,1.45,25000.0,y,Aluminum Ingot Primary 99.7 High Purity Scandium  Alsc  Alloy Aluminum - Ingots -A5-A7 98.5 % - 99.0%,https://www.alibaba.com/product-detail/Aluminum-Ingot-Primary-99-7-High_1600310716037.html?s=p,,,25.0,t,aluminum ingot
Al2O3,8.0,1000.0,y,Al2o3 Al2o3al2o3al2o3 Aluminum Oxide Al2o3 99% Purity Alumina Powder 99.5% Al2O3 Aluminium Oxide Al2O3 For Electronic Filler,https://www.alibaba.com/product-detail/Al2o3-Al2o3al2o3al2o3-Aluminum-Oxide-Al2o3-99_1600191865971.html?s=p,,,1000.0,kg,Al2O3
Al2O3,0.45,1000.0,y,High purity alpha Alumina Al2O3 Oxide,https://www.alibaba.com/product-detail/High-purity-alpha-Alumina-Al2O3-Oxide_1600145971658.html?s=p,,,1.0,t,Al2O3
Al2O3,10.0,10.0,y,Al2o3 Al2o3 Aluminum Oxide Purification Fast Delivery Factory Supply Al2O3 CAS 1344-28-1,https://www.alibaba.com/product-detail/Al2o3-Al2o3-Aluminum-Oxide-Purification-Fast_1600471326789.html?s=p,,,10.0,kg,Al2O3
B,140.0,1.0,y,Hot sale CAS 7440-42-8 from factory,https://www.alibaba.com/product-detail/Hot-sale-CAS-7440-42-8_1600397330482.html,,,1.0,kg,7440-42-8
B,1.2,1000.0,y,Black Powder Boron Powder Price Cas 7440-42-8 Amorphous Boron Powder,https://www.alibaba.com/product-detail/Black-Powder-Boron-Powder-Price-Cas_1600500677143.html,,,1.0,t,7440-42-8
B,430.0,1.0,y,7440-42-8 / 7440-42-8 Multiple Application 1-5um 85%/90%/95% 7440-42-8 / /Boron Powder/Element Boron/Metallic Boron,https://www.alibaba.com/product-detail/7440-42-8-7440-42-8_1600488098294.html?s=p,,,1.0,kg,7440-42-8
B,220.0,20.0,y,7440-42-8 7440-42-8 Amorphous Boron Powder Boron Powder Price CAS 7440-42-8 Amorphous Boron Powder,https://www.alibaba.com/product-detail/7440-42-8-7440-42-8_1600332451351.html?s=p,,,20.0,kg,7440-42-8
B,220.0,20.0,y,Ultrafine Boron Metal Amorphous Boron Powder CAS 7440-42-8 Boron Powder Price,https://www.alibaba.com/product-detail/Ultrafine-Boron-Metal-Amorphous-Boron-Powder_1600290078621.html,,,20.0,kg,7440-42-8
B,220.0,20.0,y,High Purity Boron Powder Price CAS 7440-42-8 Amorphous Boron Powder,https://www.alibaba.com/product-detail/High-Purity-Boron-Powder-Price-CAS_1600268888378.html,,,20.0,kg,7440-42-8
B,0.001,1.0,y,High Quality Boron CAS NO 7440-42-8 Manufacturer,https://www.alibaba.com/product-detail/High-Quality-Boron-CAS-NO-7440_11000002367204.html,,,1.0,kg,7440-42-8
B,140.0,1.0,y,Professional manufacture for Amorphous Boron CAS 7440-42-8,https://www.alibaba.com/product-detail/Professional-manufacture-for-Amorphous-Boron-CAS_1600380978479.html,,,1.0,kg,7440-42-8
B,380.0,1.0,y,Factory selling high purity 99% amorphous boron powder CAS: 7440-42-8,https://www.alibaba.com/product-detail/Factory-selling-high-purity-99-amorphous_468130983.html,,,1.0,kg,7440-42-8
B,200.0,1.0,y,High purity Boron powder 7440-42-8 Used as flux in welding,https://www.alibaba.com/product-detail/High-purity-Boron-powder-7440-42_1600292449932.html,,,1.0,kg,7440-42-8
Ba,98.0,1.0,y,High purity barium metal barium granules,https://www.alibaba.com/product-detail/High-purity-barium-metal-barium-granules_1600407437880.html,,,1.0,kg,barium metal
Ba,0.7,10000.0,y,China supply silicon barium metal with competitive price,https://www.alibaba.com/product-detail/China-supply-silicon-barium-metal-with_1600095460055.html,,,10.0,t,barium metal
Ba,120.0,1.0,y,High purity 99.9% Ba granules barium metal manufacture pric,https://www.alibaba.com/product-detail/High-purity-99-9-Ba-granules_1600272056627.html?spm=a2700.galleryofferlist.normal_offer.d_title.10c356b4tLJPj7,not_specified,,1.0,kg,Barium
Ba,80.0,1.0,y,2021 best seller barium metal price,https://www.alibaba.com/product-detail/2021-best-seller-barium-metal-price_1600273638813.html,,,1.0,kg,barium metal
Ba(OH)2,0.2,1000.0,y,B-L909 for Powder Coating Natural Barium Sulfate,https://www.alibaba.com/product-detail/B-L909-for-Powder-Coating-Natural_60704204218.html,,,1.0,t,Ba(OH)2 barium
Ba(OH)2,0.425,20000.0,y,Manufacturers direct precipitation barium sulfate low price,https://www.alibaba.com/product-detail/Manufacturers-direct-precipitation-barium-sulfate-low_1600342297328.html,,,20.0,t,Ba(OH)2 barium
