index,search_text,must_contain,split_hydrate,original_names
AQDS,853-67-8,ANTHRAQUINONE,,AQDS
Al,aluminum ingot,aluminum,,"Al, Al-2024, Al-6061-T6, Al-7075-T6, Aluminium, Aluminium (Al), Aluminum Ingot, Aluminum Ingot - Chong Qing, Aluminum Ingot - Fo Shan, Aluminum Ingot - Hang Zhou, Aluminum Ingot - Lin Yi, Aluminum Ingot - Shen Yang, Aluminum Ingot - Tian Jin, Aluminum Ingot - Wu Xi, High purity aluminium(99.99%), High purity aluminium(99.996%), Low Carbon Aluminum, SMM A00 Aluminum Ingot, SMM Aluminum Ingot - Gong Yi"
Al2O3,Al2O3,"Al2O3, Alumina, Aluminum Oxide",,"Activated Alumina, Al2O3, Alumina (Averaged), Alumina - Bayuquan, Alumina - Guangxi, Alumina - Guizhou, Alumina - Henan, Alumina - Lianyungang, Alumina - Shandong, Alumina - Shanxi, Australian Alumina FOB Price, Bauxite and Alumina Alumina"
Au,,,,"Gold "
B,7440-42-8,,,"Boron (B), Boron CIF"
Ba,barium metal,barium metal,,Ba
Bi,bismuth metal,bismuth metal,,"Bi, Bismuth , Bismuth ingot"
Bipyridine,366-18-7,Bipyridine,,
Br2,,,,Bromine Imports
Graphite,graphite powder,graphite powder,,Graphite
CNT,carbon nanotube,carbon nanotube,,
CO2,,,,Cyrogenic Carbon Capture
Ca,calcium metal,calcium metal,,"Ca, Calcium 98.5%, Calcium 99%, Calcium Granule, Calcium Ingot"
Ca(NO3)2,Ca(NO3)2,Ca(NO3)2,,
CaCO3,CaCO3,CaCO3,,"CALCIUM CARBONATE Technical Grade 50 LB BAG, CaCO3, Calcium Carbonate 99% Powder SAA6532 SAA"
CaCl2,CaCl2,CaCl2,y,CaCl2
CaF2,CaF2,CaF2,,"CaF2, Fluorspar Acid, Fluorspar Metallurgical"
CaSO4,CaSO4,CaSO4,y,"CaSO4, Gypsum Mine, Gypsum Plant"
Cd,Cadmium metal,"Cadmium metal, Cadmium ingot",,"Cadmium Ingot, Cadmium Metal, Cd"
Cd(OH)2,cadmium hydroxide,cadmium hydroxide,,Cd(OH)2
CeO2,CeO2,CeO2,,Rare Earths CeO2
Clay,Clay,Clay,,"Clays Ball, Clays Bentonite, Clays Common, Clays Fire, Clays Fullers, Clays Kaolin"
Co,cobalt metal,cobalt metal,,"Cobalt Conc., Cobalt Intermediate, Cobalt Powder, Cobalt metal, Cobalt LME, Cobalt Spot"
CoO,cobalt oxide,CoO,,Cobalt Monoxide
Concrete,,,,Concrete
Cr,chromium metal,,,"Chromium (Cr), Chromium Metal, Chromium metal"
Cu,copper metal,,,"Copper (Cu), Copper COMEX, Copper LME, Copper US, Guixi Copper, High-Grade Copper, Low-Quality Copper, SMM Copper Cathode, SMM bonded copper spot price, Standard-Grade Copper"
Fe,iron metal,,,"Cast iron, Iron and Steel Scrap , Iron and Steel Slag "
FeCl2,FeCl2,FeCl2,y,FeCl2
FeSO4,FeSO4,FeSO4,y,
Ga,Gallium metal,Gallium metal,,"Ga, Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import, Gallium metal"
Graphene,Graphene powder,Graphene powder,,Graphene
Graphene Oxide,Graphene Oxide,Graphene Oxide,,
Gravel,,,,"Sand and Gravel (Construction) , Sand and Gravel (Industrial) "
HITEC,,,,HITEC
HITEC XL,,,,"HITEC XL, HITEC XL, NaNO3e KNO3eCa(NO3)2"
Hg,,,,"Hg, Mercury EU, Mercury Global"
I2,,,,Iodine Crude_CIF
In,indium metal,indium metal,,"In, Indium FOB, Indium NY, Indium Rotterdam, Indium ingot"
Iron Ore,,,,"Iron Ore , Magnetite"
K,,,,"K, Potassium"
K2CO3,K2CO3,K2CO3,,K2CO3
K2SO4,K2SO4,K2SO4,,K2SO4
K4Fe(CN)6,,,,
KCl,KCl,KCl,,"KCl, Potash Muriate"
KF,,,,KF
KNO3,KNO3,KNO3,,KNO3
KOH,koh potassium hydroxide,"koh, potassium hydroxide",,KOH
LCO,,,,"LCO, Lithium Cobaltate"
LFP,lifepo4 raw,lifepo4,,LFP
LMNO,LiNiMnCoO2 raw,LiNiMnCoO2,,LNMO
LMO,LiMn2O4 raw,"LiMn2O4 ",,"LMO, Lithium manganates"
LMP,,,,LMP
LRMO LMNO,,,,LRMO LMNO
LTO,lithium titanate raw,lithium titanate,,LTO
LaNi5,LaNi5,LaNi5,,LaNi5
Li,lithium metal,"foil, ingot",,"Li, Lithium Metal, Lithium metal"
Li2CO3,Li2CO3,Li2CO3,,"Li2CO3, Lithium , Lithium Carbonate (99.5% Battery Grade), Lithium Carbonates"
Li2S,Li2S,Li2S,,Li2S
Li2SO4,Li2SO4,Li2SO4,,Li2SO4
LiCl,LiCl,LiCl,,LiCl
LiF,7789-24-4,LiF,,LiF
LiOH,LiOH,LiOH,y,LiOH
