,specific_price,molecular_formula,mass_density,source
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U
index,,,,
H2_Salt,2.606058161953728,H2,7.289200866685982,Papadias 2021
CH4_Salt,0.325757270244216,CH4,58.313606933487854,Papadias 2021
N2_Salt,0.1861470115681234,N2,102.04881213360376,Papadias 2021
H2O_Salt,0.018996081412747192,H2O,1000.0,Papadias 2021
H2_LRC,38.90880000000001,H2,7.289200866685982,Papadias 2021
CH4_LRC,4.863600000000001,CH4,58.313606933487854,Papadias 2021
N2_LRC,2.7792,N2,102.04881213360376,Papadias 2021
H2O_LRC,0.2836140586817116,H2O,1000.0,Papadias 2021
H2_Salt,2.1652032045308487,H2,7.289200866685982,ETI 2018
CH4_Salt,0.2706504005663561,CH4,58.313606933487854,ETI 2018
N2_Salt,0.15465737175220345,N2,102.04881213360376,ETI 2018
H2O_Salt,0.015782601075017527,H2O,1000.0,ETI 2018
H2_Salt,3.1553527500000005,H2,7.289200866685982,Lord 2018
CH4_Salt,0.39441909375000006,CH4,58.313606933487854,Lord 2018
N2_Salt,0.2253823392857143,N2,102.04881213360376,Lord 2018
H2O_Salt,0.023,H2O,1000.0,Lord 2018
H2_LRC,11.523897000000002,H2,7.289200866685982,Lord 2018
CH4_LRC,1.4404871250000002,CH4,58.313606933487854,Lord 2018
N2_LRC,0.8231355,N2,102.04881213360376,Lord 2018
H2O_LRC,0.084,H2O,1000.0,Lord 2018
