index,original_name,price,unit
Graphene Oxide,Few Layer Graphene Oxide 2-4L,$140.00 - $150.00,g
Graphene Oxide,Graphene Oxide Gel,$125.00 - $175.00,g
Graphene Oxide,Reduced Graphene Oxide,$190.00 - $200.00,g
Graphene Oxide,Single Layer Graphene Oxide,$140.00 - $150.00,g
Graphene Oxide,Single Layer Graphene Oxide 450nm,$190.00 - $200.00,g
Graphene Oxide,Single Layer Graphene Oxide 450nm,$190.00 - $200.00,g
CNT,Multi Walled Carbon Nanotubes 10-20nm,"$0.90 - $15.00 ",g
CNT,Multi Walled Carbon Nanotubes 20-30nm,$0.70 - $10.00,g
CNT,Multi Walled Carbon Nanotubes 20nm,"$2.00 - $25.00 ",g
CNT,Multi Walled Carbon Nanotubes 30-50nm,$0.70 - $10.00,g
CNT,Multi Walled Carbon Nanotubes 50nm,$0.60 - $10.00,g
CNT,Multi Walled Carbon Nanotubes 8-15nm,"$0.90 - $15.00 ",g
CNT,Multi Walled Carbon Nanotubes 8nm,$1.50 - $15.00,g
Graphene,Graphene Nanoplatelets,$0.45 - $15.00,g
