source,folder,processing_script,extract_script
Cavern,cavern,,
DERA,gov\DERA,,
EIA,gov\EIA,,
USGS,gov\USGS,,
Alva 2018,pub\alva_2018,,
Andre 2016,pub\andre_2016,,
Antunez 2018,pub\antunez_2018,,
Bauer 2012,pub\bauer_2012,,
Bellosta 2019,pub\bellosta_2019,,
Bowman 2002,pub\bowman_2002,,
Caraballo 2021,pub\caraballo_2021,,
Choi 2015,pub\choi_2015,,
Diez 2020,pub\diez_2020,,
ETI 2018,pub\ETI_2018,,
Kale 2018,pub\kale_2018,,
Kim 2013,pub\kim_2013,,
Lai 2018,pub\lai_2018,,
Liang 2022,pub\liang_2022,,
Liu 2016,pub\liu_2016,,
Li 2017,pub\li_2017,,
Lord 2014,pub\lord_2014,,
Papadias 2021,pub\papadias_2021,,
Ray 2021,pub\ray_2021,,
Southhall 2022,pub\southhall_2022,,
Steinmann 2022,pub\steinmann_2022,,
Sterner 2019,pub\sterner_2019,,
Tietze 2016,pub\tietze_2016,,
Various pub,pub\various_pub,,
Weinrich 2019,pub\weinrich_2019,,
Synfuel feedstock,synfuel_feedstock,,
Alibaba,web\alibaba,,
Cheaptubes,web\cheaptubes,,
Chemanalyst,web\chemanalyst,,
Echemi,web\echemi,,
Graphene supermarket,web\graphene_supermarket,,
Indiamart,web\indiamart,,
ISE,web\ISE,,
Kitco,web\kitco,,
SMM,web\SMM,,
Various web,web\various_web,,
