,original_name,specific_price
unit_row,N/U,USD / kilogram
index,,
Al,ALUMINIUM,2.394
Al2O3,ALUMINIUMOXID,1.0833719400000004
Pb,BLEI,2.211
Iron Ore,EISENERZ,0.111
CaF2,FLUSSSPAT,0.64583
CaF2,FLUSSSPAT,0.45313
Ga,GALLIUM,411.33
Au,GOLD,58642.96174117744
Graphite,GRAPHIT,1.44656
Co,KOBALT,51.246
Cu,KUPFER,8.366
Li2CO3,LITHIUM,68.3083338
Li2CO3,LITHIUM,68.48
MgCO3,MAGNESIT,0.4312875000000001
MgO,MAGNESIT,0.52688
MgO,MAGNESIT,0.89385
MgCO3,MAGNESIT,0.14501277
FeMn,MANGAN,1.26583
FeMo,MOLYBDAN,45.17
Ni,NICKEL,28.838
Nb2O5,NIOB,36.86
Nb2O5,NIOB,40.81
Pd,PALLADIUM,58642.96174117744
Pt,PLATIN,32536.555527451517
CeO2,Cerium (oxide),1.4
Dy,Dysprosium (metal),493.08
Dy2O3,Dysprosium (oxide),382.08
Er2O3,Erbium (oxide),53.48
Eu2O3,Europium (oxide),29.76
La2O3,Lanthanum (oxide),1.35
La2O3,Lanthanum (oxide),5.88
Nd,Neodymium (metal),164.5
Nd2O3,Neodymium (oxide),133.76
Pr,Praseodymium (metal),174.33
Pr2O3,Praseodymium (oxide),116.23
Sm,Samarium (metal),15.48
Sm2O3,Samarium (oxide),3.74
Sc2O3,Scandium (oxide),766.1906
Tb,Terbium (metal),2585.63
Tb4O7,Terbium (oxide),2044.38
Y,Yttrium (metal),40.56
Y2O3,Yttrium (oxide),11.86
Ag,SILBER,747.1833502549142
FeSi,SILIZIUM,1.85097
Ta2O5,TANTAL,197.02
Ta2O5,TANTAL,276.67
Te,TELLUR,71.12
FeTi,Ferrotitan,11.77
FeTiO3,Ilmenite concentrate,0.39813
TiO2,TITAN,4.336058790000001
TiO2,TITAN,2.1193412100000004
V,VANADIUM,38.99
W,WOLFRAM,40.99
W,WOLFRAM,44.53
Zn,ZINK,3.1270000000000002
Sn,ZINN,24.074
Zr,ZIRKON,2.03479
