United States Natural Gas Industrial Price
https://www.eia.gov/dnav/ng/hist/n3035us3m.htm
21:30:15 GMT-0800 (Pacific Standard Time)
Data source: U.S. Energy Information Administration
Month,United States Natural Gas Industrial Price  Dollars per Thousand Cubic Feet
Nov 2022,6.91
Oct 2022,7.36
Sep 2022,9.92
Aug 2022,9.76
Jul 2022,8.14
Jun 2022,9.64
May 2022,8.37
Apr 2022,6.88
Mar 2022,6.34
Feb 2022,7.53
Jan 2022,6.64
Dec 2021,6.77
Nov 2021,6.99
Oct 2021,6.69
Sep 2021,5.48
Aug 2021,5.02
Jul 2021,4.76
Jun 2021,4.21
May 2021,4.15
Apr 2021,4.03
Mar 2021,4.43
Feb 2021,9.41
Jan 2021,4.08
Dec 2020,4.11
Nov 2020,3.98
Oct 2020,3.29
Sep 2020,3.3
Aug 2020,2.85
Jul 2020,2.58
Jun 2020,2.72
May 2020,2.91
Apr 2020,3
Mar 2020,3.39
Feb 2020,3.58
Jan 2020,3.71
Dec 2019,3.84
Nov 2019,3.86
Oct 2019,3.43
Sep 2019,3.35
Aug 2019,3.18
Jul 2019,3.33
Jun 2019,3.55
May 2019,3.64
Apr 2019,3.99
Mar 2019,4.31
Feb 2019,4.62
Jan 2019,5.02
Dec 2018,5.47
Nov 2018,4.51
Oct 2018,4.03
Sep 2018,3.75
Aug 2018,3.67
Jul 2018,3.75
Jun 2018,3.77
May 2018,3.8
Apr 2018,3.89
Mar 2018,4
Feb 2018,4.85
Jan 2018,4.46
Dec 2017,4.19
Nov 2017,3.84
Oct 2017,3.78
Sep 2017,3.83
Aug 2017,3.78
Jul 2017,3.92
Jun 2017,4.05
May 2017,4.02
Apr 2017,4.11
Mar 2017,3.92
Feb 2017,4.53
Jan 2017,4.85
Dec 2016,4.27
Nov 2016,3.86
Oct 2016,3.87
Sep 2016,3.74
Aug 2016,3.59
Jul 2016,3.57
Jun 2016,2.89
May 2016,2.9
Apr 2016,3
Mar 2016,3.02
Feb 2016,3.58
Jan 2016,3.62
Dec 2015,3.48
Nov 2015,3.28
Oct 2015,3.54
Sep 2015,3.65
Aug 2015,3.79
Jul 2015,3.74
Jun 2015,3.76
May 2015,3.58
Apr 2015,3.96
Mar 2015,4.46
Feb 2015,4.74
Jan 2015,4.9
Dec 2014,5.62
Nov 2014,5.02
Oct 2014,5.03
Sep 2014,5.02
Aug 2014,4.96
Jul 2014,5.43
Jun 2014,5.46
May 2014,5.74
Apr 2014,5.85
Mar 2014,6.47
Feb 2014,6.63
Jan 2014,5.69
Dec 2013,4.97
Nov 2013,4.62
Oct 2013,4.36
Sep 2013,4.36
Aug 2013,4.31
Jul 2013,4.47
Jun 2013,4.9
May 2013,5
Apr 2013,4.95
Mar 2013,4.59
Feb 2013,4.54
Jan 2013,4.58
Dec 2012,4.73
Nov 2012,4.46
Oct 2012,3.94
Sep 2012,3.56
Aug 2012,3.83
Jul 2012,3.6
Jun 2012,3.34
May 2012,3.02
Apr 2012,3.21
Mar 2012,3.71
Feb 2012,4.19
Jan 2012,4.58
Dec 2011,4.59
Nov 2011,4.64
Oct 2011,4.71
Sep 2011,4.84
Aug 2011,5.21
Jul 2011,5.05
Jun 2011,5.21
May 2011,5.21
Apr 2011,5.34
Mar 2011,5.21
Feb 2011,5.77
Jan 2011,5.66
Dec 2010,5.5
Nov 2010,4.6
Oct 2010,4.73
Sep 2010,4.61
Aug 2010,5.37
Jul 2010,5.49
Jun 2010,5.04
May 2010,5.08
Apr 2010,5.12
Mar 2010,6.01
Feb 2010,6.76
Jan 2010,6.93
