index,specific_price,keep,title,link,search_text
Al,2.34,y,"Solid Aluminium Ingot, Available Grade: 96 Grade, 20Kg",https://www.indiamart.com/proddetail/solid-aluminium-ingot-26854712662.html?pos=4&kwd=aluminum ingot&tags=A||||8435.058|Price|proxy,aluminum ingot
Al,2.4699999999999998,y,Solid 98 Aluminium Ingots,https://www.indiamart.com/proddetail/98-aluminium-ingots-26013096391.html?pos=5&kwd=aluminum ingot&tags=A||||7614.3936|Price|proxy,aluminum ingot
Al,2.665,y,"Solid Aluminium Alloy Ingot, 98, 15 kg",https://www.indiamart.com/proddetail/aluminium-alloy-ingot-26070139612.html?pos=6&kwd=aluminum ingot&tags=A||||8005.177|Price|proxy,aluminum ingot
Al,1.5599999999999998,y,"Casting Aluminum Ingots, 5-6 Kgs",https://www.indiamart.com/proddetail/casting-aluminum-ingots-25959107688.html?pos=7&kwd=aluminum ingot&tags=A||||8237.176|Price|proxy,aluminum ingot
Al2O3,0.52,y,"Blue Aluminium Oxide, Packaging Size: 50 Kg Bag, Packaging Type: Hdpe Double Bag Packing",https://www.indiamart.com/proddetail/blue-aluminium-oxide-10311695555.html?pos=4&kwd=al2o3&tags=A||||7357.3213|Price|product,Al2O3
Al2O3,0.52,y,"Powder Blue Aluminium Oxide, Grade Standard: Bio-Tech Grade, for Laboratory",https://www.indiamart.com/proddetail/blue-aluminium-oxide-3659874273.html?pos=6&kwd=al2o3&tags=A||||8237.176|Price|proxy,Al2O3
Al2O3,0.325,y,Granules Black Aluminium Oxide,https://www.indiamart.com/proddetail/black-aluminium-oxide-19574455188.html?pos=7&kwd=al2o3&tags=A||||7695.002|Price|product,Al2O3
Ba(OH)2,4.55,y,"Cynor White Barium Hydroxide, Packaging: 500 Grm",https://www.indiamart.com/proddetail/barium-hydroxide-23711783748.html?pos=7&kwd=ba oh 2 barium hydroxide&tags=||||7584.552|Price|product,ba(oh)2 barium hydroxide
Ba(OH)2,1.066,y,Barium Hydroxide,https://www.indiamart.com/proddetail/barium-hydroxide-1920116073.html?pos=6&kwd=ba oh 2 barium hydroxide&tags=||||8038.904|Price|product,ba(oh)2 barium hydroxide
Ba(OH)2,0.988,y,Barium Hydroxide 98%,https://www.indiamart.com/proddetail/barium-hydroxide-98-23790499533.html?pos=5&kwd=ba oh 2 barium hydroxide&tags=||||8227.221|Price|proxy,ba(oh)2 barium hydroxide
BaCO3,3.133,y,"Powder Barium Carbonate Extra Pure, For Laboratory",https://www.indiamart.com/proddetail/barium-carbonate-extra-pure-4320599533.html?pos=7&kwd=baco3 barium carbonate&tags=||||7533.29|Price|proxy,BaCO3 barium carbonate
BaCO3,32.5,y,"Barium Carbonate Powder, Plastic Bags & Plastic Drums, 513-77-9",https://www.indiamart.com/proddetail/barium-carbonate-powder-13295519655.html?pos=6&kwd=baco3 barium carbonate&tags=A||||7867.1333|Price|proxy,BaCO3 barium carbonate
BaCO3,0.6629999999999999,y,"Powder Barium Carbonate- Vishnu make, For Industrial, Grade Standard: Analytical Grade",https://www.indiamart.com/proddetail/barium-carbonate-vishnu-make-1530797997.html?pos=4&kwd=baco3 barium carbonate&tags=A||||7533.29|Price|proxy,BaCO3 barium carbonate
Bi,6.5,y,Bismuth Metal Granular,https://www.indiamart.com/proddetail/bismuth-metal-granular-15993227897.html?pos=4&kwd=bismuth metal&tags=A||||7533.29|Price|proxy,bismuth metal
Bi,9.1,y,Bismuth Metals,https://www.indiamart.com/proddetail/bismuth-metals-7036526112.html?pos=5&kwd=bismuth metal&tags=A||||9120.144|Price|proxy,bismuth metal
CFRP,89.375,y,Black Carbon Fiber Fabric,https://www.indiamart.com/proddetail/carbon-fiber-fabric-21840310955.html?pos=5&kwd=carbon%20fiber%20reinforced%20polymer&tags=A||||7616.5063|Price|proxy,carbon fiber reinforced polymer
CFRP,26.0,y,"FRP Solution Carbon Fiber Sheet, Thickness: 0.5-12 Mm",https://www.indiamart.com/proddetail/carbon-fiber-sheet-14931575188.html?pos=22&kwd=carbon%20fiber%20reinforced%20polymer&tags=||||7650.5557|Price|product,carbon fiber reinforced polymer
Ca,6.824999999999999,y,Calcium Metal Master Alloy,https://www.indiamart.com/proddetail/calcium-metal-master-alloy-20678417373.html?pos=4&kwd=calcium metal&tags=||||7533.29|Price|product,calcium metal
Ca,7.8,y,Calcium Metal,https://www.indiamart.com/proddetail/calcium-metal-17381328997.html?pos=6&kwd=calcium metal&tags=CA||||7533.29|Price|product,calcium metal
Ca(NO3)2,0.325,y,Calcium Nitrate - white,https://www.indiamart.com/proddetail/calcium-nitrate-white-21744520748.html?pos=7&kwd=ca no 3 2 calcium nitrate&tags=A||||7533.29|Price|proxy|type=attr=1|attrMtch=1,ca(no3)2 calcium nitrate
Ca(NO3)2,0.9099999999999999,y,"Granules Calcium Nitrate Granular Fertilizer, For Agriculture, Packaging Type: Packet",https://www.indiamart.com/proddetail/calcium-nitrate-granular-fertilizer-24773981862.html?pos=6&kwd=ca no 3 2 calcium nitrate&tags=A||||7423.2134|Price|proxy|type=attr=1|attrMtch=1,ca(no3)2 calcium nitrate
Ca(NO3)2,0.286,y,"Shiv Chemicals White Calcium Nitrate Granular, Packaging Type: Hdpe Bags, Packaging Size: 25 Kg",https://www.indiamart.com/proddetail/calcium-nitrate-granular-20453002497.html?pos=4&kwd=ca no 3 2 calcium nitrate&tags=A||||7589.9697|Price|proxy|type=attr=1|attrMtch=1,ca(no3)2 calcium nitrate
Ca(OH)2 ,0.078,y,85% Calcium Hydroxide Powder,https://www.indiamart.com/proddetail/85-calcium-hydroxide-powder-21285582988.html?pos=7&kwd=ca oh 2 calcium hydroxide&tags=A||||7812.158|Price|proxy|type=attr=1|attrMtch=1,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.091,y,"Calcium Hydroxide Hydrated Limestone Powder, For Construction Materials",https://www.indiamart.com/proddetail/calcium-hydroxide-hydrated-limestone-powder-24008594891.html?pos=6&kwd=ca oh 2 calcium hydroxide&tags=A||||7584.552|Price|proxy|type=attr=1|attrMtch=1,Ca(OH)2 calcium hydroxide
Ca(OH)2 ,0.091,y,"Hydrated Lime Powder (Calcium Hydroxide), Chemical Formula: Ca(OH)2",https://www.indiamart.com/proddetail/hydrated-lime-powder-calcium-hydroxide-20999761573.html?pos=5&kwd=ca oh 2 calcium hydroxide&tags=A||||7533.29|Price|product|type=attr=1|attrMtch=1,Ca(OH)2 calcium hydroxide
