index,median,std,ratio,count
Al,2.4050000000000002,0.484602500337476,0.20149792113824364,4
Al2O3,0.52,0.11258330249197702,0.21650635094610965,3
Ba(OH)2,1.066,2.0343788568831846,1.9084229426671524,3
BaCO3,3.133,17.711183651391945,5.653106814999025,3
Bi,7.8,1.8384776310850233,0.2357022603955158,2
Ca,7.3125,0.6894291116568846,0.09428090415820643,2
Ca(NO3)2,0.325,0.3495525711534676,1.0755463727799004,3
Ca(OH)2 ,0.08449999999999999,0.027768012172281975,0.3286155286660589,4
CaCO3,0.20019999999999993,0.007353910524340177,0.036732819801899,2
CaCl2,0.0974999999999999,0.020894576648818053,0.21430335024428793,3
CaF2,2.86,,,1
CaSO4,0.6499999999999999,0.27577164466275356,0.4242640687119286,2
Cd,4.55,,,1
CdCO3,21.215999999999998,17.796463468903024,0.8388227502311004,2
CeO2,9.587499999999999,2.9875261505131636,0.3116063781500041,2
Clay,2.8600000000000003,2.9415642097360384,1.02851895445316,2
CoCl2,23.4,,,1
CoO,42.25,,,1
CoSO4,7.93,,,1
Cr,10.4,3.1229326495032423,0.3002819855291579,3
Cr2O3,6.8705,4.623771242178835,0.6729890462380955,2
Cu,7.409999999999999,,,1
CuO,8.45,1.838477631085024,0.21757131728816853,2
CuSO4,3.12,,,1
FeCl2,0.1949999999999999,0.22715926864940672,1.1649193264072146,3
FeSO4,0.208,0.049217205663602374,0.23662118107501143,3
Ga,5.59,,,1
Graphite,0.8125,0.1547309492850951,0.19043809142780935,4
HBr,2.86,,,1
In,325.0,44.2445853561013,0.1361371857110809,3
K2CO3,1.3,2.771938190749089,2.1322601467300686,3
K2SO4,0.54925,0.2895602268958912,0.5271920380444082,2
KCl,0.39649999999999996,0.10111626970967623,0.2550221178049842,2
KNO3,0.676,0.5717537348660989,0.8457895486184894,3
KOH,1.4300000000000002,0.6762811915172562,0.47292391015192736,4
Li2CO3,46.8,16.54629867976521,0.3535533905932738,2
LiCl,52.0,,,1
LiOH,43.225,30.794500320674146,0.712423373526296,2
Metallurgical Silicon,3.8674999999999997,1.3091759494684685,0.33850703282959754,4
Mg,3.3475,1.7005918087536465,0.5080184641534418,2
Mg(NO3)2,0.52,0.13530828996529867,0.2602082499332667,3
Mg(OH)2,1.482,0.6618519471906085,0.4465937565388721,2
MgCO3,1.69,0.6039522608065421,0.3573682016606758,3
MgCl2,0.091,0.16691885254018893,1.834273104837241,3
MgF2,1.885,1.011162697096763,0.5364258340035879,2
MgO,0.299,0.022516660498395357,0.07530655685082059,3
MgSO4,0.182,0.09836284867774017,0.5404552125150559,3
MnO2,0.45499999999999996,0.18384776310850232,0.40406101782088427,2
MnSO4,0.52,0.21281917206868373,0.40926763859362253,3
MoS2,37.05,6.434671708797586,0.17367534976511703,2
Mobiltherm 605,2.406456,,,1
Na,3.25,,,1
Na2CO3,0.52,0.1253674598929084,0.24109126902482383,3
Na2SO4,0.091,0.018384776310850233,0.20203050891044214,2
NaBr,3.25,,,1
NaCl,0.0285999999999999,,,1
NaF,2.405,2.206173157302028,0.9173277161338994,2
NaNO3,1.105,0.4482015915485649,0.40561230004395016,4
NaOH,0.728,0.2515200455894785,0.3454945681174155,3
NiCl2,7.93,0.9374433316206373,0.11821479591685212,3
NiSO4,5.785,0.921534047119259,0.15929715594109922,3
Pb,2.925,0.45961940777125565,0.15713484026367716,2
S,0.4679999999999999,1.6490198098668594,3.5235466022796147,3
Sand,0.0299,,,1
Sb,11.18,6.618519471906084,0.591996374946877,2
Sb2O3,13.26,3.120902647205346,0.23536219058863844,3
SiO2,0.64675,0.8319111280659733,1.2862947476860815,2
Sn,22.7435,0.910046427387086,0.04001347318517756,2
SrCO3,4.68,,,1
Steel,6.175000000000001,1.378858223313768,0.2232968782694361,2
V,25.8375,29.645451801246004,1.14738081475553,2
V2O5,16.9,,,1
Zn,4.173,0.5331585130146567,0.1277638420835506,2
ZnBr2,2.6,,,1
ZnCO3,2.0475000000000003,0.6197765054168047,0.3026991479447153,4
ZnCl2,1.3325,0.3711076887733083,0.27850483210004373,4
ZnI2,22.165,29.323718215806124,1.3229739777038632,2
ZnSO4,0.91,,,1
