original_name,Melting point (°C),Heat of fusion (J/g),Density (kg/m3),Storage Capacity (MJ/m3),Cost ($/tonne)
LiF,849,1041,2640 (S) 1810 (L),2756.2,"32,500"
NaF,996,794,2558 (S) 1948 (L),2031.1,1610
KF,858,507,2370 (S) 1910 (L),1109.2,5300
MgF2,1263,938,NA,NA,870
CaF2,1418,381,3180 (S) 1910 (L),1243.4,120
LiCl,610,416,2070 (S) 1502 (L),912.9,8000
NaCl,801,482,2160 (S),907.2,49
KCl,771,353,1980 (S) 1527 (L),698.9,455
MgCl2,714,454,2320 (S) 1680 (L),1048.6,342
CaCl2,772,253,2150 (S) 2085 (L),544,200
Li2CO3,732,509,2110 (S),1074,7050
Na2CO3,858,165,2533 (S) 1972 (L),699.1,324
K2CO3,900,202,2290 (S),540.4,1100
Mg2CO3,990,698,,NA,NA
CaCO3,1330,NA,2930 (S),416.1,NA
