,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD / kilogram
index,,,
NaNO3,NaNO3,NaNO3,6.0
KNO3,KNO3,KNO3,7.0
Na2CO3,Na2CO3,Na2CO3,3.0
K2CO3,K2CO3,K2CO3,7.0
CaCO3,CaCO3,CaCO3,8.0
Li2CO3,Li2CO3,Li2CO3,111.0
ZnCl2,ZnCl2,ZnCl2,14.0
NaCl,NaCl,NaCl,2.8
KCl,KCl,KCl,7.6
MgCl2,MgCl2,MgCl2,55.0
LiCl,LiCl,LiCl,55.0
CaCl2,CaCl2,CaCl2,5.3
Na2SO4,Na2SO4,Na2SO4,3.4
K2SO4,K2SO4,K2SO4,8.25
MgSO4,MgSO4,MgSO4,13.7
CaSO4,CaSO4,CaSO4,27.0
NaF,NaF,NaF,7.6
CaF2,CaF2,CaF2,11.4
NaOH,NaOH,NaOH,4.1
KOH,KOH,KOH,5.0
Syltherm XLT,Syltherm XLT,,29.4
Vegetable Oil,Vegetable oil,C57H104O9,0.835
HITEC XL,"HITEC XL, NaNO3e KNO3eCa(NO3)2",(NaNO3)7(KNO3)45(Ca(NO3)2)48,1.19
Na,Sodium (Na),Na,2.0
NaK,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),NaK,2.0
PbBi,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),PbBi,13.0
