original_name,SM_name,SM_type,materials
MgSO4/MgO,MgSO4/MgO,thermochemical,MgSO4
MnSO4/MnO,MnSO4/MnO,thermochemical,MnSO4
FeSO4/FeO,FeSO4/FeO,thermochemical,FeSO4
CoSO4/CoO,CoSO4/CoO,thermochemical,CoSO4
CuSO4/CuO,CuSO4/CuO,thermochemical,CuSO4
ZnSO4/ZnO,ZnSO4/ZnO,thermochemical,ZnSO4
CdSO4/CdO,CdSO4/CdO,thermochemical,CdSO4
NiSO4/NiO,NiSO4/NiO,thermochemical,NiSO4
CaCO3/CaO,CaCO3/CaO,thermochemical,CaCO3
SrCO3/SrO,SrCO3/SrO,thermochemical,SrCO3
MgCO3/MgO,MgCO3/MgO,thermochemical,MgCO3
BaCO3/BaO,BaCO3/BaO,thermochemical,BaCO3
CdCO3/CdO,CdCO3/CdO,thermochemical,CdCO3
ZnCO3/ZnO,ZnCO3/ZnO,thermochemical,ZnCO3
PbCO3/PbO,PbCO3/PbO,thermochemical,PbCO3
Ca(OH)2/CaO,Ca(OH)2/CaO,thermochemical,CaO
Mg(OH)2/MgO,Mg(OH)2/MgO,thermochemical,MgO
Be(OH)2/BeO,Be(OH)2/BeO,thermochemical,BeO
Mn(OH)2/MnO,Mn(OH)2/MnO,thermochemical,MnO2
Sr(OH)2/SrO,Sr(OH)2/SrO,thermochemical,SrO
Ba(OH)2/BaO,Ba(OH)2/BaO,thermochemical,BaO
Ni(OH)2/NiO,Ni(OH)2/NiO,thermochemical,Ni(OH)2
Zn(OH)2/ZnO,Zn(OH)2/ZnO,thermochemical,Zn
Cd(OH)2/CdO,Cd(OH)2/CdO,thermochemical,Cd(OH)2
Rh2O3/Rh2O,Rh2O3/Rh2O,thermochemical,Rh2O3
V2O5/V2O4,V2O5/V2O4,thermochemical,V2O5
Co3O4/CoO,Co3O4/CoO,thermochemical,Co3O4
Mn3O4/MnO,Mn3O4/MnO,thermochemical,MnO2
CuO/Cu2O,CuO/Cu2O,thermochemical,CuO
Li2O2/Li2O,Li2O2/Li2O,thermochemical,Li2O
Fe2O3/Fe3O4,Fe2O3/Fe3O4,thermochemical,Iron Ore
BaO2/BaO,BaO2/BaO,thermochemical,BaO
MgO2/MgO,MgO2/MgO,thermochemical,MgO
Cr5O12/Cr2O3,Cr5O12/Cr2O3,thermochemical,Cr2O3
PtO2/PtO,PtO2/PtO,thermochemical,PtO2
PbO2/PbO,PbO2/PbO,thermochemical,PbO
Sb2O5/SbO2,Sb2O5/SbO2,thermochemical,Sb2O5
Mn2O3/Mn3O4,Mn2O3/Mn3O4,thermochemical,MnO2
