original_name,SM_name,SM_type,sub_type,mat_type,materials,mat_basis
Aluminum 99.99 %,Al,sensible_thermal,hot,metal,Al,
Copper (commercial),Cu,sensible_thermal,hot,metal,Cu,
Iron,Fe,sensible_thermal,hot,metal,Fe,
Lead,Pb,sensible_thermal,hot,metal,Pb,
Brick (dry),,sensible_thermal,both,rock,,
Concrete (aggregates),,sensible_thermal,both,rock,,
Granite,Granite,sensible_thermal,both,rock,Stone,
Graphite,Graphite,sensible_thermal,hot,other_solid,Graphite,
Limestone,Limestone,sensible_thermal,both,rock,Stone,
Sandstone,Sandstone,sensible_thermal,both,rock,Stone,
Slag,,sensible_thermal,,,,
Sodium chloride,NaCl,sensible_thermal,hot,molten_salt,NaCl,
Soil (clay),Clay,sensible_thermal,both,rock,Clay,
Soil (gravelly),Gravel,sensible_thermal,both,rock,Gravel,
