0,1,2,3,4,5,6,7,8
,T m,∆hm,λs,λl,"Cp,s","Cp,l",ρl,∆V/V s
PCMs,,,,,,,,
,(◦C),(J·g−1),,(W·m−1·K−1),(J·g−1·K−1),,(g·cm−3),(%)
,,Ice and salt hydrates,,,,,,
H2O,0,334,2.3,0.56,2.10,4.22,1.00,–8.3
KF 4H2O,19,230,n/a∗,n/a,1.8,2.4,1.46,n/a
CaCl2 6H2O,30,180,1.1,0.5,1.4,2.1–2.3,1.56,13
Na2SO4 10H2O,32,250,0.5,n/a,1.9,3.3,1.41,4
Na2HPO4 12H2O,35,280,0.5,0.5,1.5–1.7 2.0–3.2,,1.44,5
Na(CH3COO) 3H2O,58,250,0.7,0.4,2.1,3.0,1.28,13
,,Pure metals,,,,,,
Na,98,113,122,87,1.36,1.38,0.93,2.8
Zn,419,112,100,50,0.45,0.48,6.76,1.9
Al,660,397,211,91,1.18,1.18,2.38,7.5
,Anhydrous salts and their mixtures (composition in wt. %),,,,,,,
KNO3–LiNO3 (67–33),133,170,n/a,n/a,n/a,n/a,1.9,14
KNO3–NaNO2–NaNO3 (53–40–7),142,80,0.5,0.5,1.3,1.6,1.98,4
LiNO3–NaNO3 (49–51),194,265,n/a,0.5,n/a,n/a,1.9,13
KNO3–NaNO3 (54–46),222,100,n/a,0.5,1.4,1.5,1.95,5
LiNO3,254,360,1.4,0.6,1.8,1.6–2.0,1.78,22
NaNO2,270,180,,0.7–1.3 0.5–0.7,n/a,1.6–1.8,1.81,17
NaNO3,306,175,0.6,0.51,1.66,1.66,1.91,11
NaOH,322,210,0.9,0.8,2.0,2.1,2.13,16
KNO3,337,100,n/a,0.4–0.5,1.4,,1.3–1.4 1.87–1.89,3
NaCl–KCl–MgCl2(24.5–20.5–55),393,240,1.0,n.a,1.0,1.0,1.8,n/a
K2CO3–Li2CO3–Na2CO3(35–32–33),397,275,n/a,n/a,1.7,1.6,1.90,17
K2CO3–Li2CO3 (65–35),505,345,n/a,n/a,1.3–1.8 1.8–2.3,,1.96,10
