0,1,2,3,4,5,6
,,,,,∗,"∗,∗∗"
,"T r,(1bar)","∆hr,educt","∆hr,educt","∆hr,educt",,∆hsys
Material,,,,,,
,(◦C),(kJ·mol−1),(kWh·ton−1),(kWh·m−3),,(kWh·m−3)
Hydroxides,,,,,,
Mg(OH)2 ↔ MgO + H2O,268,78,372,442,,323
Ca(OH)2 ↔ CaO + H2O,505,104,373,410,,324
Ammonium salt,,,,,,
NH4HSO4 ↔ NH3+H2+SO3,467,337,813,727,,136
Salt hydrates,,,,,,
MgSO4·7H2O ↔ MgSO4+7H2O,122,411,463,389,,272
CaCl2·2H2O ↔ CaCl2·H2O+H2O,174,48,91,84,,75
CuSO4·5H2O ↔ CuSO4·H2O+4H2O,104,226,251,287,,216
CuSO4·H2O ↔ CuSO4 + H2O,205,73,114,163,,142
Peroxide salts,,,,,,
BaO2 ↔ BaO + 1/2 O2,782,75,123,305,,66
KO2 ↔ 1/2 K2O + 3/4 O2,668,101,395,423,,64
Carbonates,,,,,,
CaCO3 ↔ CaO + CO2,896,167,463,626,,113
BaCO3 ↔ BaO + CO2,1497,212,298,661,,139
Metal hydrides,,,,,,
MgH2 ↔ Mg + H2,293,79,834,605,,41
Mg2NiH4 ↔ Mg2Ni + 2H2,253,128,319,—,,—
