Hydride Materials  ,Theor. H2 capacity (wt.%) ,DHdes/DHabs (kJ/mol.H2) ,DSdes/DSabs (J/mol.H2.K) ,Hydride Crystal Density (g/cm3) ,Theor. kg-H2/m3 wrt to hydride ,Cost of H2 Storage (US$/kg-H2)a,1 bar H2 Desorption Temperature (-C)
Complex Hydrides,,,,,,,
"NaAlH4
4 1/3Na3AlH6
þ 2/3Al þ H2(g)",3.73,38.4/-35.2 [66],126.3/-118.1 [66],1.251,46.7,107.2,31b
"Na3AlH6
4 3NaH þ Al þ 3/2H2(g)",2.96,47.6/-46.1 [66],126.1/-123.8 [66],1.455,43.1,120.6,104
"NaAlH4
4Na3AlH6
4 NaH þ Al þ 3/2H2(g)",5.60,n.a.,n.a.,1.251,70.1,71.4,n.a.
"Na2LiAlH6
4 2NaH þ LiH þ Al þ 3/2H2(g)",3.52,"54.95/n.a [67,68].","135/n.a [67,68].",1.405,49.4,n.a.,134
"K2LiAlH6
4 2 KH þ LiH þ Al þ 3/2H2(g)",2.56,n.a.,n.a.,1.571,40.2,n.a.,n.a.
"KAlH4
þLiCl4KCl þ LiH þ Alþ3/2H2(g) [69]",2.69,37.6/-37.6c,97.9/-97.9c,1.457d,39.2,n.a.,111
"Mg(NH2)2
þ 2LiH 4 Li2Mg(NH)2
þ 2H2(g)",5.58,38.9/n.a [70].,112.0/n.a [70].,1.182d,65.9,n.a.,75
Intermetallic Hydrides,,,,,,,
AB2 type - Hydralloy C5:,1.88,28.3/-22.5 [50],111.9/-97.2 [50],5.0e,93.8,n.a.,(cid:4)20.7
Ti0.909Zr0.052Mn1.498V0.439F-0.086Al0.016H3 [50],,,,,,,
Ti1.2Mn1.8H3,1.90,28.7/n.a [52].,114/n.a [52].,5.23f,99.2,321.5,(cid:4)21.4
"[51]
TiFeH2.0
4 TiFeH1.04",0.91,n.a.g,n.a.g,5.47 [51],50.0,n.a.,n.a.g
"TiFeH1.04
4 TiFeH0.1 [51]",0.90,28.1/n.a [51].,106.3/n.a [51].,5.88 [51],53.2,n.a.,(cid:4)9
"TiFeH2.0
4TiFeH1.04
4TiFeH0.1 [51]",1.81,n.a.,n.a.,5.47,99.1,n.a.,n.a.
