Materials  ,DH (kJ/mol H2) ,Pdehyd. (bar) (-50 e 25 -C) ,Phyd. (bar) (20 -30 -C) ,Gravimetric H2 capacity (wt.%),Hyd./Dehy. Times (seconds)  ,Cycling Stability Cycles/loss of capacity in % ,Activation Required ,Ref.  
Ti0.5V0.5Mna,(cid:4)26.8,2-4 ((cid:4)30),60 (20),1.8d,e,e,Yes,[157]
Ti1.1CrMna,(cid:4)22.0,2-6 ((cid:4)40),30-110 (23),1.8,60/300 (23 -C),1000/6%,N.A.,[158]
"Ti35Cr34Mn31a,b",N.A.,40 (25),50 (25),"1.9a,d/1.8b",Hyd. 80% of max. capacity in 300 (25 -C)b,N.A.,Yes,[159]
"Ti25Cr50V20Mo5a,b",N.A.,23 (25),85 (25),"2.5a,d/2.4b",Hyd. 72% of max. capacity in 300 (25 -C)b,N.A.,Yes,
TiCr1.9Mo0.1a,(cid:4)24.8,8 ((cid:4)50),116.5 (20),1.9d,N.A.,N.A.,Yes,[160]
ZrF-1.8V0.2a,(cid:4)23.6,2 ((cid:4)30)c,15.7 (20),1.8d,N.A.,N.A.,Yes,
ZrF-1.8Mn0.2a,(cid:4)21.8,2 ((cid:4)30)c,295 (20),1.8d,N.A.,N.A.,Yes,
Zr0.2Ti0.8F-1.6V0.4a,(cid:4)19.7,3 ((cid:4)30)c,172 (20),1.8d,N.A.,N.A.,Yes,
ZrF-1.85V0.20a,(cid:4)22.0,8.5 ((cid:4)20),32 (20)a,1.7d,N.A.,N.A.,Yes,[161]
Ti0.32Cr0.43V0.25a,N.A.,N.A.,0.1-10 (30),3.3d,N.A.,N.A.,N.A.,[162]
(Ti0.85Zr0.15),23.7,2.7 ((cid:4)30),N.A.,1.8,-/120 (30 -C),50/0%,Yes,[163]
1.1Cr0.9Mo0.1Mna,,,,,,,,
(Ti0.85Zr0.15),25.4,2.7 ((cid:4)30),N.A.,1.6,-/120 (25 -C),50/0%,Yes,[164]
1.1Cr0.925MnF-0.075a,,,,,,,,
Ti1.02Cr1.1Mn0.3F-0.6a,17.8,5.5 ((cid:4)30),N.A.,1.74,N.A.,N.A.,Yes,[165]
