name,specific_price_orig,specific_energy_orig,volumetric_energy_orig,C_kwh_orig,ref
Solar Salt,1.3,0.491,901.1,2.65,[127]
Hitec,1.93,0.480,826.9,4.02,[127]
Hitec XL,1.66,0.464,928.1,3.58,[127]
LiNaKNO3,1.1,0.683,1285.7,1.61,[56]
LiNaKCaNO3,0.7,0.542,977.1,1.29,[56]
LiNaKNO3NO2,N/A,0.408,764.9,N/A,-
KMgCl,0.35,0.271,431.3,1.29,[48]
NaKMgCl,0.22,0.325,541.6,0.68,[48]
NaMgCaCl,0.17,0.289,739.7,0.57,[128]
NaKZnCl,0.8,0.447,986.6,1.79,[48]
KMgZnCl,1,0.298,553.4,3.36,[48]
LiNaKF,2,0.391,824.1,5.11,[128]
NaBF,4.88,0.474,885.4,10.29,[129]
KBF,3.68,0.313,833.3,11.75,[129]
KZrF,4.85,0.280,750.3,17.32,[129]
LiNaKCO3,2.02,0.448,9912,4.15,[18]
