Materials,"Electrode System (1,2)",Electrolyte,Current Density or Scan Rate,Potential Range (V),Specific Capacitance (F·g-1),Ref.
NiO/graphene,Two,1 M NaOH,7-20 A·g-1,1.5,130-440,13
Porous carbon/ F-2O3 nanoparticles,Three,1 M Na2SO3,0.5-10 A·g-1,1.0,119-235,14
α-F-2O3/Graphene,Three,1 M Na2SO4,3-10 A·g-1,1.0,98-306,15
Ni graphene aerogels,Two,6 M KOH,2-20 A·g-1,1.0,186-366,85
CoO carbon nanoflakes,Three,2 M KOH,10 mA·cm-2,0.75,476,86
Faradaic CNTs,Three,0.5 M H2SO4,3-100 mV·s-1,0.9,75-260,87
Nanoporous CuO/active carbon,Two,3 M KOH,1-10 A·g-1,1.4,54-72,88
Co(OH)2/graphene,Three,6 M KOH,2-10 A·g-1,0.7,356-532,89
PANI/RGO,Three,1 M H2SO4,0.45 A·g-1,0.8,431,90
PANI/CNF,Three,1 M H2SO4,0.3-10 A·g-1,1.2,400-557,91
PANI/N-doped CNTs,Three,0.1 M Na2SO4,50 mV·s-1,1.0,250,92
PPy/graphene,Two,1 M H2SO4,0.1 A·g-1,1.0,277,94
Ni-Mn-RGO,Two,1 M KOH,2-10 A·g-1,1.6,724-1985,95
3D carbon/CoNi3O4 asymmetric,Two,3 M KOH,1-100 mA·cm-2,1.8,42-64,96
N-doped carbon/PANI asymmetric,Two,1 M Na2SO4,0.5-20 A·g-1,1.1,75-113,97
WO3/PPy nanowire asymmetric,Three,3 M NaOH,0.7-7 mA·cm-2,0.6,250-800,98
Mn-Ni-Co oxide nanowire/RGO,Three,6 M KOH,1-20 A·g-1,0.5,404-638,99
asymmetric,,,,,,
PEDOT/ROG/CNF asymmetric,Two,1 M H2SO4,0.1-2 A·g-1,1.0,50-60,100
MnO2/GO asymmetric,Two,1 M Na2SO4,0.1-2 A·g-1,2.0,41-84,101
RGO/MnO2 asymmetric,Three,1 M Na2SO4,0.1-1 A·g-1,1.5,217-243,102
CNF/GO/PANI,Two,1 M H2SO4,2 A·g-1,0.8,479,103
Ni/graphene/CNT,Two,6 M KOH,0.2-1.0 A·g-1,0.8,100-105,104
Graphene/PANI nanorods,Three,1 M H2SO4,1-8 A·g-1,0.7,836-1665,106
3D CoMoO4/graphene,Three,2 M KOH,1.5-85 A·g-1,0.9,1101-2741,108
Graphene/CNT/Mn,Two,2 M Li2SO4,1.9 A·g-1,1.6,1108,109
PPy nanowire/RGO,Two,PVA-H2SO4 gel,1-20 A·g-1,0.8,361-434,110
Porous graphene/PANI,Two,1 M H2SO4,1-8 A·g-1,0.8,458-864,111
Porous graphene/PANI,Two,1 M H2SO4,0.5-10 A·g-1,0.7,362-385,112
