SM_name,original_name,deltaV,C_kwh_orig,SM_type,n_e,materials,mat_basis
AQDS/HBr/Br2 ,"2,7-AQDS/HBr/Br2 1M/3M (acid pH)",0.87,,flow_battery,2.0,"[('AQDS', 1), ('Br2', 1)]",molar
AQDS/FeSO4,"2,7-AQDS/FeSO4 0.33M/0.67M (acid pH)",0.62,47,flow_battery,2.0,"[('AQDS', 1), ('FeSO4', 1)]",molar
DBEAQ/K4[Fe(CN)6],"2,6-DBEAQ/K4[Fe(CN)6] 0.5M/0.3M pH 12",1.05,44,flow_battery,2.0,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar
DPPEAQ/K4[Fe(CN)6],"2,6-DPPEAQ/K4[Fe(CN)6] 0.5M/0.4M (pH 9)",1.0,44,flow_battery,2.0,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar
DHPS/K4[Fe(CN)6],DHPS/K4[Fe(CN)6] 1.4M/0.31M (pH 14),1.4,,flow_battery,2.0,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar
BTMAP-Vi/TMAP-TEMPO,BTMAP-Vi/TMAP-TEMPO 1.5M/1.5M (neutral pH),1.19,,flow_battery,1.0,"[('Bipyridine', 1), ('TEMPO', 1)]",molar
BTMAP-Vi/BTMAP-Fc,BTMAP-Vi/BTMAP-Fc 1.3M/1.3M (neutral pH),0.75,,flow_battery,1.0,Bipyridine,
BTMAP-Vi/BTMAP-Fc,BTMAP-Vi/BTMAP-Fc 0.75M/1M (neutral pH),0.75,,flow_battery,1.0,Bipyridine,
(SPrN)2V/NH4[Fe(CN)6],(SPrN)2V/NH4[Fe(CN)6] 0.9M/0.9M (neutral pH),0.82,49,flow_battery,1.0,"[('Bipyridine', 1), ('K4Fe(CN)6', 1)]",molar
Ni/Zn,Nickel (NiOOH),1.73,356,hybrid_flow,1.0,"[('Zn', 1), ('Ni(OH)2', 1)]",molar
K3[Fe(CN)6]/Zn,Iron-alkaline K3[Fe(CN)6],1.61,79,hybrid_flow,1.0,"[('Zn', 1), ('K4Fe(CN)6', 1)]",molar
FeCl3Zn,Iron-acidic (FeCl3),1.53,100,hybrid_flow,1.0,"[('Zn', 1), ('FeCl2', 1)]",molar
Ce4/Zn,Cerium (Ce4+),2.37,,hybrid_flow,1.0,"[('Zn', 1), ('CeO2', 1)]",molar
I3/Zn,Iodine (I3?),1.27,,hybrid_flow,1.0,"[('Zn', 1), ('I2', 1)]",molar
TEMPO/Zn,TEMPOL (organic),1.46,,hybrid_flow,1.0,"[('Zn', 1), ('TEMPO', 1)]",molar
V-air,,1.49,,metal_air,4.0,"[('V2O5', 2), ('Air', 1)]",molar
Zn/Br2,,1.85,,hybrid_flow,2.0,ZnBr2,
V/Br,,1.29,,flow_battery,2.0,"[('HBr', 7) , ('HCl', 1), ('V2O5', 1)]",molar
H2/Br2,,1.09,,flow_battery,1.0,HBr,
