original_name,material_name,molecular_formula,index_use
Al-2024,Aluminum,Al,molecular_formula
Al-6061-T6,Aluminum,Al,molecular_formula
Al-7075-T6,Aluminum,Al,molecular_formula
Steel-4340,Steel,Fe,material_name
Steel-18Ni-300,Steel,Fe,material_name
Stainless-Steel-15-7,Steel,Fe,material_name
Stainless-Steel-440C,Steel,Fe,material_name
Stainless-Steel-455,Steel,Fe,material_name
Carbon-Steel-1020,Steel,Fe,material_name
AS4-3501–6,CFRP,,material_name
AS4–8552,CFRP,,material_name
E-Glass Epoxy,GRE,,material_name
IM7-8551–7,CFRP,,material_name
IM7–8552,CFRP,,material_name
Kevlar-49 Epoxy,KFRP,,material_name
S-2 Glass Epoxy,GRE,,material_name
T300-BSL914C,CFRP,,material_name
T300-PR319,CFRP,,material_name
