,deltaV,original_name,n_e,materials,SM_type,mat_basis
unit_row,volt,N/U,dimensionless,N/U,N/U,N/U
SM_name,,,,,,
Li/Zn,0.19,Li/Zn,1.0,"[('Li', 0.5), ('Zn', 0.5)]",liquid_metal_battery,molar
Na/Zn,,Na/Zn,1.0,"[('Na', 0.5), ('Zn', 0.5)]",liquid_metal_battery,molar
K/Zn,,K/Zn,1.0,"[('K', 0.5), ('Zn', 0.5)]",liquid_metal_battery,molar
Mg/Zn,0.145,Mg/Zn,2.0,"[('Mg', 0.6666666666666666), ('Zn', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Zn,0.305,Ca/Zn,2.0,"[('Ca', 0.6666666666666666), ('Zn', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Zn,,Ba/Zn,2.0,"[('Ba', 0.6666666666666666), ('Zn', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Cd,0.465,Li/Cd,1.0,"[('Li', 0.5), ('Cd', 0.5)]",liquid_metal_battery,molar
Na/Cd,0.12,Na/Cd,1.0,"[('Na', 0.5), ('Cd', 0.5)]",liquid_metal_battery,molar
K/Cd,,K/Cd,1.0,"[('K', 0.5), ('Cd', 0.5)]",liquid_metal_battery,molar
Mg/Cd,0.15,Mg/Cd,2.0,"[('Mg', 0.6666666666666666), ('Cd', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Cd,,Ca/Cd,2.0,"[('Ca', 0.6666666666666666), ('Cd', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Cd,,Ba/Cd,2.0,"[('Ba', 0.6666666666666666), ('Cd', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Hg,,Li/Hg,1.0,"[('Li', 0.5), ('Hg', 0.5)]",liquid_metal_battery,molar
Na/Hg,0.4,Na/Hg,1.0,"[('Na', 0.5), ('Hg', 0.5)]",liquid_metal_battery,molar
K/Hg,0.395,K/Hg,1.0,"[('K', 0.5), ('Hg', 0.5)]",liquid_metal_battery,molar
Mg/Hg,,Mg/Hg,2.0,"[('Mg', 0.6666666666666666), ('Hg', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Hg,,Ca/Hg,2.0,"[('Ca', 0.6666666666666666), ('Hg', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Hg,,Ba/Hg,2.0,"[('Ba', 0.6666666666666666), ('Hg', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Al,0.3,Li/Al,1.0,"[('Li', 0.5), ('Al', 0.5)]",liquid_metal_battery,molar
Na/Al,,Na/Al,1.0,"[('Na', 0.5), ('Al', 0.5)]",liquid_metal_battery,molar
K/Al,,K/Al,1.0,"[('K', 0.5), ('Al', 0.5)]",liquid_metal_battery,molar
Mg/Al,0.135,Mg/Al,2.0,"[('Mg', 0.6666666666666666), ('Al', 0.33333333333333337)]",liquid_metal_battery,molar
Ca/Al,0.425,Ca/Al,2.0,"[('Ca', 0.6666666666666666), ('Al', 0.33333333333333337)]",liquid_metal_battery,molar
Ba/Al,0.34,Ba/Al,2.0,"[('Ba', 0.6666666666666666), ('Al', 0.33333333333333337)]",liquid_metal_battery,molar
Li/Ga,0.58,Li/Ga,1.0,"[('Li', 0.5), ('Ga', 0.5)]",liquid_metal_battery,molar
Na/Ga,0.10500000000000001,Na/Ga,1.0,"[('Na', 0.5), ('Ga', 0.5)]",liquid_metal_battery,molar
K/Ga,,K/Ga,1.0,"[('K', 0.5), ('Ga', 0.5)]",liquid_metal_battery,molar
