,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD / kilogram
index,,,
Li,Li,Li,61.95965417867435
Na,Na,Na,2.479363725045613
K,K,K,130.44045393277966
Mg,Mg,Mg,2.8389220325036004
Ca,Ca,Ca,3.4931882828484455
Ba,Ba,Ba,5.971149154936756
Zn,Zn,Zn,2.294279596206791
Cd,Cd,Cd,3.4693187681249666
Hg,Hg,Hg,1.3460157932519743
Al,Al,Al,2.4461170086580384
Ga,Ga,Ga,731.4659438062046
In,In,In,644.4982494034036
Tl,Tl,Tl,5871.415989822879
Sn,Sn,Sn,26.956448487911718
Pb,Pb,Pb,2.5096525096525095
Sb,Sb,Sb,14.783180026281208
Bi,Bi,Bi,23.447174950378123
Te,Te,Te,344.82758620689657
