,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,F−,,,Cl−,,,Br−,,,I−,
1,Az+,Tm (°C),,ρ (g cm−3),Tm (°C),,ρ (g cm−3),Tm (°C),,ρ (g cm−3),Tm (°C),,ρ (g cm−3)
2,Li+,848,,1.81,610,,1.50,552,,2.53,469,,3.11
3,Na+,996,,1.95,801,,1.56,747,,2.34,660,,2.74
4,K+,858,,1.91,771,,1.54,734,,2.13,681,,2.45
5,Rb+,833,,2.87,715,,2.25,682,,2.72,642,,2.90
6,Cs+,703,,3.65,645,,2.79,636,,3.13,621,,3.20
7,Mg2+,1263,,,714,,1.68,711,,2.62,634,,3.05
8,Ca2+,1418,,2.52,775,,2.09,742,,3.11,783,,3.44
9,Sr2+,1477,,3.47,874,,2.73,657,,3.70,538,,4.09
10,Ba2+,1368,,4.14,962,,3.17,857,,3.99,711,,4.26
