partner_metal,Li,Na,K,Mg,Ca,Ba
Zn,0.31-0.07,,,0.21-0.08,0.44-0.17,
Cd,0.56-0.37,0.22-0.02,,0.21-0.09,,
Hg,,0.67-0.13,0.72-0.07,,,
Al,0.30-0.30,,,0.20-0.07,0.44-0.41,0.53-0.15
Ga,0.59-0.57,0.20-0.01,,0.25-0.14,,
In,0.55-0.50,0.30-0.06,0.24-0.02,0.24-0.11,0.62-0.34,
Tl,,0.42-0.11,0.44-0.07,0.23-0.12,,
Sn,0.70-0.57,0.45-0.22,,0.35-0.19,0.77-0.51,1.08-0.71
Pb,0.68-0.42,0.47-0.20,0.51-0.15,0.21-0.13,0.69-0.50,1.02-0.66
Sb,0.92-0.92,0.86-0.61,1.01-0.54,0.51-0.39,1.04-0.94,1.40-1.15
Bi,0.86-0.77,0.74-0.47,0.90-0.45,0.38-0.27,0.90-0.79,1.30-0.97
Te,1.76-1.70,1.75-1.44,2.10-1.47,,,
