,original_name,SM_type,materials,mat_basis,deltaG_chem,n_e
unit_row,N/U,N/U,N/U,N/U,kilowatt_hour / mole,dimensionless
SM_name,,,,,,
LiBH4,LiBH4,synfuel,"[('Li', 1), ('B',1)]",molar,0.13737149657396905,4.169089425613628
NaBH4,NaBH4,synfuel,"[('Na', 1), ('B',1)]",molar,0.13493530747002908,4.095153489226982
KBH4,KBH4,synfuel,"[('K', 1), ('B',1)]",molar,0.13303277019164134,4.037413359382135
Mg(BH4)2,Mg(BH4)2,synfuel,"[('Mg', 1), ('B',2)]",molar,0.2744383894343276,8.328934428962901
Ca(BH4)2,Ca(BH4)2,synfuel,"[('Ca', 1), ('B',2)]",molar,0.2706889364650641,8.215142229592233
Zn(BH4)2,Zn(BH4)2,synfuel,"[('Zn', 1), ('B',2)]",molar,0.2668903998592637,8.09986039026597
Sc(BH4)3,Sc(BH4)3,synfuel,"[('Sc', 1), ('B',3)]",molar,0.410306399977287,12.452394536488224
Al(BH4)3,Al(BH4)3,synfuel,"[('Al', 1), ('B',3)]",molar,0.41514384832878753,12.599206322573218
Zr(BH4)4,Zr(BH4)4,synfuel,"[('Zr', 1), ('B',4)]",molar,0.5425635501098154,16.466268592103653
