original_name,SM_name,SM_type,sub_type,mat_type,materials,mat_basis
"Gravel, quartz (U)",Gravel,sensible_thermal,rock,,Gravel,
River shingle (U),River shingle,sensible_thermal,rock,,Stone,
Granite (U),Granite,sensible_thermal,rock,,Stone,
Graphite,Graphite,sensible_thermal,other_solid,,Graphite,
Basalt (U),Basalt,sensible_thermal,rock,,Stone,
Concrete (U),Concrete,sensible_thermal,other_solid,,Concrete,
Limestone,Limestone,sensible_thermal,rock,,Stone,
Silica fire bricks (U),Silica brick,sensible_thermal,other_solid,,SiO2,
Magnesia fire bricks,MgO,sensible_thermal,other_solid,,MgO,
Slag,,sensible_thermal,,,,
Aluminium oxide (U),Al2O3,sensible_thermal,other_solid,,Al2O3,
Magnetite (U),Iron Ore,sensible_thermal,other_solid,,Iron Ore,
Copper,Cu,sensible_thermal,metal,,Cu,
Liquid sodium,Na,sensible_thermal,metal,,Na,
Solar salt,Solar Salt,sensible_thermal,molten_salt,,Solar Salt,
Liquid Lithium,Li,sensible_thermal,metal,,Li,
Therminol 66 (U),"Therminol 66 ",sensible_thermal,oil,,Therminol 66,
Dowtherm G (U),"Dowtherm G ",sensible_thermal,oil,,Dowtherm G,
Sunflower oil,Vegetable Oil,sensible_thermal,oil,,Vegetable Oil,
Soybean oil,,sensible_thermal,oil,,,
Synthetic oil (U),,sensible_thermal,oil,,,
Pressurized water(U),Pressurized Water,sensible_thermal,other_fluid,,Water,
Propane (U),N-propane,sensible_thermal,cold,,N-propane,
Propane (10 bar),,sensible_thermal,cold,,,
Methanol (U),Methanol,sensible_thermal,cold,,Methanol,
Ethanol,Ethanol,sensible_thermal,cold,,Ethanol,
R218 (U),R218,sensible_thermal,cold,,R218,
R213,R213,sensible_thermal,cold,,R213,
n-hexane (U),N-hexane,sensible_thermal,cold,,N-hexane,
Isopentane,Isopentane,sensible_thermal,cold,,Isopentane,
