,original_name,Cp,mass_density,kth,T_melt,T_max,SM_type,sub_type,materials,mat_basis
unit_row,N/U,kilowatt_hour / kelvin / kilogram,kilogram / meter ** 3,watt / kelvin / meter,degree_Celsius,degree_Celsius,N/U,N/U,N/U,N/U
SM_name,,,,,,,,,,
Gravel,"Gravel, quartz (U)",0.0001722222222222222,2618.0,4.05,-160.0,973.0,sensible_thermal,both,Gravel,
River shingle,River shingle (U),0.00015000000000000001,2560.0,8.99,-200.0,800.0,sensible_thermal,both,Stone,
Granite,Granite (U),0.00022777777777777775,2640.0,2.9,-160.0,1273.0,sensible_thermal,both,Stone,
Graphite,Graphite,0.00016944444444444445,2200.0,155.0,-240.0,550.0,sensible_thermal,both,Graphite,
Basalt,Basalt (U),0.00023888888888888888,2670.0,1.3,-260.0,800.0,sensible_thermal,both,Stone,
Concrete,Concrete (U),0.0002555555555555556,2300.0,1.3,-160.0,800.0,sensible_thermal,both,Concrete,
Limestone,Limestone,0.0001888888888888889,2697.0,2.41,-200.0,850.0,sensible_thermal,both,Stone,
SiO2,Silica fire bricks (U),0.0002777777777777778,1820.0,1.5,-200.0,1260.0,sensible_thermal,both,SiO2,
MgO,Magnesia fire bricks,0.0003194444444444444,3000.0,1.0,-200.0,1260.0,sensible_thermal,both,MgO,
Al2O3,Aluminium oxide (U),0.00023333333333333333,3900.0,30.0,-200.0,1400.0,sensible_thermal,both,Al2O3,
Iron Ore,Magnetite (U),0.00025,5175.0,4.5,-200.0,1000.0,sensible_thermal,both,Iron Ore,
Cu,Copper,0.00011638888888888888,8300.0,372.0,-253.0,925.0,sensible_thermal,both,Cu,
Na,Liquid sodium,0.00043055555555555555,960.0,70.0,100.0,1000.0,sensible_thermal,hot,Na,
Solar Salt,Solar salt,0.00044444444444444447,1900.0,0.425,493.0,873.0,sensible_thermal,hot,Solar Salt,
Li,Liquid Lithium,0.001163888888888889,510.0,55.0,180.0,1300.0,sensible_thermal,hot,Li,
Therminol 66 ,Therminol 66 (U),0.0005833333333333334,750.0,0.12,-3.0,345.0,sensible_thermal,hot,Therminol 66,
Dowtherm G ,Dowtherm G (U),0.0006111111111111112,867.0,,10.0,260.0,sensible_thermal,hot,Dowtherm G,
Pressurized Water,Pressurized water(U),0.001163888888888889,1000.0,0.6,0.0,200.0,sensible_thermal,hot,Water,
Propane,Propane (U),0.0005694444444444444,650.0,0.16,-188.0,43.0,sensible_thermal,cold,Propane,
Methanol,Methanol (U),0.0006666666666666668,860.0,0.24,-160.0,37.0,sensible_thermal,cold,Methanol,
Ethanol,Ethanol,0.0006111111111111112,850.0,0.17,-110.0,75.0,sensible_thermal,cold,Ethanol,
R218,R218 (U),0.0003055555555555556,1601.0,0.1,-183.0,28.0,sensible_thermal,cold,R218,
R213,R213,0.00026388888888888886,1602.0,,185.0,293.0,sensible_thermal,cold,R213,
N-hexane,n-hexane (U),0.0005972222222222222,720.0,0.11,-93.0,100.0,sensible_thermal,cold,N-hexane,
Isopentane,Isopentane,0.0005277777777777777,750.0,0.12,-160.0,36.0,sensible_thermal,cold,Isopentane,
