original_name,material_name,molecular_formula,index_use
Sand,Sand,SiO2,material_name
Na2CO3,Sodium Carbonate,Na2CO3,molecular_formula
K2CO3,Potassium Carbonate,K2CO3,molecular_formula
Li2CO3,Lithium Carbonate,Li2CO3,molecular_formula
Solar Salt,Solar Salt,,material_name
HITEC XL,HITEC XL,,material_name
HITEC,HITEC,,material_name
Halotechnics,,,
Anhydrous,Ammonia,H3N,molecular_formula
Vermiculite,Vermiculite,AlFeH3MgO6Si,material_name
Silica Gel,Silica,H3N,molecular_formula
Zeolite,Zeolite,Al2O5Si,material_name
Activated Carbon,Activated Carbon,C,material_name
Expanded Natural,Graphite,C6,material_name
Activated Alumina,Alumina,Al2O3,molecular_formula
KCl,Potassium Chloride,ClK,molecular_formula
MgCl2,Magnesium Chloride,Cl2Mg,molecular_formula
NaCl,Sodium Chloride,ClNa,molecular_formula
LiCl,Lithium chloride,ClLi,molecular_formula
