original_name,molecular_formula,material_name,index_use
LiF,LiF,,molecular_formula
NaF,NaF,,molecular_formula
KF,KF,,molecular_formula
MgF2,MgF2,,molecular_formula
CaF2,CaF2,,molecular_formula
LiCl,LiCl,,molecular_formula
NaCl,NaCl,,molecular_formula
KCl,KCl,,molecular_formula
MgCl2,MgCl2,,molecular_formula
CaCl2,CaCl2,,molecular_formula
Li2CO3,Li2CO3,,molecular_formula
Na2CO3,Na2CO3,,molecular_formula
K2CO3,K2CO3,,molecular_formula
Mg2CO3,Mg2CO3,,molecular_formula
CaCO3,CaCO3,,molecular_formula
Copper (Cu),Cu,,molecular_formula
Nickel (Ni),Ni,,molecular_formula
Chromium (Cr),Cr,,molecular_formula
Vanadium (V),V,,molecular_formula
Silicon (Si),Si,Metallurgical Silicon,material_name
Boron (B),B,,molecular_formula
Aluminium (Al),Al,,molecular_formula
Magnesium (Mg),Mg,,molecular_formula
Zinc (Zn),Zn,,molecular_formula
