,SM_type,sub_type,mat_type,sp_latent_heat,phase_change_T,materials,mat_basis
unit_row,N/U,N/U,N/U,kilowatt_hour / kilogram,degree_Celsius,N/U,N/U
SM_name,,,,,,,
LiF,latent_thermal,hot,molten_salt,0.28916666666666674,,LiF,
NaF,latent_thermal,hot,molten_salt,0.2205555555555556,,NaF,
KF,latent_thermal,hot,molten_salt,0.14083333333333337,,KF,
MgF2,latent_thermal,hot,molten_salt,0.2605555555555556,,MgF2,
CaF2,latent_thermal,hot,molten_salt,0.10583333333333335,,CaF2,
LiCl,latent_thermal,hot,molten_salt,0.11555555555555558,,LiCl,
NaCl,latent_thermal,hot,molten_salt,0.13388888888888892,,NaCl,
KCl,latent_thermal,hot,molten_salt,0.09805555555555558,,KCl,
MgCl2,latent_thermal,hot,molten_salt,0.12611111111111115,,MgCl2,
CaCl2,latent_thermal,hot,molten_salt,0.07027777777777779,,CaCl2,
Li2CO3,latent_thermal,hot,molten_salt,0.14138888888888893,,Li2CO3,
Na2CO3,latent_thermal,hot,molten_salt,0.045833333333333344,,Na2CO3,
K2CO3,latent_thermal,hot,molten_salt,0.056111111111111125,,K2CO3,
Mg2CO3,latent_thermal,hot,molten_salt,0.19388888888888892,,Mg2CO3,
CaCO3,latent_thermal,hot,molten_salt,,,CaCO3,
Cu,latent_thermal,hot,metal,0.053611111111111116,1356.0,Cu,
Ni,latent_thermal,hot,metal,0.08333333333333333,1728.0,Ni,
Cr,latent_thermal,hot,metal,0.11111111111111112,2180.0,Cr,
V,latent_thermal,hot,metal,0.125,2183.0,V,
Si,latent_thermal,hot,metal,0.49722222222222223,1410.0,Metallurgical Silicon,
B,latent_thermal,hot,metal,1.2777777777777777,2350.0,B,
Al,latent_thermal,hot,metal,0.1102777777777778,660.0,Al,
Mg,latent_thermal,hot,metal,0.10777777777777779,661.0,Mg,
Zn,latent_thermal,hot,metal,0.04055555555555555,419.0,Zn,
LiF/NaF,latent_thermal,hot,molten_salt,0.2266666666666667,652.0,"[('LiF', 0.6), ('NaF', 0.4)]",mass
NaF/CaF2/MgF2,latent_thermal,hot,molten_salt,0.1577777777777778,743.0,"[('NaF', 0.65), ('CaF2', 0.23), ('MgF2', 0.12)]",mass
NaF/MgF2/KF,latent_thermal,hot,molten_salt,0.18055555555555558,804.0,"[('NaF', 0.64), ('MgF2', 0.2), ('KF', 0.16)]",mass
NaF/MgF2,latent_thermal,hot,molten_salt,0.1741666666666667,832.0,"[('NaF', 0.75), ('MgF2', 0.25)]",mass
KCl/NaF/K2CO3,latent_thermal,hot,molten_salt,0.07611111111111113,520.0,"[('KCl', 0.21), ('NaF', 0.17), ('K2CO3', 0.62)]",mass
KCl/KF/K2CO3,latent_thermal,hot,molten_salt,0.07861111111111113,528.0,"[('KCl', 0.4), ('KF', 0.23), ('K2CO3', 0.37)]",mass
KCl/KF,latent_thermal,hot,molten_salt,0.11305555555555558,605.0,"[('KCl', 0.45), ('KF', 0.55)]",mass
K2CO3/Na2CO3,latent_thermal,hot,molten_salt,0.045277777777777785,710.0,"[('K2CO3', 0.5), ('Na2CO3', 0.5)]",mass
LiF/MgF2,latent_thermal,hot,molten_salt,0.2630555555555556,746.0,"[('LiF', 0.67), ('MgF2', 0.33)]",mass
NaF/CaF2/MgF2,latent_thermal,hot,molten_salt,0.15944444444444447,745.0,"[('NaF', 0.65), ('CaF2', 0.23), ('MgF2', 0.12)]",mass
LiF/NaF2/MgF2,latent_thermal,hot,molten_salt,0.23888888888888893,650.0,"[('LiF', 0.334), ('NaF2', 0.499), ('MgF2', 0.171)]",mass
NaCl/NaBr/Na2MoO4,latent_thermal,hot,molten_salt,0.046666666666666676,612.0,"[('NaCl', 0.385), ('NaBr', 0.23), ('Na2MoO4', 0.385)]",mass
CaCl2/CaSO4/CaMoO4,latent_thermal,hot,molten_salt,0.062222222222222234,673.0,"[('CaCl2', 0.385), ('CaSO4', 0.11), ('CaMoO4', 0.04)]",mass
