,original_name,molecular_formula,specific_price
unit_row,N/U,N/U,USD / kilogram
index,,,
LiF,LiF,LiF,0.03582511760504261
NaF,NaF,NaF,1.7747212105882646
KF,KF,KF,5.842249947899256
MgF2,MgF2,MgF2,0.9590108405042175
CaF2,CaF2,CaF2,0.13227735731092655
LiCl,LiCl,LiCl,8.818490487395103
NaCl,NaCl,NaCl,0.05401325423529501
KCl,KCl,KCl,0.5015516464705965
MgCl2,MgCl2,MgCl2,0.3769904683361407
CaCl2,CaCl2,CaCl2,0.22046226218487758
Li2CO3,Li2CO3,Li2CO3,7.771294742016935
Na2CO3,Na2CO3,Na2CO3,0.3571488647395017
K2CO3,K2CO3,K2CO3,1.2125424420168267
Cu,Copper (Cu),Cu,7.165023521008521
Ni,Nickel (Ni),Ni,13.778891386554848
Cr,Chromium (Cr),Cr,11.574268764706073
V,Vanadium (V),V,451.947637478999
Metallurgical Silicon,Silicon (Si),Si,2.9762405394958473
B,Boron (B),B,49.60400899159745
Al,Aluminium (Al),Al,3.8580895882353574
