original_name,SM_name,SM_type,sub_type,mat_type,materials,mat_basis,n_e
"2,7-AQDS/HBr/Br2 1M/3M (acid pH)","AQDS/HBr/Br2 ",flow_battery,,organic,"[('AQDS', 1), ('Br2', 1)]",molar,2
"2,7-AQDS/FeSO4 0.33M/0.67M (acid pH)",AQDS/FeSO4,flow_battery,,organic,"[('AQDS', 1), ('FeSO4', 1)]",molar,2
"2,6-DBEAQ/K4[Fe(CN)6] 0.5M/0.3M pH 12",DBEAQ/K4[Fe(CN)6],flow_battery,,organic,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar,2
"2,6-DPPEAQ/K4[Fe(CN)6] 0.5M/0.4M (pH 9)",DPPEAQ/K4[Fe(CN)6],flow_battery,,organic,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar,2
DHPS/K4[Fe(CN)6] 1.4M/0.31M (pH 14),DHPS/K4[Fe(CN)6],flow_battery,,organic,"[('AQDS', 1), ('K4Fe(CN)6', 1)]",molar,2
ACA/K4[Fe(CN)6] 0.5M/0.4M (pH 14),ACA/K4[Fe(CN)6],flow_battery,,organic,,,
BTMAP-Vi/TMAP-TEMPO 1.5M/1.5M (neutral pH),BTMAP-Vi/TMAP-TEMPO,flow_battery,,organic,"[('Bipyridine', 1), ('TEMPO', 1)]",molar,1
BTMAP-Vi/BTMAP-Fc 1.3M/1.3M (neutral pH),BTMAP-Vi/BTMAP-Fc,flow_battery,,organic,Bipyridine,,1
BTMAP-Vi/BTMAP-Fc 0.75M/1M (neutral pH),BTMAP-Vi/BTMAP-Fc,flow_battery,,organic,Bipyridine,,1
(SPrN)2V/NH4[Fe(CN)6] 0.9M/0.9M (neutral pH),(SPrN)2V/NH4[Fe(CN)6],flow_battery,,organic,"[('Bipyridine', 1), ('K4Fe(CN)6', 1)]",molar,1
Nickel (NiOOH),Ni/Zn,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('Ni(OH)2', 1)]",molar,1
Iron-alkaline K3[Fe(CN)6],K3[Fe(CN)6]/Zn,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('K4Fe(CN)6', 1)]",molar,1
Iron-acidic (FeCl3),FeCl3Zn,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('FeCl2', 1)]",molar,1
Cerium (Ce4+),Ce4/Zn,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('CeO2', 1)]",molar,1
Iodine (I3?),I3/Zn,coupled_battery,hybrid_flow,Zn based,ZnI2,molar,1
TEMPOL (organic),TEMPO/Zn,coupled_battery,hybrid_flow,Zn based,"[('Zn', 1), ('TEMPO', 1)]",molar,1
