Storage Medium  ,Temperature range [°C],Spec Heat capacity [J/kgK],Density [kg/m3] ,Estimated Material cost [€/ton]
Molten salts,,,,
"KNO3-NaNO3 [Solar Salt, Draw salt,",240-560,1500,1840,700
"Partherm 430]
NaNO2-KNO3-NaNO3 [Heat transfer",142-500,1570,1800,1200
"salt (HTS), HITEC-HTS (Coastal",130-480,1400,1900,1100
Chemical Co.)],,,,
KNO3-NaNO3-Ca(NO3)2,,,,
Liquid metals,,,,
Sodium,98-873,1300,900,2000
Lead,327-1740,130,"11,300",1500
Mineral oil,,,,
Mobiltherm 605,"10-315
-",2900,700,3000
Synthetic liquid,,,,
"Therminol VP1
(vapor pressure at 400 °C: 10.9 bar)",15-400,2400,750,5000
Element,,,,
Sulfur,115-445,980,1700,400
Vegetable oil,,,,
Sunflower oil,0-200 °C,2200,820,200-1000
