  ,Storage Medium  ,Maximal Temperature [°C],Spec Heat capacity [J/kgK],Density [kg/m3] ,"Estimated Material cost
[€/ton]"
Metals,,,,,
,Aluminium,660,920,2700,1500-2000
,Cast iron,1200,550,7200,300-600
Rocks,,,,,
,NaCl,800,850,2150,< 50
,Granite,570,670-1550,2600,< 50
,Limestone,800,820-1700,2500,< 50
,Sandstone,800,750-3300,2200,< 50
,Basalt,800,880,2800,< 50
Ceramics,,,,,
,Al2O3,2050,1080,3990,500-1500
,SiO2,1720,730,2200,200-1000
,MgO,2830,1150,3570,400-1000
Castable,,,,,
,Concrete,400-500,915,2750,< 50
,"Castable
ceramic",1000,860,3500,100-200
Others,,,,,
,Graphite,3500,700,2500,1500-5000
