Class ,Reaction ,"T*
turning temperature [K]","∆Hr
[kJ/mol] ","P range
[bar] ","qg
[kWh/ kg]"
Methane,CH4 + H2O + (cid:31)Hr,961,250,20-150,4.34
reforming,⇔ 3H2 + CO,,,,
,CH4 + CO2 + (cid:31)Hr,959,247,3.5,4.28
,⇔ 2H2 + 2CO,,,,
Ammonia,2NH3 + (cid:31)Hr,468,59,100-300,0.51
dissociation,⇔ N2 + 3H2,,,,
Sulfur trioxide,2SO3 + (cid:31)Hr ⇔2SO2,1055,109,1-5,0.38
cycle,+ O2,,,,
Sulfuric acid,H2SO4 + (cid:31)Hr,-,297,1-50,0.84
decomposition,⇒ SO3 + H2O,,,,
,6SO3 + (cid:31)Hr,,,,
,"⇒ 3O2 + 6SO2
3SO2 + 2H2O",,,,
,⇒ 2H2SO4 + S,,,,
Hydroxide,Ca(OH)2 + �Hr,752,104,0.1-10,0.39
,⇔ CaO + H2O,,,,
,Mg(OH)2 + �Hr,531,84,0.1-10,0.4
,⇔ MgO + H2O,,,,
Calcination of,CaCO3 + (cid:31)Hr,1110,178,0-10,0.46
carbonates,⇔ CaO + CO2,,,,
Hydrides,MgH2 + (cid:31)Hr,553,75,1-100,0.79
,⇔ Mg + H2,,,,
Redox,2Co3O4 + (cid:31)Hr,1208,205,1,0.12
,⇔ 6CoO + O2,,,,
,6Mn2O3 + (cid:31)Hr,1188,90,1,0.05
,⇔ 4Mn3O4 + O2,,,,
