original_name,SM_name,SM_type,sub_type,mat_type,materials,mat_basis
Al-O2,Al-O2,coupled_battery,metal_air,,Al,
Al-air,Al-air,coupled_battery,metal_air,,Al,
Ca-O2,Ca-O2,coupled_battery,metal_air,,Ca,
Fe-air,Fe-air,coupled_battery,metal_air,,Fe,
K-O2,K-O2,coupled_battery,metal_air,,K,
Li-O2,Li-O2,coupled_battery,metal_air,,Li,
Mg-Air,Mg-Air,coupled_battery,metal_air,,Mg,
Mg-O2,Mg-O2,coupled_battery,metal_air,,Mg,
Na-O2,Na-O2,coupled_battery,metal_air,,Na,
Si-air,Si-air,coupled_battery,metal_air,,Metallurgical Silicon,
Zn-air,Zn-air,coupled_battery,metal_air,,Zn,
