,original_name,deltaV,n_e,SM_type,sub_type,mat_type,materials,mat_basis
unit_row,N/U,volt,dimensionless,N/U,N/U,N/U,N/U,N/U
SM_name,,,,,,,,
Al-O2,Al-O2,2.1,3.0,coupled_battery,metal_air,,Al,
Al-air,Al-air,2.71,3.0,coupled_battery,metal_air,,Al,
Ca-O2,Ca-O2,3.38,2.0,coupled_battery,metal_air,,Ca,
Fe-air,Fe-air,1.28,2.0,coupled_battery,metal_air,,Fe,
K-O2,K-O2,2.48,1.0,coupled_battery,metal_air,,K,
Li-O2,Li-O2,2.96,1.0,coupled_battery,metal_air,,Li,
Mg-Air,Mg-Air,2.77,2.0,coupled_battery,metal_air,,Mg,
Mg-O2,Mg-O2,2.95,2.0,coupled_battery,metal_air,,Mg,
Na-O2,Na-O2,2.33,1.0,coupled_battery,metal_air,,Na,
Si-air,Si-air,2.09,4.0,coupled_battery,metal_air,,Metallurgical Silicon,
Zn-air,Zn-air,1.65,2.0,coupled_battery,metal_air,,Zn,
