0,1,2,3,4,5,6,7,8,9,10
Fe-air,Fe (cid:10) Fe(OH)2,2 *,1.28,7.87,1229,9677,3.40,764,2598,[43]
Zn-air,Zn (cid:10) ZnO,2 *,1.65,7.14,1352,9653,5.61,1086,6092,[44]
K-O2,K → KO2,"†
1",2.48,0.89,1700,1513,2.16,935,2019,[45]
Na-O2,Na → Na2O2,"†
1",2.33,0.97,2716,2634,2.81,1601,4409,[46]
,Na → NaO2,"†
1
†",2.27,,2646,2567,2.20,1106,2433,[47]
Ca-O2,Ca → CaO2,2,3.38,1.54,4520,6961,2.9,2516,7296,"[48,49]"
,Ca → CaO,"†
2",3.13,,4186,6446,3.34,2996,10007,
Mg-Air,Mg → Mg(OH)2,2 *,2.77,,6098,10610,2.37,2848,6750,[50]
Mg-O2,Mg → MgO,"†
2",2.95,1.74,6493,11299,3.6,3919,14108,[51]
Si-air,Si →Si(OH)4,4 *,2.09,2.33,8001,18644,~1.8,2334,4201,[52]
,Si → SiO2,"†
4",2.21,,8461,19748,2.19,3947,8643,[53]
Al-air,Al →Al(OH)3,3 *,2.71,2.70,8091,21837,2.42,2784,6737,[54]
Al-O2,Al ((cid:10)) Al2O3,"†
3",~2.1,,~6258,~16897,3.97,3311,13145,[55]
Li-O2,Li ((cid:10)) Li2O2,"†
1",2.96,0.53,11430,6104,2.31,3458,7988,"[40,41]"
Li-O2,Li ((cid:10)) Li2O,"†
1",2.91,,11238,6001,2.01,5220,10492,
