index,CBNumber
AQDS,CB81357204
Al,CB6227696
Al2O3,CB9853056
Au,CB9169816
B,CB0299730
Ba,CB0854186
BaCO3,CB2145712
BaO,CB6391366
Bi,CB6732811
Bipyridine,CB5195697
Br2,CB91097781
CFRP,
CH4 Spherical Pressure,
CH4_LRC,
CH4_Salt,
CNT,CB5767904
CO2,CB5778186
Ca,CB52130346
Ca(NO3)2,CB4315083
CaCO3,CB2154602
CaCl2,CB3465202
CaF2,CB5225741
CaO,CB2853017
CaSO4,CB7151358
Cd,CB2362179
Cd(OH)2,CB8339050
CdCO3,CB8263265
CeO2,CB4666451
Clay,CB6300504
Co,CB9408267
Co3O4,CB5853023
CoCl2,CB8226062
CoO,CB9216703
CoSO4,CB8497482
Concrete,
Cr,CB7854190
Cr2O3,CB8394705
Cryogenic CH4 Tank,
Cryogenic H2 Tank,
Cu,CB2165990
CuO,CB6853040
CuSO4,CB7751862
DBT,CB1369777
Ethanol,CB2362508
Ethylene glycol,CB7852707
Fe,CB8280013
FeCl2,CB5411955
FeSO4,CB7450570
Fossil CH4,
GRE,
Ga,CB1208001
Graphene,CB22470900
Graphene Oxide,CB72662681
Graphite,CB9369364
Gravel,
H2 Spherical Pressure,
H2_LRC,
H2_Salt,
HBr,CB6852573
HCl,CB7421538
HITEC,
HITEC XL,
Hg,CB7355066
In,CB9854194
Iron Ore,CB9752939
Isopentane,CB5854378
K,CB9251331
K2CO3,CB4853879
K2SO4,CB9854321
K4Fe(CN)6,
KCl,CB9137176
KF,CB4237549
KFRP,
KNO3,CB9854301
KOH,CB3107908
LCO,CB7425354
LFP,CB3505405
LMNO,CB72620074
LMO,CB4307701
LMP,
LRMO LMNO,
LTO,CB4190044
La,CB6472159
LaNi5,CB12258233
Li,CB9495849
Li2CO3,CB5852228
Li2O,CB7164125
Li2S,CB7164125
Li2SO4,CB3408669
LiCl,CB9854200
LiF,
LiOH,CB5406836
Metallurgical Silicon,
Methanol,CB7854099
Mg,CB9249642
Mg(NO3)2,
MgCO3,CB6146621
MgCl2,CB1229312
MgF2,CB8716701
MgO,CB8853024
MgSO4,CB9122608
Mn,CB5683079
MnO2,CB4139599
MnSO4,CB9255526
MoS2,CB6238843
Mobiltherm 605,
N-hexane,CB1852811
N-pentane,CB6288989
N-propane,CB2194886
N2,
N2_LRC,
N2_Salt,
NCA,CB62755959
NCM111,
NCM622,
NEC,CB6319045
NMO,
NTP,CB69923757
Na,CB4854184
Na2CO3,CB1704053
Na2SO4,CB4100946
NaBr,CB3181001
NaCl,CB4104636
NaF,CB8854278
NaNO3,CB8854258
NaOH,CB8105015
Naphthalene,CB2472212
Ni,CB4854179
Ni(OH)2,CB2411181
NiCl2,CB0116468
NiSO4,CB7498462
PPy-AC,
Pb,CB9854174
PbCO3,CB6317960
PbO,CB4337573
Polysilicon,CB91014599
PtO2,CB1254558
Pumice,CB6442655
S,CB0854287
Sand,CB9199390
Sb,CB0432706
Sc,CB4115641
SiO2,CB5199387
Sn,CB3190047
Solar Salt,
SrCO3,CB1237917
Steel,
Stone,
TEMPO,CB6309451
Te,CB3853069
Ti,CB1427644
TiS2,CB2240473
Tl,CB7293656
Toluene,CB4233905
V,CB4758017
V2O5,CB7265055
Vegetable Oil,
Water,
Water Reservoir Excavation,
Zn,CB7700714
ZnBr2,CB9680793
ZnCO3,CB9853531
ZnCl2,CB4854265
ZnI2,CB4369208
ZnSO4,CB2727299
Zr,CB2744830
