original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,molecular_formula_norm,index_use,index
Aluminum Ingot,Aluminum,Ingot,cents/lb,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year.",108.44000000000001,2.3906927711328128 USD / kilogram,Aluminum,Al,Al,molecular_formula,Al
Antimony Metal,Antimony,Metal,USD/lb,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",3.6980000000000004,8.152694455596773 USD / kilogram,Antimony,Sb,Sb,molecular_formula,Sb
Arsenic Mtl-CN,Arsenic,Mtl-CN,USD/kg,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",1.542,1.542 USD / kilogram,Arsenic,As,As,molecular_formula,As
Arsenic Triox-CN,Arsenic,Triox-CN,USD/kg,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",0.442,0.442 USD / kilogram,Arsenic Trioxide,As2O3,As2O3,molecular_formula,As2O3
Arsenic Triox-MA,Arsenic,Triox-MA,USD/kg,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",0.776,0.776 USD / kilogram,Arsenic Trioxide,As2O3,As2O3,molecular_formula,As2O3
Asbestos Customs,Asbestos,Customs,USD/ton,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year.",1844.0,2.0326620573445715 USD / kilogram,Asbestos,Mg3Si2O5(OH)4,H4Mg3O9Si2,material_name,Asbestos
Barite ,Barite,,USD/ton,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year.",179.4,0.1977546491798352 USD / kilogram,Barite,BaSO4,BaO4S,material_name,Barite
Bauxite and Alumina Alumina,Bauxite and Alumina,Alumina,USD/ton,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year.",484.0,0.5335186744874038 USD / kilogram,Alumina,Al2O3,Al2O3,molecular_formula,Al2O3
Bauxite and Alumina Bauxite,Bauxite and Alumina,Bauxite,USD/ton,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year.",30.4,0.033510263852101395 USD / kilogram,Bauxite,AlHO2,AlHO2,material_name,Bauxite
Beryllium Alloy,Beryllium,Alloy,USD/kg,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year.",616.0,616.0 USD / kilogram,Beryllium,Be,Be,molecular_formula,Be
Bismuth ,Bismuth,,USD/lb,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year.",3.8200000000000003,8.421658415462323 USD / kilogram,Bismuth,Bi,Bi,molecular_formula,Bi
Boron CIF,Boron,CIF,USD/ton,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year.",387.8,0.42747632637647764 USD / kilogram,Boron,B,B,molecular_formula,B
Bromine Imports,Bromine,Imports,USD/kg,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year.",2.442,2.442 USD / kilogram,Bromine,Br2,Br,molecular_formula,Br2
Cadmium Metal,Cadmium,Metal,USD/kg,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year.",2.418,2.418 USD / kilogram,Cadmium,Cd,Cd,molecular_formula,Cd
Cement Avg,Cement,Avg,USD/ton,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year.",122.0,0.13448197993277533 USD / kilogram,Cement,CaAl2O6Si,Al2CaO6Si,material_name,Cement
Chromium Ferrrochromium,Chromium,Ferrrochromium,USD/ton,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year.",2293.6,2.5282612227361763 USD / kilogram,Ferrrochromium,FeCr,CrFe,molecular_formula,FeCr
Chromium Metal,Chromium,Metal,USD/ton,"Price, average annual unit value of imports, dollars per ton: Chromium metal (gross weight). Data are estimated for the most recent year.",9368.6,10.327113747526221 USD / kilogram,Chromium,Cr,Cr,molecular_formula,Cr
Chromium Ore,Chromium,Ore,USD/ton,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year.",235.0,0.25904315806723116 USD / kilogram,Chromite,CrFeO4,CrFeO4,molecular_formula,CrFeO4
