original_name,Specification,Unit,Price in USD,+/-,pricing
Cerium carbonates,"TREO 45% min, CeO2 / REO 100% EXW China",USD / mt,1481-1553,,08.07.19
Cerium carbonates,"TREO 45% min, CeO2 / REO 100% FOB China",USD / mt,1820-1920,,08.07.19
Cerium metal,99% min EXW China,USD / mt,5154-5299,,08.07.19
Cerium metal,99% min FOB China,USD / kg,5.4-5.5,,08.07.19
Cerium oxides,99.9% min EXW China,USD / mt,1742-1815,,08.07.19
Cerium oxides,99% min FOB China,USD / mt,1850-1950,,08.07.19
Cerium oxides,99.99% min EXW China,USD / mt,6315-6606,,08.07.19
Cerium oxides,99.9% min in warehouse Rotterdam,USD / kg,2.50-2.60,,08.07.19
Dysprosium metal,99.5% min EXW China,USD / kg,373-380,,08.07.19
Dysprosium metal,99.5% min FOB China,USD / kg,375-385,,08.07.19
Dysprosium oxides,99.5% min EXW China,USD / kg,280-283,,08.07.19
Dysprosium oxides,99.5% min FOB China,USD / kg,282-287,,08.07.19
Ferro-dysprosium,80% EXW China,USD / kg,280-283,,08.07.19
Ferro-dysprosium,80% FOB China,USD / kg,282-287,,08.07.19
Erbium oxides,99.5% min EXW China,USD / kg,27.9-28.6,�1.52%,08.07.19
Erbium oxides,99.5% min FOB China,USD / kg,29.5-30.5,�2.60%,08.07.19
Europium metal,99.5% min FOB China,USD / kg,285-295,,08.07.19
Europium oxides,99.999% min EXW China,USD / kg,32.7-34.1,,08.07.19
Europium oxides,99.999% min FOB China,USD / kg,32.7-34.7,,08.07.19
Gadolinium oxides,99.5% min EXW China,USD / mt,25406-25842,�1.12%,08.07.19
Gadolinium oxides,99.99% min EXW China,USD / mt,30487-31213,�2.30%,08.07.19
Ferro-gadolinium,Gd 73% EXW China,USD / mt,26858-27293,�1.06%,08.07.19
Holmium oxides,99.5% min EXW China,USD / kg,58.8-59.5,,08.07.19
Ferro-holmium,80% EXW China,USD / kg,61.7-62.4,,08.07.19
Lanthanum Chloride,99.9% min EXW China,USD / mt,1495-1568,,08.07.19
Lanthanum metal,99% min EXW China,USD / mt,4863-5009,,08.07.19
Lanthanum metal,99% min FOB China,USD / kg,5.30-5.40,,08.07.19
Lanthanum oxides,99.9% min EXW China,USD / mt,1670-1742,,08.07.19
Lanthanum oxides,99.9% min FOB China,USD / mt,1810-1910,,08.07.19
Lanthanum oxides,99.999% min EXW China,USD / mt,3412-3557,,08.07.19
Lanthanum oxides,99.999% min FOB China,USD / kg,3.65-3.75,,08.07.19
LaCe Carbonates,"TREO 45% min, CeO2 / REO 65 � 2% EXW China",USD / mt,566-581,,08.07.19
LaCe chlorides,"TREO 45% min, CeO2 / REO 65 � 2% EXW China",USD / mt,472-501,,08.07.19
LaCe mixed metal,"Ce / RE 65% min, Fe 0.3% max EXW China",USD / mt,4863-5009,,08.07.19
LaCe mixed metal,"Ce / RE 65% min, Fe 1% max EXW China",USD / mt,4573-4718,,08.07.19
LaCe mixed metal,"Ce / RE 65% min, Fe 1% max FOB China",USD / kg,4.85-4.95,�1.01%,08.07.19
Lutetium oxides,99.99% min China,USD / kg,610-624,,08.07.19
Neodymium metal,99% min EXW China,USD / mt,63878-64604,�1.12%,08.07.19
Neodymium metal,99% min FOB China,USD / kg,64.0-65.0,�1.23%,08.07.19
Neodymium oxides,99.5% min EXW China,USD / mt,48054-48780,�1.48%,08.07.19
Neodymium oxides,99.5% min FOB China,USD / mt,48500-49500,�1.01%,08.07.19
Praseodymium metal,99.5% min FOB China,USD / kg,103.0-106.0,,08.07.19
Praseodymium oxides,99.5% min EXW China,USD / mt,56619-58071,,08.07.19
Praseodymium oxides,99.5% min FOB China,USD / mt,57000-58000,�0.86%,08.07.19
Praseodymium oxides,99.5% min in warehouse Rotterdam,USD / kg,55.5-56.5,�0.88%,08.07.19
PrNd oxides,"Pr6O11 25%, Nd2O3 75% EXW China",USD / mt,47909-48635,�1.48%,08.07.19
PrNd mixed metal,Nd 75% EXW China,USD / mt,63878-64604,�1.12%,08.07.19
PrNd mixed metal,"Pr 25%, Nd 75% FOB China",USD / kg,64.0-65.0,�1.23%,08.07.19
Samarium metal,99.5% min EXW China,USD / kg,13.5-13.8,,08.07.19
Samarium metal,99.5% min FOB China,USD / kg,13.5-14.0,,08.07.19
Samarium oxides,99.9% min FOB China,USD / mt,1780-1880,,08.07.19
Samarium oxides,99.9% min EXW China,USD / mt,1771-1916,,08.07.19
Scandium metal,99.99% min EXW China,USD / kg,3194-3339,,08.07.19
Scandium metal,99.999% min EXW China,USD / kg,5735-6025,,08.07.19
Scandium oxides,99.99% min EXW China,USD / kg,1016-1089,,08.07.19
Scandium Aluminum,Sc 2% EXW China,USD / kg,45.7-48.6,,08.07.19
SmEuGd oxides,"TREO 220g / Lmin, Eu2O3 / REO 8% min EXW China",USD / mt,10598-11034,,08.07.19
Terbium metal,99.9% min EXW China,USD / kg,769-777,,08.07.19
Terbium metal,99.9% min FOB China,USD / kg,770-780,,08.07.19
Terbium oxides,99.99% min EXW China,USD / kg,588-592,,08.07.19
Terbium oxides,99.99% min FOB China,USD / kg,590-595,,08.07.19
Yttrium metal,99.9% min EXW China,USD / kg,30.5-33.4,,08.07.19
Yttrium metal,99.9% min FOB China,USD / kg,31.0-32.0,,08.07.19
Yttrium oxides,99.999% min EXW China,USD / mt,2976-3121,,08.07.19
Yttrium oxides,99.999% min FOB China,USD / kg,3.30-3.40,,08.07.19
Yttrium oxides,99.999% min in warehouse Rotterdam,USD / kg,3.65-3.85,,08.07.19
Ytterbium oxides,99.99% min EXW China,USD / kg,15.7-16.4,,08.07.19
YEu oxides,Eu2O3 / REO 6.6% min EXW China,USD / kg,6.24-6.53,,08.07.19
YEu oxides,Eu2O3 / REO 6.6% min FOB China,USD / kg,6.30-6.60,,08.07.19
