original_name,Specification,Unit,Price in USD,+/-,pricing
Antimony Ingot,99.65% min EXW China,USD / mt,5444-5589,,08.07.19
Antimony Ingot,99.85% min EXW China,USD / mt,5517-5662,,08.07.19
Antimony Ingot,99.65% min FOB China,USD / mt,6000-6200,,08.07.19
Antimony Ingot,99.65% min in the port of India,INR / kg,4.87-5.31,,08.07.19
Antimony Ingot,99.65% min in the warehouse Rotterdam,USD / mt,6050-6250,,08.07.19
Antimony Ingot,99.65% min in the Baltimore warehouse,USD / lb,2.88-2.98,,08.07.19
Antimony Trioxide,99.5% min delivered in China,USD / mt,5009-5154,,08.07.19
Antimony Trioxide,99.8% min delivered in China,USD / mt,5154-5299,,08.07.19
Antimony Trioxide,99.5% min FOB China,USD / mt,5200-5400,,08.07.19
Antimony Trioxide,99.5% min in the warehouse Rotterdam,EUR / kg,5.44-5.67,,08.07.19
Antimony Trioxide,99.5% min in the Baltimore warehouse,USD / lb,2.63-2.73,,08.07.19
Ethylene glycol antimony,57% min delivered in China,USD / mt,5226-5372,,08.07.19
Arsenic metal,99% min EXW China,USD / mt,1103-1147,,08.07.19
Arsenic metal,99% min FOB China,USD / mt,1145-1185,,08.07.19
Arsenic trioxide,99% min EXW China,USD / mt,443-457,,08.07.19
Arsenic trioxide,99% min FOB China,USD / mt,405-415,,08.07.19
Bismuth ingot,99.99% min EXW China,USD / mt,5880-6097,,08.07.19
Bismuth ingot,99.99% min FOB China,USD / lb,2.75-2.90,,08.07.19
Bismuth ingot,99.99% min delivered in India,INR / kg,6.43-6.87,,08.07.19
Bismuth ingot,99.99% min delivered in Europe,USD / lb,2.85-3.00,,08.07.19
Bismuth ingot,99.99% min delivered in US,USD / lb,2.95-3.10,,08.07.19
Bismuth oxides,99.9% min EXW China,USD / mt,6388-6606,,08.07.19
Cadmium Ingot,99.99% min EXW China,USD / mt,2729-2802,,08.07.19
Cadmium Ingot,99.99% min delivered in India,INR / kg,2.92-3.14,,08.07.19
Cadmium Ingot,99.99% min in the warehouse Rotterdam,USD / lb,1.24-1.29,,08.07.19
Cadmium Ingot,99.99% min in the Baltimore warehouse,USD / lb,1.25-1.29,,08.07.19
Calcium Ingot,Reductive 98% min EXW China,USD / mt,2054-2083,,08.07.19
Calcium Granule,Reductive 98% min EXW China,USD / mt,2490-2562,,08.07.19
Calcium Granule,Reductive 98% min FOB China,USD / mt,2610-2710,,08.07.19
Calcium Granule,Electrolytic 98.5% min EXW China,USD / mt,5401-5546,,08.07.19
Calcium Granule,Electrolytic 98.5% min FOB China,USD / mt,6040-6240,,08.07.19
Chrome Conc.,SA 42% min CIF China,USD / mt,160-170,,08.07.19
Chrome lump,Turkish 40% min in the port of China,USD / dmtu,5.66-5.81,,08.07.19
Chrome lump,Turkish 40% min CIF China,USD / mt,195-200,,08.07.19
Chrome Conc.,SA 40% min in the port of China,USD / dmtu,3.92-4.06,,08.07.19
Chrome Conc.,SA 40% min CIF China,USD / mt,140-150,,08.07.19
Chrome Conc.,46% min FOB Turkey,USD / mt,190-195,,08.07.19
Chrome lump,40% min FOB Turkey,USD / mt,175-180,,08.07.19
Chrome Conc.,42% min FOB SA,USD / mt,127-132,�2.26,08.07.19
Chrome Conc.,40% min FOB SA,USD / mt,110-115,�2.60,08.07.19
Chrome Conc.,Turkish 46% min CIF China,USD / mt,215-220,,08.07.19
Chrome Conc.,Turkish 46% min in the port of China,USD / dmtu,5.95-6.10,,08.07.19
Chromium metal,99% min EXW China,USD / mt,8203-8493,�1.71,08.07.19
Chromium metal,99% min FOB China,USD / mt,7990-8290,�1.75,08.07.19
Cobalt Conc.,6-8% CIF China,USD / lb Co,8.1-8.6,�2.34,08.07.19
Cobalt Intermediate,20-30% CIF China,USD / lb Co,8.2-8.7,�2.31,08.07.19
