original_name,material_name,molecular_formula,index_use
Antimony Ingot,Antimony,Sb,molecular_formula
Antimony Trioxide,Antimony Trioxide,Sb2O3,molecular_formula
Antimony ethelyene_glycol,Antimony Ethylene Glycoxide,,material_name
Arsenic metal,Arsenic,As,molecular_formula
Arsenic trioxide,Arsenic Trioxide,As2O3,molecular_formula
Bismuth ingot,Bismuth,Bi,molecular_formula
Bismuth oxides,Bismuth Oxide,Bi2O3,molecular_formula
Cadmium Ingot,Cadmium,Cd,molecular_formula
Calcium Ingot,Calcium,Ca,molecular_formula
Calcium Granule,Calcium,Ca,molecular_formula
Chrome Conc.,Chromite,CrFeO4,molecular_formula
Chrome lump,Chromite,CrFeO4,molecular_formula
Chromium metal,Chromium,Cr,molecular_formula
Cobalt Conc.,Cobalt,Co,molecular_formula
Cobalt Intermediate,Cobalt,Co,molecular_formula
Cobalt metal,Cobalt,Co,molecular_formula
Cobalt Carbonates,Cobalt Carbonate,CCoO3,molecular_formula
Cobalt Chloride,Cobalt Chloride,CoCl2,molecular_formula
Cobalt Monoxide,Cobalt Monoxide,CoO,molecular_formula
Cobalt oxides,Cobalt Tetraoxide,Co3O4,molecular_formula
Cobalt Powder,Cobalt,Co,molecular_formula
Cobalt sulphates,Cobalt Sulphate,CoSO4,molecular_formula
Cobalt Tetroxide,Cobalt Tetroxide,Co3O4,molecular_formula
Gallium metal,Gallium,Ga,molecular_formula
Germanium metal,Germanium,Ge,molecular_formula
Germanium dioxides,Germanium Dioxide,GeO2,molecular_formula
Indium ingot,Indium,In,molecular_formula
Lithium metal,Lithium,Li,molecular_formula
Lithium Carbonates,Lithium Carbonate,Li2CO3,molecular_formula
Lithium Cobaltate,LCO,LiCoO2,material_name
Lithium manganates,LMO,LiMn2O4,material_name
Lithium hydroxides_monohydrates,Lithium Hydroxide Monohydrate,LiOH(H2O),molecular_formula
Lithium chlorides,Lithium Chloride,ClLi,molecular_formula
Magnesium Ingot,Magnesium,Mg,molecular_formula
Magnesium Powder,Magnesium,Mg,molecular_formula
Magnesium Alloy AZ91D,Magnesium,Mg,molecular_formula
Manganese flakes,Magnesium,Mg,molecular_formula
Manganese Lump,Manganese,Mn,molecular_formula
Manganese Briquette,Manganese,Mn,molecular_formula
Manganese dioxides,Manganese dioxide,MnO2,molecular_formula
Manganese sulphates,Manganese sulphate,MnSO4,molecular_formula
Mercury metal,Magnesium,Mg,molecular_formula
Molybdenum Conc.,"Molybdenite ",MoS2,molecular_formula
Molybdenum oxides,Molybdenum Oxide,MoO3,molecular_formula
Ammonium Tetrathiomolybdate,Ammonium Tetrathiomolybdate,H10MoN2S4,material_name
Ammonium heptamolybdate,Ammonium Heptamolybdate,"H50Mo7N6O28 ",material_name
Sodium Molybdate,Sodium Molybdate,NaMo2O4,molecular_formula
Molybdenum Powder,Molybdenum,Mo,molecular_formula
Molybdenum bar,Molybdenum,Mo,molecular_formula
Molybdenum Rod,Molybdenum,Mo,molecular_formula
Niobium Conc.,Niobium Pentoxide,Nb2O5,molecular_formula
Niobium pentoxides,Niobium Pentoxide,Nb2O5,molecular_formula
Rhenium APR,Rhenium,Re,molecular_formula
Selenium Powder,Selenium,Se,molecular_formula
Selenium dioxides,Selenium Dioxide,SeO2,molecular_formula
Silicon metal,Metallurgical Silicon,,material_name
Silicon polysilicon,Polysilicon,,material_name
Strontium metal,Strontium,Sr,molecular_formula
Tantalum Conc.,Tantalum Oxide,Ta2O5,molecular_formula
Tantalum metal,Tantalum,Ta,molecular_formula
Tantalum pentoxide,Tantalum Pentoxide,Ta2O5,molecular_formula
Tellurium metal,Tellurium,Te,molecular_formula
Ilmenite Conc,Ilmenite,FeTiO3,molecular_formula
Ilmenite Reduced,Ilmenite,FeTiO3,molecular_formula
Rutile Conc,Ilmenite,FeTiO3,molecular_formula
Titanium Slag,Ilmenite,FeTiO3,molecular_formula
Titanium tetrachloride,Titanium Tetrachloride,TiCl4,molecular_formula
Titan Sponge,Titanium,Ti,molecular_formula
Titanium plate,Titanium,Ti,molecular_formula
Titanium pipe,Titanium,Ti,molecular_formula
Titanium Dioxide,Titanium Dioxide,TiO2,molecular_formula
Wolfram Ore,Tungsten Trioxide,WO3,molecular_formula
Tungsten APT,Ammonium Paratungstate,(NH4)10(H2W12O42)(H2O)4,material_name
Sodium Tungstate,Sodium Tungstate,Na2WO4,molecular_formula
Tungsten oxides,Tungsten Oxide,WO3,molecular_formula
Tungsten powder,Tungsten,W,molecular_formula
Wolfram Bar,Wolfram,W,molecular_formula
Tungsten carbide,Tungsten Carbide,CW,molecular_formula
Tungsten scrap,Tungsten,W,molecular_formula
Ammonium metavanadate,Ammonium Metavanadate,NH4VO3,molecular_formula
Vanadium nitrides,Vanadium Nitride,NV,molecular_formula
Vanadium pentoxides,Vanadium Pentoxide,V2O5,molecular_formula
Zircon sand,Zirconium Silicate,ZrSiO4,molecular_formula
Zirconium fused_cubic,Zirconium Oxide,ZrO2,molecular_formula
Zirconium Sponge,Zirconium,Zr,molecular_formula
Zirconium silicate,Zirconium Silicate,ZrSiO4,molecular_formula
Zirconium Oxychloride,Zirconium Oxychloride,ZrCl2H2O,molecular_formula
Zirconium Carbonates,Zirconium Carbonate,Zr(CO3)2,molecular_formula
Lanthanum metal,Lanthanum metal,La,molecular_formula
