original_name,material_name,molecular_formula,index_use
Alumina (Averaged),Alumina,Al2O3,molecular_formula
Alumina - Shandong,Alumina,Al2O3,molecular_formula
Alumina - Henan,Alumina,Al2O3,molecular_formula
Alumina - Shanxi,Alumina,Al2O3,molecular_formula
Alumina - Guizhou,Alumina,Al2O3,molecular_formula
Alumina - Guangxi,Alumina,Al2O3,molecular_formula
Alumina - Lianyungang,Alumina,Al2O3,molecular_formula
Alumina - Bayuquan,Alumina,Al2O3,molecular_formula
Australian Alumina FOB Price,Alumina,Al2O3,molecular_formula
SMM A00 Aluminum Ingot,Aluminum,Al,molecular_formula
SMM A00 Aluminum Ingot Premium and Discount,Aluminum,Al,
SMM Aluminum Ingot - Gong Yi,Aluminum,Al,molecular_formula
SMM Aluminum Premium - Gong Yi,Aluminum,Al,
Aluminum Ingot - Fo Shan,Aluminum,Al,molecular_formula
SMM Aluminum Premium - Foshan,Aluminum,Al,
Low Carbon Aluminum,Aluminum,Al,molecular_formula
Aluminum Ingot - Wu Xi,Aluminum,Al,molecular_formula
Aluminum Ingot - Hang Zhou,Aluminum,Al,molecular_formula
Aluminum Ingot - Chong Qing,Aluminum,Al,molecular_formula
Aluminum Ingot - Shen Yang,Aluminum,Al,molecular_formula
Aluminum Ingot - Tian Jin,Aluminum,Al,molecular_formula
Aluminum Ingot - Lin Yi,Aluminum,Al,molecular_formula
Yangshan Aluminium Premium (Bill of Lading),Aluminum,Al,
Yangshan Aluminium Premium (Warehouse Warrant),Aluminum,Al,
High purity aluminium(99.99%),Aluminum,Al,molecular_formula
High purity aluminium(99.996%),Aluminum,Al,molecular_formula
Bauxite(6.0≤Al/Si<7.0)Shanxi,Bauxite,AlHO2,material_name
Bauxite(4.5≤Al/Si<5.5)Shanxi,Bauxite,AlHO2,material_name
Bauxite(4.5≤Al/Si<5.5)Henan,Bauxite,AlHO2,material_name
Bauxite(6.0≤Al/Si<7.0)Henan,Bauxite,AlHO2,material_name
Bauxite(6.5≤Al/Si<7.5)Guangxi,Bauxite,AlHO2,material_name
Bauxite(5.5≤Al/Si<6.5)Guangxi,Bauxite,AlHO2,material_name
Bauxite(6.5≤Al/Si<7.5)Guizhou,Bauxite,AlHO2,material_name
Bauxite(5.5≤Al/Si<6.5)Guizhou,Bauxite,AlHO2,material_name
