,specific_price,molecular_formula
unit_row,USD / kilogram,N/U
index,,
AQDS,9.5,
Al,1.52,Al
Al2O3,8.0,Al2O3
B,220.0,B
Ba,89.0,Ba
Ba(OH)2,0.4676,Ba(OH)2
BaCO3,0.4105,BaCO3
BaO,2.0,BaO
BaO2,10.0,
Bi,12.0,Bi
Bipyridine,8.5,(C5H4N)2
CNT,100.0,
Ca,4.5,Ca
Ca(OH)2 ,0.08,Ca(OH)2 
CaCO3,0.349,CaCO3
CaCl2,0.14,CaCl2
CaF2,0.25,CaF2
CaSO4,0.4,CaSO4
Cd,23.0,Cd
Cd(OH)2,22.5,Cd(OH)2
CdCO3,0.5,CdCO3
CdSO4 ,10.0,CdSO4 
CeO2,3.4,CeO2
Clay,0.15000000000000002,
Co,15.0,Co
Co3O4,17.5,Co3O4
CoCl2,26.021922828148245,CoCl2
CoO,35.835,CoO
CoSO4,20.7,CoSO4
Cr,16.0,Cr
Cr2O3,3.8,Cr2O3
Cu,6.25,Cu
CuO,11.5,CuO
CuSO4,1.5,CuSO4
Fe,0.5575,Fe
FeCl2,1.8822517653556352,FeCl2
FeSO4,0.09,FeSO4
GRE,14.5,
Ga,414.3,Ga
Graphene,902.6,
Graphene Oxide,200.49,
Graphite,0.8,
HBr,1.8,HBr
In,210.0,In
K2CO3,0.79,K2CO3
K2SO4,0.35,K2SO4
K4Fe(CN)6,4.462072311320166,C6FeK4N6
KCl,0.5575,KCl
KNO3,0.45,KNO3
KOH,0.78,KOH
LFP,20.0,
LMNO,50.0,
LMO,12.5,
LTO,45.0,
LaNi5,80.0,LaNi5
Li,0.5,Li
Li2CO3,51.295,Li2CO3
Li2O,100.0,Li2O
Li2S,2400.0,Li2S
Li2SO4,5.0,Li2SO4
LiCl,5.5,LiCl
LiF,20.0,LiF
LiNO3,17.0,
LiOH,6.045387731239822,LiOH
Metallurgical Silicon,1.35,Si
Mg,6.8,Mg
Mg(NO3)2,0.22,Mg(NO3)2
Mg(OH)2,0.30000000000000004,Mg(OH)2
MgCO3,0.5,MgCO3
MgCl2,0.165,MgCl2
MgF2,82.0,MgF2
MgO,0.1,MgO
MgSO4,0.1433406169772601,MgSO4
MnO2,0.35,MnO2
MnSO4,0.4,MnSO4
MoS2,34.45,MoS2
NCA,80.0,
NCM111,59.0,
NCM622,60.0,
Na,3.0,Na
Na2CO3,0.245,Na2CO3
Na2SO4,0.0775,Na2SO4
NaBr,1.825,NaBr
NaCl,0.045,NaCl
NaOH,0.64,NaOH
Ni,35.0,Ni
NiCl2,14.489155003264056,NiCl2
NiSO4,5.0,NiSO4
Pb,1.6400000000000001,Pb
PbCO3,4.5,PbCO3
PbO,1.945,PbO
Polysilicon,1.512,Si
PtO2,15.0,PtO2
Sand,0.08499999999999999,SiO2
Sb,4.2,Sb
Sb2O3,7.5,Sb2O3
SiO2,6.5,SiO2
Sn,46.45,Sn
SrCO3,0.95,SrCO3
Steel,0.6,Fe
Te,120.0,Te
V,290.0,V
V2O5,5.0,V2O5
Zn,0.51051,Zn
ZnBr2,2.5,ZnBr2
ZnCO3,1.95,ZnCO3
ZnCl2,0.95,ZnCl2
ZnI2,10.0,ZnI2
ZnSO4,0.6234009142942094,ZnSO4
