index,original_name,molecular_formula,price,price_unit,price_date,url
Al2O3,Alumina,Al2O3,1005.073,USD/metric_ton,2018-04-13,https://www.echemi.com/productsInformation/pd20150901241-aluminum-oxide.html
Barite,Barite,BaSO4,385.0,USD/metric_ton,2017-02-13,https://www.echemi.com/productsInformation/pd20161215114110341-barite-baso4.html
BaCO3,Barium carbonate,BaCO3,480.0,USD/metric_ton,2017-12-18,https://www.echemi.com/productsInformation/pd20160203171247172-barium-carbonate.html
CaCO3,Calcium carbonate,CaCO3,311.559,USD/metric_ton,2022-06-14,https://www.echemi.com/productsInformation/pid_Seven31057-calciumcarbonate.html
CaCl2,Calcium chloride,CaCl2,101.678,USD/metric_ton,2018-12-17,https://www.echemi.com/productsInformation/temppid160705011137-calcium-chloride.html
Carbon Black,Carbon black,C,10912.5,CNY/metric_ton,2022-11-02,https://www.echemi.com/productsInformation/pd20150901230-carbon-black.html
MgCO3,Magnesite,MgCO3,895.402,USD/metric_ton,2020-10-12,https://www.echemi.com/productsInformation/pd20160530143440098-magnesium-carbonate.html
MgO,Magnesium oxide,MgO,1527.539,USD/metric_ton,2018-12-25,https://www.echemi.com/productsInformation/pd20150901228-magnesium-oxide.html
NaHCO3,Sodium bicarbonate,NaHCO3,2600.0,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20150901033-sodium-bicarbonate.html
Na2SO4,Sodium sulfate,Na2SO4,116.384,USD/metric_ton,2018-12-25,https://www.echemi.com/productsInformation/temppid160705011365-sodium-sulfate.html
ZnCl2,Zinc chloride,ZnCl2,2178.017,USD/metric_ton,2018-12-24,https://www.echemi.com/productsInformation/pd20160301093221709-zinc-chloride.html
LiOH,Lithium hydroxide,LiOH,518333.34,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pid_Seven9096-lithium-hydroxide.html
Li2CO3,Lithium carbonate,Li2CO3,564000.0,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pid_Seven44318-lithiumcarbonate.html
KOH,Potassium hydroxide,KOH,9974.074,CNY/metric_ton,2022-11-02,https://www.echemi.com/productsInformation/pd20150901020-potassium-hydroxide.html
Ethanol,Ethanol,C2H6O,6762.5,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pid_Rock6661-etanol.html
Methanol,Methanol,CH3OH,2621.55,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20150901274-methanol-reagent.html
N-propanol,1-Propanol,C3H80,8266.667,CNY/metric_ton,2022-11-02,https://www.echemi.com/productsInformation/pd20170111160501595-1-propanol.html
N-hexane,Hexane,C6H14,"10200.0 ",CNY/metric_ton,2022-11-02,https://www.echemi.com/productsInformation/pid_Seven3640-hexane.html
Br2,Bromine,Br2,6879.023,USD/metric_ton,2022-10-31,https://www.echemi.com/productsInformation/pid_Rock20656-bromine.html
NaOH,Sodium hydroxide,NaOH,1945.8,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20150901041-caustic-soda-pearls.html
Metallurgical Silicon,Silicon,Si,21470.0,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pid_Rock21081-silicon.html
Na2CO3,Sodium carbonate,Na2CO3,2638.75,CNY/metric_ton,2022-11-02,https://www.echemi.com/productsInformation/pd20150901042-Soda-Ash.html
S,Sulfur,S,1266.67,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20160117132320976-sulfur.html
K2SO4,Potassium sulfate,K2SO4,3983.33,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20160421163632445-potassium-sulfate.html
K2CO3,Potassium carbonate,K2CO3,9250.0,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20160225194205669-potassium-carbonate.html
KCl,Potassium chloride,KCl,3833.33,CNY/metric_ton,2022-11-01,https://www.echemi.com/productsInformation/pd20150901015-potassium-chloride.html
Bipyridine,Bipyridine,(C5H4N)2,44933.375,USD/metric_ton,2021-06-22,https://www.echemi.com/productsInformation/pid_Seven21112-22-dipyridyl.html
Toluene,Toluene,C7H8,7177.5,CNY/metric_ton,2022-11-25,https://www.echemi.com/productsInformation/temppid160704000607-toluene.html
Ethylene glycol,Ethylene glycol,C2H6O2,3930.0,CNY/metric_ton,2022-11-28,https://www.echemi.com/productsInformation/pid_Seven2471-ethylene-glycol-eg.html
Isopentane,Isopentane,C5H12,484.551,USD/metric_ton,2020-03-13,https://www.echemi.com/productsInformation/pid_Rock14848-isopentane.html
