,molecular_formula,specific_price,year
unit_row,N/U,USD / kilogram,N/U
index,,,
Al2O3,Al2O3,1.005073,2018
Barite,BaSO4,0.385,2017
BaCO3,BaCO3,0.48,2017
CaCO3,CaCO3,0.31155900000000003,2022
CaCl2,CaCl2,0.101678,2018
Carbon Black,C,1.5277500000000002,2022
MgCO3,MgCO3,0.895402,2020
MgO,MgO,1.527539,2018
NaHCO3,NaHCO3,0.36400000000000005,2022
Na2SO4,Na2SO4,0.116384,2018
ZnCl2,ZnCl2,2.178017,2018
LiOH,LiOH,72.56666760000002,2022
Li2CO3,Li2CO3,78.96000000000001,2022
KOH,KOH,1.3963703600000001,2022
Ethanol,C2H6O,0.9467500000000001,2022
Methanol,CH3OH,0.36701700000000004,2022
N-propanol,C3H80,1.15733338,2022
N-hexane,C6H14,1.4280000000000002,2022
Br2,Br2,6.879023,2022
NaOH,NaOH,0.27241200000000004,2022
Metallurgical Silicon,Si,3.0058000000000002,2022
Na2CO3,Na2CO3,0.36942500000000006,2022
S,S,0.17733380000000004,2022
K2SO4,K2SO4,0.5576662,2022
K2CO3,K2CO3,1.2950000000000002,2022
KCl,KCl,0.5366662000000001,2022
Bipyridine,(C5H4N)2,44.933375,2021
Toluene,C7H8,1.00485,2022
Ethylene glycol,C2H6O2,0.5502,2022
Isopentane,C5H12,0.484551,2020
