index,molecular_formula,search_text,must_contain,split_hydrate,original_names
AQDS,,853-67-8,ANTHRAQUINONE,,AQDS
Al,Al,aluminum ingot,"aluminum, aluminium",,"Al, Al-2024, Al-6061-T6, Al-7075-T6, Aluminium, Aluminium (Al), Aluminum Ingot, Aluminum Ingot - Chong Qing, Aluminum Ingot - Fo Shan, Aluminum Ingot - Hang Zhou, Aluminum Ingot - Lin Yi, Aluminum Ingot - Shen Yang, Aluminum Ingot - Tian Jin, Aluminum Ingot - Wu Xi, High purity aluminium(99.99%), High purity aluminium(99.996%), Low Carbon Aluminum, SMM A00 Aluminum Ingot, SMM Aluminum Ingot - Gong Yi"
Al2O3,Al2O3,Al2O3,"Al2O3, Alumina, Aluminum Oxide, Aluminium Oxide",,"Activated Alumina, Al2O3, Alumina (Averaged), Alumina - Bayuquan, Alumina - Guangxi, Alumina - Guizhou, Alumina - Henan, Alumina - Lianyungang, Alumina - Shandong, Alumina - Shanxi, Australian Alumina FOB Price, Bauxite and Alumina Alumina"
Au,Au,,,,"Gold "
B,B,7440-42-8,boron,,"Boron (B), Boron CIF"
Ba,Ba,barium metal,barium metal,,Ba
Bi,Bi,bismuth metal,bismuth metal,,"Bi, Bismuth , Bismuth ingot"
Bipyridine,(C5H4N)2,366-18-7,Bipyridine,,
Br2,Br2,,,,Bromine Imports
Graphite,,graphite powder,graphite powder,,Graphite
CNT,,carbon nanotube,carbon nanotube,,
CO2,CO2,,,,Cyrogenic Carbon Capture
Ca,Ca,calcium metal,calcium metal,,"Ca, Calcium 98.5%, Calcium 99%, Calcium Granule, Calcium Ingot"
Ca(NO3)2,Ca(NO3)2,ca(no3)2 calcium nitrate,calcium nitrate,,
CaCO3,CaCO3,caco3 calcium carbonate,calcium carbonate,,"CALCIUM CARBONATE Technical Grade 50 LB BAG, CaCO3, Calcium Carbonate 99% Powder SAA6532 SAA"
CaCl2,CaCl2,cacl2 calcium chloride,calcium chloride,y,CaCl2
CaF2,CaF2,CaF2,"CaF2, calcium fluoride, fluorspar",,"CaF2, Fluorspar Acid, Fluorspar Metallurgical"
CaSO4,CaSO4,caso4 calcium sulphate,"caso4, calcium sulphate",y,"CaSO4, Gypsum Mine, Gypsum Plant"
Cd,Cd,Cadmium metal,"Cadmium metal, Cadmium ingot",,"Cadmium Ingot, Cadmium Metal, Cd"
Cd(OH)2,Cd(OH)2,cadmium hydroxide,cadmium hydroxide,,Cd(OH)2
CeO2,CeO2,ceo2 cerium oxide,"ceo2, cerium oxide",,Rare Earths CeO2
Clay,,Clay,Clay,,"Clays Ball, Clays Bentonite, Clays Common, Clays Fire, Clays Fullers, Clays Kaolin"
