Z,Symbol,Name,cost,molar_mass
1,H,Hydrogen,1.39,1.008
2,He,Helium,24.0,4.002602
3,Li,Lithium,83.5,6.94
4,Be,Beryllium,857.0,9.0121831
5,B,Boron,3.68,10.81
6,C,Carbon,0.122,12.011
7,N,Nitrogen,0.14,14.007
8,O,Oxygen,0.154,15.999
9,F,Fluorine,2.0,18.998403163
10,Ne,Neon,240.0,20.1797
11,Na,Sodium,3.0,22.98976928
12,Mg,Magnesium,2.32,24.305
13,Al,Aluminium,1.79,26.9815384
14,Si,Silicon,1.7,28.085
15,P,Phosphorus,2.69,30.973761998
16,S,Sulfur,0.0926,32.06
17,Cl,Chlorine,0.082,35.45
18,Ar,Argon,0.931,39.95
19,K,Potassium,12.85,39.0983
20,Ca,Calcium,2.2800000000000002,40.078
21,Sc,Scandium,3460.0,44.955908
22,Ti,Titanium,11.399999999999999,47.867
23,V,Vanadium,371.0,50.9415
24,Cr,Chromium,9.4,51.9961
25,Mn,Manganese,1.82,54.938043
26,Fe,Iron,0.424,55.845
27,Co,Cobalt,32.8,58.933194
28,Ni,Nickel,13.9,58.6934
29,Cu,Copper,6.0,63.546
30,Zn,Zinc,2.55,65.38
31,Ga,Gallium,148.0,69.723
32,Ge,Germanium,962.0,72.63
33,As,Arsenic,1.1545,74.921595
34,Se,Selenium,21.4,78.971
35,Br,Bromine,4.39,79.904
36,Kr,Krypton,290.0,83.798
37,Rb,Rubidium,15500.0,85.4678
38,Sr,Strontium,6.605,87.62
39,Y,Yttrium,31.0,88.90584
40,Zr,Zirconium,36.400000000000006,91.224
41,Nb,Niobium,73.5,92.90637
42,Mo,Molybdenum,40.1,95.95
43,Tc,Technetium,100000.0,
44,Ru,Ruthenium,10500.0,101.07
45,Rh,Rhodium,147000.0,102.90549
46,Pd,Palladium,49500.0,106.42
47,Ag,Silver,521.0,107.8682
48,Cd,Cadmium,2.73,112.414
49,In,Indium,167.0,114.818
50,Sn,Tin,18.7,118.71
51,Sb,Antimony,5.79,121.76
52,Te,Tellurium,63.5,127.6
53,I,Iodine,35.0,126.90447
54,Xe,Xenon,1800.0,131.293
55,Cs,Caesium,61800.0,132.90545196
56,Ba,Barium,0.2605,137.327
57,La,Lanthanum,4.85,138.90547
58,Ce,Cerium,4.640000000000001,140.116
59,Pr,Praseodymium,103.0,140.90766
60,Nd,Neodymium,57.5,144.242
62,Sm,Samarium,13.9,150.36
63,Eu,Europium,31.4,151.964
64,Gd,Gadolinium,28.6,157.25
65,Tb,Terbium,658.0,158.925354
66,Dy,Dysprosium,307.0,162.5
67,Ho,Holmium,57.1,164.930328
68,Er,Erbium,26.4,167.259
69,Tm,Thulium,3000.0,168.934218
70,Yb,Ytterbium,17.1,173.045
71,Lu,Lutetium,643.0,174.9668
72,Hf,Hafnium,900.0,178.486
73,Ta,Tantalum,305.0,180.94788
74,W,Tungsten,35.3,183.84
75,Re,Rhenium,3580.0,186.207
76,Os,Osmium,12000.0,190.23
77,Ir,Iridium,55850.0,192.217
78,Pt,Platinum,27800.0,195.084
79,Au,Gold,44800.0,196.96657
80,Hg,Mercury,30.2,200.592
81,Tl,Thallium,4200.0,204.38
82,Pb,Lead,2.0,207.2
83,Bi,Bismuth,6.36,208.9804
