display_text,SM_name,x,y,fix
NTP/NMO,NTP/NMO,0.27,0.94,
Na/Sn,Na/Sn,0.4,0.93,
Li/TiS_{2},Li/TiS2,0.61,0.93,
LTO/LMO,LTO/LMO,0.19,0.92,
Na/Te,Na/Te,0.48,0.91,
Mg/Ti_{2}S_{4},Mg/Ti2S4,0.68,0.91,
K/Te,K/Te,0.51,0.91,
Mg/Sn,Mg/Sn,0.13,0.9,
I_{3}/Zn,I3/Zn,0.27,0.9,
Li/Te,Li/Te,0.58,0.89,
Li/MoS_{2},Li/MoS2,0.59,0.88,
K/Pb,K/Pb,0.37,0.86,
Na/Ga,Na/Ga,0.24,0.85,
Li/Sn,Li/Sn,0.41,0.85,
C_{6}/LMNO,C6/LMNO,0.64,0.85,
K/Bi,K/Bi,0.37,0.84,
C_{6}/NCA,C6/NCA,0.63,0.84,
Zn/NiOOH,Zn/NiOOH,0.53,0.83,
Na/Cd,Na/Cd,0.19,0.83,
C_{6}/LCO,C6/LCO,0.65,0.82,
Li/Bi,Li/Bi,0.5,0.82,
K/Hg,K/Hg,0.36,0.82,
TEMPO/Zn,TEMPO/Zn,0.17,0.81,
Ca/Sn,Ca/Sn,0.24,0.81,
Li/Pb_{2}Sb,Li/Pb2Sb,0.19,0.81,
Na/Bi,Na/Bi,0.31,0.8,
K/Sb,K/Sb,0.5,0.8,
Ni/Zn,Ni/Zn,0.6,0.8,
NiCd,NiCd,0.65,0.79,
C_{6}/NCM111,C6/NCM111,0.78,0.78,
Si/LCO,Si/LCO,0.7,0.78,
C_{6}/LRMO\ LMNO,C6/LRMO LMNO,0.53,0.78,
Na/Pb,Na/Pb,0.26,0.78,
Ba/Sn,Ba/Sn,0.46,0.77,
K_{3}[Fe(CN)_{6}]/Zn,K3[Fe(CN)6]/Zn,0.35,0.77,
Na/Sb,Na/Sb,0.33,0.76,
Na/Hg,Na/Hg,0.16,0.76,
Ba/Al,Ba/Al,0.27,0.75,
Li/LCO,Li/LCO,0.7,0.75,
Mg/Cd,Mg/Cd,0.22,0.75,
C_{6}/LMP,C6/LMP,0.74,0.75,
Ca/Bi,Ca/Bi,0.56,0.74,
Mg/Bi,Mg/Bi,0.67,0.73,
C_{6}/LFP,C6/LFP,0.68,0.72,
Ba/Pb,Ba/Pb,0.44,0.72,
Li/Cd,Li/Cd,0.4,0.72,
Mg/Ga,Mg/Ga,0.21,0.71,
Li/Pb,Li/Pb,0.33,0.71,
C_{6}/NCM622,C6/NCM622,0.68,0.71,
Ba/Sb,Ba/Sb,0.55,0.71,
Ba/Bi,Ba/Bi,0.51,0.7,
K-O_{2},K-O2,0.69,0.7,
Li/Sb,Li/Sb,0.35,0.7,
Mg/Pb,Mg/Pb,0.29,0.68,
Mg/Sb,Mg/Sb,0.6,0.68,
Zn/Zn_{0.25}V_{2}O_{5},Zn/Zn0.25V2O5,0.22,0.67,
Li/Ga,Li/Ga,0.38,0.66,
V-air,V-air,0.63,0.66,
Ca/Pb,Ca/Pb,0.63,0.66,
C_{6}/LMO,C6/LMO,0.74,0.65,
Ca/Zn,Ca/Zn,0.39,0.64,
Na/NiCl_{2},Na/NiCl2,0.71,0.64,
Mg/Al,Mg/Al,0.32,0.63,
Ca/Sb,Ca/Sb,0.64,0.62,
Ca/Al,Ca/Al,0.5,0.62,
Ce_{4}/Zn,Ce4/Zn,0.47,0.6,
Mg/Zn,Mg/Zn,0.37,0.59,
Zn/Br_{2},Zn/Br2,0.61,0.58,
Li/Zn,Li/Zn,0.33,0.58,
Pb\ acid,Pb acid,0.59,0.57,
Li/Al,Li/Al,0.47,0.56,
FeCl_{3}Zn,FeCl3Zn,0.36,0.52,
Na/P_{2}-NMO,Na/P2-NMO,0.74,0.51,
Na/S,Na/S,0.51,0.49,
Ca-O_{2},Ca-O2,0.81,0.48,
Si/Li_{2}S,Si/Li2S,0.64,0.47,
Na-O_{2},Na-O2,0.81,0.46,
Zn/MnO_{2},Zn/MnO2,0.56,0.45,
Zn/Fe,Zn/Fe,0.51,0.42,
Zn-air,Zn-air,0.73,0.39,
Mg-Air,Mg-Air,0.87,0.39,
Mg-O_{2},Mg-O2,0.8,0.38,
Al-O_{2},Al-O2,0.76,0.35,
Al-air,Al-air,0.89,0.33,
Si-air,Si-air,0.88,0.32,
Fe-air,Fe-air,0.66,0.31,
Li/S,Li/S,0.74,0.25,
Li/air,Li/air,0.82,0.21,
Li-O_{2},Li-O2,0.85,0.19,
