,Commodity,Commodity_info,Specification,price_per_kg
0,Antimony,Ingot,99.65% min EXW China,5.5165
1,Antimony,Ingot,99.85% min EXW China,5.5895
2,Antimony,Ingot,99.65% min FOB China,6.1000000000000005
4,Antimony,Ingot,99.65% min in the warehouse Rotterdam,6.15
5,Antimony,Ingot,99.65% min in the Baltimore warehouse,6.459544282016912
6,Antimony,Trioxide,99.5% min delivered in China,5.0815
7,Antimony,Trioxide,99.8% min delivered in China,5.2265
8,Antimony,Trioxide,99.5% min FOB China,5.3
10,Antimony,Trioxide,99.5% min in the Baltimore warehouse,5.908388626554718
11,Antimony,ethelyene_glycol,57% min delivered in China,5.299
12,Arsenic,metal,99% min EXW China,1.125
13,Arsenic,metal,99% min FOB China,1.165
14,Arsenic,trioxide,99% min EXW China,0.45
15,Arsenic,trioxide,99% min FOB China,0.41000000000000003
16,Bismuth,ingot,99.99% min EXW China,5.9885
17,Bismuth,ingot,99.99% min FOB China,6.228058906722792
19,Bismuth,ingot,99.99% min delivered in Europe,6.448521168907669
20,Bismuth,ingot,99.99% min delivered in US,6.668983431092547
21,Bismuth,oxides,99.9% min EXW China,6.497
22,Cadmium,Ingot,99.99% min EXW China,2.7655
24,Cadmium,Ingot,99.99% min in the warehouse Rotterdam,2.7888476166387015
25,Cadmium,Ingot,99.99% min in the Baltimore warehouse,2.799870729747945
26,Calcium,Ingot,Reductive 98% min EXW China,2.0685000000000002
27,Calcium,Granule,Reductive 98% min EXW China,2.5260000000000002
28,Calcium,Granule,Reductive 98% min FOB China,2.66
29,Calcium,Granule,Electrolytic 98.5% min EXW China,5.4735000000000005
30,Calcium,Granule,Electrolytic 98.5% min FOB China,6.140000000000001
31,Chrome,Concrete,SA 42% min CIF China,0.165
32,Chrome,lump,Turkish 40% min in the port of China,0.005735
33,Chrome,lump,Turkish 40% min CIF China,0.1975
34,Chrome,Concrete,SA 40% min in the port of China,0.00399
35,Chrome,Concrete,SA 40% min CIF China,0.145
36,Chrome,Concrete,46% min FOB Turkey,0.1925
37,Chrome,lump,40% min FOB Turkey,0.1775
38,Chrome,Concrete,42% min FOB SA,0.1295
39,Chrome,Concrete,40% min FOB SA,0.1125
40,Chrome,Concrete,Turkish 46% min CIF China,0.2175
41,Chrome,Concrete,Turkish 46% min in the port of China,0.006025000000000001
42,Chromium,metal,99% min EXW China,8.348
43,Chromium,metal,99% min FOB China,8.14
44,Cobalt,Concrete,6-8% CIF China,18.408598892437276
45,Cobalt,Intermediate,20-30% CIF China,18.629061154622153
46,Cobalt,metal,99.3% min in the warehouse Rotterdam,30.75448557479042
48,Cobalt,metal,99.8% min in the warehouse Rotterdam,32.18749027899212
49,Cobalt,metal,99.8% min in the Baltimore warehouse,31.526103492437493
50,Cobalt,metal,99.8% min delivered in China,30.5
51,Cobalt,Carbonates,46% min delivered in China,14.445
52,Cobalt,Chloride,24% min delivered in China,6.388
53,Cobalt,Monoxide,78% min delivered in China,31.6
54,Cobalt,oxides,72% min delivered in China,22.15
56,Cobalt,Powder,99.5% min delivered in China,33.3
57,Cobalt,sulphates,20.5% min delivered in China,5.3715
58,Cobalt,Tetroxide,73.5% min delivered in China,22.25
59,Gallium,metal,99.99% min EXW China,146.0
60,Gallium,metal,99.99% min FOB China,146.5
61,Gallium,metal,99.99% min delivered in Europe,157.0
62,Gallium,metal,99.99% min delivered in US,157.0
63,Germanium,metal,99.99% min EXW China,1096.0
64,Germanium,metal,99.99% min FOB China,1145.0
65,Germanium,metal,99.99% min delivered in Europe,1185.0
66,Germanium,metal,99.99% min delivered in US,1185.0
