index,material_name,commodity,commodity_info,Specification,specific_price
Sb,Antimony,Antimony,Ingot,99.65% min EXW China,5.5165
Sb,Antimony,Antimony,Ingot,99.85% min EXW China,5.5895
Sb,Antimony,Antimony,Ingot,99.65% min FOB China,6.1000000000000005
Sb,Antimony,Antimony,Ingot,99.65% min in the warehouse Rotterdam,6.15
Sb,Antimony,Antimony,Ingot,99.65% min in the Baltimore warehouse,6.459544282016912
O3Sb2,Antimony Trioxide,Antimony,Trioxide,99.5% min delivered in China,5.0815
O3Sb2,Antimony Trioxide,Antimony,Trioxide,99.8% min delivered in China,5.2265
O3Sb2,Antimony Trioxide,Antimony,Trioxide,99.5% min FOB China,5.3
O3Sb2,Antimony Trioxide,Antimony,Trioxide,99.5% min in the Baltimore warehouse,5.908388626554718
As,Arsenic,Arsenic,metal,99% min EXW China,1.125
As,Arsenic,Arsenic,metal,99% min FOB China,1.165
As2O3,Arsenic Trioxide,Arsenic,trioxide,99% min EXW China,0.45
As2O3,Arsenic Trioxide,Arsenic,trioxide,99% min FOB China,0.41000000000000003
Bi,Bismuth,Bismuth,ingot,99.99% min EXW China,5.9885
Bi,Bismuth,Bismuth,ingot,99.99% min FOB China,6.228058906722792
Bi,Bismuth,Bismuth,ingot,99.99% min delivered in Europe,6.448521168907669
Bi,Bismuth,Bismuth,ingot,99.99% min delivered in US,6.668983431092547
Bi2O3,Bismuth oxide,Bismuth,oxides,99.9% min EXW China,6.497
Cd,Cadmium,Cadmium,Ingot,99.99% min EXW China,2.7655
Cd,Cadmium,Cadmium,Ingot,99.99% min in the warehouse Rotterdam,2.7888476166387015
Cd,Cadmium,Cadmium,Ingot,99.99% min in the Baltimore warehouse,2.799870729747945
Cd,Cadmium,Calcium,Ingot,Reductive 98% min EXW China,2.0685000000000002
Ca,Calcium,Calcium,Granule,Reductive 98% min EXW China,2.5260000000000002
Ca,Calcium,Calcium,Granule,Reductive 98% min FOB China,2.66
Ca,Calcium,Calcium,Granule,Electrolytic 98.5% min EXW China,5.4735000000000005
Ca,Calcium,Calcium,Granule,Electrolytic 98.5% min FOB China,6.140000000000001
CrFeO4,Chromite,Chrome,Conc.,SA 42% min CIF China,0.165
CrFeO4,Chromite,Chrome,Conc.,SA 40% min in the port of China,0.00399
CrFeO4,Chromite,Chrome,Conc.,SA 40% min CIF China,0.145
CrFeO4,Chromite,Chrome,Conc.,46% min FOB Turkey,0.1925
CrFeO4,Chromite,Chrome,Conc.,42% min FOB SA,0.1295
CrFeO4,Chromite,Chrome,Conc.,40% min FOB SA,0.1125
CrFeO4,Chromite,Chrome,Conc.,Turkish 46% min CIF China,0.2175
CrFeO4,Chromite,Chrome,Conc.,Turkish 46% min in the port of China,0.006025000000000001
CrFeO4,Chromite,Chrome,lump,Turkish 40% min in the port of China,0.005735
CrFeO4,Chromite,Chrome,lump,Turkish 40% min CIF China,0.1975
CrFeO4,Chromite,Chrome,lump,40% min FOB Turkey,0.1775
Cr,Chromium,Chromium,metal,99% min EXW China,8.348
Cr,Chromium,Chromium,metal,99% min FOB China,8.14
Co,Cobalt,Cobalt,Conc.,6-8% CIF China,18.408598892437276
Co,Cobalt,Cobalt,Intermediate,20-30% CIF China,18.629061154622153
Co,Cobalt,Cobalt,metal,99.3% min in the warehouse Rotterdam,30.75448557479042
Co,Cobalt,Cobalt,metal,99.8% min in the warehouse Rotterdam,32.18749027899212
Co,Cobalt,Cobalt,metal,99.8% min in the Baltimore warehouse,31.526103492437493
Co,Cobalt,Cobalt,metal,99.8% min delivered in China,30.5
CCoO3,Cobalt Carbonate,Cobalt,Carbonates,46% min delivered in China,14.445
Cl2Co,Cobalt Chloride,Cobalt,Chloride,24% min delivered in China,6.388
CoO,Cobalt monoxide,Cobalt,Monoxide,78% min delivered in China,31.6
Co3O4,Cobalt tetraoxide,Cobalt,oxides,72% min delivered in China,22.15
Co,Cobalt,Cobalt,Powder,99.5% min delivered in China,33.3
CoO4S,Cobalt Sulphate,Cobalt,sulphates,20.5% min delivered in China,5.3715
Ga,Gallium,Gallium,metal,99.99% min EXW China,146.0
Ga,Gallium,Gallium,metal,99.99% min FOB China,146.5
Ga,Gallium,Gallium,metal,99.99% min delivered in Europe,157.0
Ga,Gallium,Gallium,metal,99.99% min delivered in US,157.0
Ge,Germanium,Germanium,metal,99.99% min EXW China,1096.0
Ge,Germanium,Germanium,metal,99.99% min FOB China,1145.0
Ge,Germanium,Germanium,metal,99.99% min delivered in Europe,1185.0
Ge,Germanium,Germanium,metal,99.99% min delivered in US,1185.0
GeO2,Germanium dioxide,Germanium,dioxides,99.99% min FOB China,720.0
GeO2,Germanium dioxide,Germanium,dioxides,99.99% min EXW China,711.5
GeO2,Germanium dioxide,Germanium,dioxides,99.99% min delivered in US,730.0
In,Indium,Indium,ingot,99.99% min EXW China,162.0
In,Indium,Indium,ingot,99.99% min FOB China,163.0
In,Indium,Indium,ingot,99.99% min delivered in Europe,175.0
In,Indium,Indium,ingot,99.99% min delivered in US,175.0
Li,Lithium,Lithium,metal,99% min delivered in China,97.269
