index,specific_price,molecular_formula
Al,2.2439999999999998,Al
Al,2.2725,Al
Al,1.8864,Al
Ammonium Paratungstate,4.8,(NH4)10(H2W12O42)(H2O)4
Ammonium Tetrathiomolybdate,13.4,H10MoN2S4
Antimony Ethylene Glycoxide,1.0,
As,1.375,As
As2O3,1.58,As2O3
As2O3,1.8285714285714287,As2O3
Asbestos,0.45,Mg3Si2O5(OH)4
B,0.73425,B
Ba(OH)2,0.5508816666666667,Ba(OH)2
Barite,0.33499999999999996,BaSO4
Be,9.233333333333333,Be
Bi,10.805123333333333,Bi
Ca,0.20285714285714285,Ca
Ca(NO3)2,0.36500000000000005,Ca(NO3)2
CaCO3,0.38666666666666666,CaCO3
CaCl2,0.15928571428571428,CaCl2
CaF2,0.37333333333333335,CaF2
CaF2,0.33285714285714285,CaF2
CaF2,0.2902857142857143,CaF2
CaO,0.13083333333333333,CaO
CaO,0.08016666666666666,CaO
CaSO4,0.899,CaSO4
CaSO4,0.058,CaSO4
Cd,42.1,Cd
Cd(OH)2,10.0,"Cd(OH)2, CdH2O2"
Cd(OH)2,0.25833333333333336,"Cd(OH)2, CdH2O2"
CdCO3,0.5,CCdO3
CdSO4 ,3.25,CdSO4 
CeO2,1.9,CeO2
Cement,0.043,CaAl2O6Si
ClK,0.264,ClK
Clay,0.3645666666666667,Al2O5Si
Clay,0.35,Al2O5Si
Clay,0.15,Al2O5Si
Clay,0.3065,Al2O5Si
Clay,0.15985,Al2O5Si
Co,24.85,Co
Co,34.75,Co
Co,41.15,Co
Co3O4,12.16,Co3O4
CoCl2,14.6,CoCl2
CoSO4,10.0001,CoSO4
Cr,18.0,Cr
Cr2O3,2.0,Cr2O3
CrCl3(H2O)6,17.476666666666667,CrCl3(H2O)6
Cu,4.5,Cu
Cu,6.65,Cu
CuCl,4.766666666666667,CuCl
CuSO4,1.3719999999999999,CuSO4
Fe,0.0346,Fe
FeCl2,0.5966666666666667,FeCl2
FeCr,1.5,FeCr
FeSO4,0.258,FeSO4
FeSi2,0.9200000000000002,FeSi2
FeTiO3,0.5942857142857143,FeTiO3
FeTiO3,2.157142857142857,FeTiO3
Feldspar,0.0975,AlKO8Si3
GRE,5.8,
GRE,3.8049999999999997,
Ga,0.258,Ga
