search_text,Title,specific_price,min_quantity_kg,index,molecular_formula,link,min_quantity,min_unit
Cd(OH)2 cadmium hydroxide,,10.0,1000.0,Cd(OH)2,CdH2O2,https://www.alibaba.com/product-detail/Cadmium-hydroxide-Cd-OH-2-CAS_573991118.html,1000.0,kg
CdCO3 cadmium carbonate,,0.5,10000.0,CdCO3,CCdO3,https://www.alibaba.com/product-detail/quality-industrial-Cadmium-Carbonate_11000000302128.html?spm=a2700.galleryofferlist.normal_offer.d_title.2282377aapuH8m,10.0,t
Zn(OH)2 zinc hydroxide,,1.0,1000.0,Zn(OH)2,H2O2Zn,https://www.alibaba.com/product-detail/Zinc-Hydroxide-Zn-OH-2-CAS_573828343.html,1.0,t
BaO2 barium oxide,,10.0,1.0,BaO2,BaO2,https://www.alibaba.com/product-detail/Lukong-Supply-99-Barium-Oxide-Powder_1600452959529.html?spm=a2700.galleryofferlist.normal_offer.d_title.5a9c1f9bvCniMi,1.0,kg
Carbon Nanotube,,100.0,1000.0,CNT,C6,https://www.alibaba.com/product-detail/Industrial-Grade-Multi-Walled-Carbon-Nanotubes_1600261135010.html?spm=a2700.7724857.normal_offer.d_title.188e249abm1JaT,1000.0,kg
Graphene Oxide,,400.0,1.0,Graphene Oxide,C7H2O,https://www.alibaba.com/product-detail/Hot-Sale-High-Quality-Single-Layer_2014447663.html?spm=a2700.galleryofferlist.topad_classic.d_title.33826445ouEIPk,1.0,kg
Barium,,120.0,1.0,Ba,Ba,https://www.alibaba.com/product-detail/High-purity-99-9-Ba-granules_1600272056627.html?spm=a2700.galleryofferlist.normal_offer.d_title.10c356b4tLJPj7,1.0,kg
Sand,,0.11,1000.0,Sand,SiO2,https://www.alibaba.com/product-detail/Sand-Sand-Round-Sand-Quartz-Rounded_1600465480796.html?spm=a2700.galleryofferlist.normal_offer.d_title.586c3f68hdBkic&s=p,1.0,t
Sand,,0.06,1000.0,Sand,SiO2,https://www.alibaba.com/product-detail/Sand-Sandsand-70-110-Mesh-Desert_1600229120509.html?spm=a2700.galleryofferlist.normal_offer.d_title.586c3f68hdBkic&s=p,1.0,t
Anthraquinone,High Quality 98.5% Anthraquinone Powder CAS 84-65-1,5.5,10.0,AQDS,C14H8O8S2,https://www.alibaba.com/product-detail/High-Quality-98-5-Anthraquinone-Powder_1600433568725.html?spm=a2700.galleryofferlist.normal_offer.d_title.4b4c6b46zBoCmW&s=p,10.0,kg
"4,4'-Bipyridine","Factory Supply Chemicals materials 4,4'-Bipyridine CAS 553-26-4",1.0,100.0,Bipyridine,C10H8N2,https://www.alibaba.com/product-detail/Factory-Supply-Chemicals-materials-4-4_1600465967715.html?spm=a2700.galleryofferlist.normal_offer.d_title.2b7e68edEZSwKJ&s=p,100.0,kg
"4,4'-Bipyridine","4,4'-Bipyridine CAS 553-26-4",7.0,1000.0,Bipyridine,C10H8N2,https://www.alibaba.com/product-detail/4-4-Bipyridine-CAS-553-26_1600301932062.html?spm=a2700.galleryofferlist.normal_offer.d_title.180514d9yPV1VU,1000.0,kg
Potassium ferrocyanide,Potassium Ferrocyanide cas no 13943-58-3 Tech Grade,6.0,250.0,K4Fe(CN)6,C6FeK4N6,https://www.alibaba.com/product-detail/Potassium-Ferrocyanide-cas-no-13943-58_60767551078.html?spm=a2700.galleryofferlist.normal_offer.d_title.7bcf76a6i6T1Qs,250.0,kg
Potassium ferrocyanide,potassium ferrocyanide trihydrate chemical formula K4[Fe(CN)6].3H2O,2.55,1000.0,K4Fe(CN)6,C6FeK4N6,https://www.alibaba.com/product-detail/potassium-ferrocyanide-trihydrate-chemical-formula-K4_60252192413.html?spm=a2700.galleryofferlist.normal_offer.d_title.56f8332fEjQNpI,1000.0,kg
