search_text,Title,specific_price,min_quantity_kg,index,molecular_formula,link,min_quantity,min_unit
ZnSO4 zinc sulphate,Znso4 Zinc Sulphate Sulphate ZnSO4 Zn 22% Zinc Feed Fertilizer Grade Sulphate Heptahydrate,0.4,1000.0,ZnSO4,ZnSO4,https://www.alibaba.com/product-detail/Znso4-Zinc-Sulphate-Sulphate-ZnSO4-Zn_1600454475279.html?s=p,1000.0,kg
ZnSO4 zinc sulphate,Zinc sulphate heptahydrate ZnSO4 .7H2O Zn 21% feed grade zinc sulfate granular,3.2,1000.0,ZnSO4,ZnSO4,https://www.alibaba.com/product-detail/Zinc-sulphate-heptahydrate-ZnSO4-7H2O-Zn_1600369018536.html,1000.0,kg
CdSO4 cadmium sulphate,High quality CdSO4 for electroplating Cadmium sulfate,10.0,1.0,CdSO4 ,CdSO4 ,https://www.alibaba.com/product-detail/High-quality-CdSO4-for-electroplating-Cadmium_1600261290327.html,1.0,kg
SrCO3 strontium carbonate,High Quality High Purity Industrial grade 1633-05-2 SrCO3 Strontium carbonate,1.1,20000.0,SrCO3,SrCO3,https://www.alibaba.com/product-detail/High-Quality-High-Purity-Industrial-grade_1600308657701.html,20.0,t
Copper Sulfate CuSO4,Cuso4 Copper Sulphate Cuso4 Best Price Industry Grade Cuso4 Blue Crystal 99% 98% 96% Copper Sulphate,0.98,1000.0,CuSO4,CuSO4,https://www.alibaba.com/product-detail/Cuso4-Copper-Sulphate-Cuso4-Best-Price_1600408703700.html?s=p,1.0,t
Copper Sulfate CuSO4,Feed grade Copper sulfate pentahydrate CuSO4 5H2O for fertilizer,0.25,1000.0,CuSO4,CuSO4,https://www.alibaba.com/product-detail/Feed-grade-Copper-sulfate-pentahydrate-CuSO4_1600119940064.html,1.0,t
CdSO4 cadmium sulphate,Electroplating Chemicals Nickel Sulfate Hexahydrate Niso4.6h2o Inorganic Salts Nickel Sulphate,1.0,1.0,CdSO4 ,CdSO4 ,https://www.alibaba.com/product-detail/Electroplating-Chemicals-Nickel-Sulfate-Hexahydrate-Niso4_60768403347.html,1.0,kg
CdSO4 cadmium sulphate,copper sulphate chemical with factory price CuSO4.5H2O,1.48,1000.0,CdSO4 ,CdSO4 ,https://www.alibaba.com/product-detail/copper-sulphate-chemical-with-factory-price_1600110593701.html,1.0,t
CdSO4 cadmium sulphate,Quality Manufacturer Anhydrous Sodium Sulfate,0.06,50000.0,CdSO4 ,CdSO4 ,https://www.alibaba.com/product-detail/Quality-Manufacturer-Anhydrous-Sodium-Sulfate_1600301933364.html,50.0,t
SrCO3 strontium carbonate,Industrial strontium carbonate SrCO3 powder Manufacturer,0.6,1000.0,SrCO3,SrCO3,https://www.alibaba.com/product-detail/Industrial-strontium-carbonate-SrCO3-powder-Manufacturer_60480190423.html,1.0,t
NiSO4 nickel sulphate,Electroplating Chemicals Nickel Sulfate Hexahydrate Niso4 .6h2o Inorganic Salts Nickel Sulphate,1.0,1.0,NiSO4,NiSO4,https://www.alibaba.com/product-detail/Electroplating-Chemicals-Nickel-Sulfate-Hexahydrate-Niso4_60768403347.html,1.0,kg
Iron Sulfate FeSO4,High Purity FeSO4 .7H2O Chemical Formula Iron Sulfate / Ferrous Sulphate Light-green Crystal Price,0.078,25000.0,FeSO4,FeSO4,https://www.alibaba.com/product-detail/High-Purity-FeSO4-7H2O-Chemical-Formula_1600437734265.html?s=p,25.0,t
NiSO4 nickel sulphate,High purity Factory Price Nickel Sulphate Hexahydrate Niso4 .6h2o CAS:10101-97-0 Nickel Sulfate,5.5,1000.0,NiSO4,NiSO4,https://www.alibaba.com/product-detail/High-purity-Factory-Price-Nickel-Sulphate_1600103311459.html,1000.0,kg
NiSO4 nickel sulphate,Cheap 10101970 niso4 6h2o nickel sulfate hexahydrate nickel sulfate sulphate,18.09255,20000.0,NiSO4,NiSO4,https://www.alibaba.com/product-detail/Cheap-10101970-niso4-6h2o-nickel-sulfate_1600454183159.html,20.0,t
