index,search_text,price,min_order,Title,link,molecular_formula,min_quantity,min_unit,min_quantity_kg,min_unit_kg,specific_price
ZnSO4,ZnSO4 zinc sulphate,0.4,1000.0 Kilograms,Znso4 Zinc Sulphate Sulphate ZnSO4 Zn 22% Zinc Feed Fertilizer Grade Sulphate Heptahydrate,https://www.alibaba.com/product-detail/Znso4-Zinc-Sulphate-Sulphate-ZnSO4-Zn_1600454475279.html?s=p,,1000.0,kg,1000.0,1.0,0.4
ZnSO4,ZnSO4 zinc sulphate,3.2,1000.0 Kilograms,Zinc sulphate heptahydrate ZnSO4 .7H2O Zn 21% feed grade zinc sulfate granular,https://www.alibaba.com/product-detail/Zinc-sulphate-heptahydrate-ZnSO4-7H2O-Zn_1600369018536.html,,1000.0,kg,1000.0,1.0,3.2
CdSO4 ,CdSO4 cadmium sulphate,10.0,1.0 Kilograms,High quality CdSO4 for electroplating Cadmium sulfate,https://www.alibaba.com/product-detail/High-quality-CdSO4-for-electroplating-Cadmium_1600261290327.html,,1.0,kg,1.0,1.0,10.0
SrCO3,SrCO3 strontium carbonate,1100.0,20.0 Tons,High Quality High Purity Industrial grade 1633-05-2 SrCO3 Strontium carbonate,https://www.alibaba.com/product-detail/High-Quality-High-Purity-Industrial-grade_1600308657701.html,,20.0,t,20000.0,1000.0,1.1
CuSO4,Copper Sulfate CuSO4,980.0,1.0 Tons,Cuso4 Copper Sulphate Cuso4 Best Price Industry Grade Cuso4 Blue Crystal 99% 98% 96% Copper Sulphate,https://www.alibaba.com/product-detail/Cuso4-Copper-Sulphate-Cuso4-Best-Price_1600408703700.html?s=p,,1.0,t,1000.0,1000.0,0.98
CuSO4,Copper Sulfate CuSO4,250.0,1.0 Metric Tons,Feed grade Copper sulfate pentahydrate CuSO4 5H2O for fertilizer,https://www.alibaba.com/product-detail/Feed-grade-Copper-sulfate-pentahydrate-CuSO4_1600119940064.html,,1.0,t,1000.0,1000.0,0.25
CdSO4 ,CdSO4 cadmium sulphate,1.0,1 Kilogram,Electroplating Chemicals Nickel Sulfate Hexahydrate Niso4.6h2o Inorganic Salts Nickel Sulphate,https://www.alibaba.com/product-detail/Electroplating-Chemicals-Nickel-Sulfate-Hexahydrate-Niso4_60768403347.html,,1.0,kg,1.0,1.0,1.0
CdSO4 ,CdSO4 cadmium sulphate,1480.0,1.0 Tons,copper sulphate chemical with factory price CuSO4.5H2O,https://www.alibaba.com/product-detail/copper-sulphate-chemical-with-factory-price_1600110593701.html,,1.0,t,1000.0,1000.0,1.48
CdSO4 ,CdSO4 cadmium sulphate,60.0,50.0 Metric Tons,Quality Manufacturer Anhydrous Sodium Sulfate,https://www.alibaba.com/product-detail/Quality-Manufacturer-Anhydrous-Sodium-Sulfate_1600301933364.html,,50.0,t,50000.0,1000.0,0.06
SrCO3,SrCO3 strontium carbonate,600.0,1.0 Tons,Industrial strontium carbonate SrCO3 powder Manufacturer,https://www.alibaba.com/product-detail/Industrial-strontium-carbonate-SrCO3-powder-Manufacturer_60480190423.html,,1.0,t,1000.0,1000.0,0.6
