molecular_formula_norm,source,material_names
Al,Alva 2018 (Latent),
Al30Mg17Zn3,Alva 2018 (Latent),
Al59Mg33Zn6,Alva 2018 (Latent),
AlZn24,Alva 2018 (Latent),
BaCO3,Andre 2016,
BaH2O2,Andre 2016,
BaO2,Andre 2016,
BeH2O2,Andre 2016,
BiNa3,Alva 2018 (Sensible),sodium bismuth
Br2Zn,Li 2017,
BrH,Li 2017,
BrNa,Li 2017,
C,Li 2017,carbon
C24H20O,Alva 2018 (Sensible),dowtherm
C57H104O9,Alva 2018 (Sensible),vegetable oil
C6,Li 2017,graphite
C7H4O4S,Li 2017,aqds
CCaO3,"Alva 2018 (Latent), Andre 2016",
CCdO3,Andre 2016,
CK2O3,Alva 2018 (Latent),
CLi2O3,Alva 2018 (Latent),
CMgO3,Andre 2016,
CNa2O3,Alva 2018 (Latent),
CO3Pb,Andre 2016,
CO3Sr,Andre 2016,
CO3Zn,Andre 2016,
Ca21Mg30Si49,Alva 2018 (Latent),
Ca48K45N148Na7O444,Alva 2018 (Sensible),hitec xl
Ca4Mg21,Alva 2018 (Latent),
CaCl2,"Alva 2018 (Latent), Li 2017",
CaF2,Alva 2018 (Latent),
CaH2O2,Andre 2016,
CaN2O6,Alva 2018 (Latent),
CaO4S,Alva 2018 (Latent),
CdH2O2,"Li 2017, Andre 2016",
CdO4S,Andre 2016,
CeO2,USGS,
Cl2Fe,Li 2017,
Cl2H12NiO6,Li 2017,
Cl2Mg,Alva 2018 (Latent),
Cl2Zn,Alva 2018 (Latent),
Cl3CrH12O6,Li 2017,
ClCu,Li 2017,
ClH,Li 2017,
ClH4N,Li 2017,
ClK,Alva 2018 (Latent),
ClLi,Alva 2018 (Latent),
ClNa,"Alva 2018 (Latent), Li 2017",
Co33Li100Mn33Ni33O200,Li 2017,
Co3O4,Andre 2016,
CoLi5MnNi3O10,Li 2017,
CoLiO2,Li 2017,
CoO4S,Andre 2016,
Cr5O12,Andre 2016,
Cu,Alva 2018 (Latent),
Cu4Si,Alva 2018 (Latent),
Cu5Mg12Zn3,Alva 2018 (Latent),
Cu83P10Si7,Alva 2018 (Latent),
CuO,Andre 2016,
CuO4S,Andre 2016,
Dy2O3,USGS,
Eu2O3,USGS,
FLi,Alva 2018 (Latent),
FNa,Alva 2018 (Latent),
Fe2O3,Andre 2016,
FeLiO4P,Li 2017,
FeO4S,Andre 2016,
H14O11SZn,Li 2017,
H2MgO2,Andre 2016,
H2MnO2,Andre 2016,
H2NiO2,"Li 2017, Andre 2016",
H2O,Li 2017,water
H2O2Sr,Andre 2016,
H2O2Zn,Andre 2016,
H2O4S,Li 2017,
H3LiO2,Li 2017,
H4Na2O4Zn,Li 2017,
H8O9SV,Li 2017,
HLiO,Alva 2018 (Latent),
HNaO,"Alva 2018 (Latent), Li 2017",
K2O4S,Alva 2018 (Latent),
K53N100Na47O260,Alva 2018 (Sensible),hitec
KF,Alva 2018 (Latent),
KN2NaO6,Alva 2018 (Sensible),solar salt
KNO3,Alva 2018 (Latent),
KNa,Alva 2018 (Sensible),sodium potassium alloy
KOH,"Alva 2018 (Latent), Li 2017",
La2O3,USGS,
LaNi5,Li 2017,
Li,Li 2017,lithium
Li2Mn3NiO8,Li 2017,
Li2O4S,"Alva 2018 (Latent), Li 2017",
Li2S,Li 2017,
Li4O12Ti5,Li 2017,
LiMn2O4,Li 2017,
LiMnO4P,Li 2017,
LiNi0.8Co0.15-Al0.05O2,Li 2017,
LiO,Andre 2016,
Mg,"Alva 2018 (Latent), Li 2017",
Mg11Si14,Alva 2018 (Latent),
Mg12Zn13,Alva 2018 (Latent),
Mg23Zn27,Alva 2018 (Latent),
Mg47Si38Zn15,Alva 2018 (Latent),
MgO2,Andre 2016,
MgO4S,"Alva 2018 (Latent), Andre 2016",
Mn25Na11O50,Li 2017,
Mn2O3,Andre 2016,
Mn3O4,Andre 2016,
MnO2,Li 2017,
MnO4S,Andre 2016,
MoS2,Li 2017,
NNaO3,Alva 2018 (Latent),
Na,"Alva 2018 (Sensible), Li 2017",sodium
Na2O4S,"Alva 2018 (Latent), Li 2017",
Na2S,Li 2017,
NaO12P3Ti2,Li 2017,
Nd2O3,USGS,
NiO4S,Andre 2016,
O20V8Zn,Li 2017,
O2Pb,Andre 2016,
O2Pt,Andre 2016,
O2Tb,USGS,
O3Rh2,Andre 2016,
O3U,Andre 2016,
O4SZn,Andre 2016,
O5Sb2,Andre 2016,
O5V2,Andre 2016,
Pb,Li 2017,
Pb2Sb,Li 2017,
S,Li 2017,
S2Ti,"Li 2017, Li 2017",
Si,Li 2017,
Zn,"Alva 2018 (Latent), Li 2017",
